name,latitude,longitude,address,vha,url,phone
Chamunangana,-21.60719,29.60194016,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Chasvingo,-22.05558,30.50114059,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Dulibadzimu,-22.20681,29.98372078,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Zezane,-21.62461,29.50341988,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
ZRP,-22.21992,30.0051899,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Masera,-21.93431,29.58650017,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
NRZ,-22.22078,30.00781059,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Prison,-22.22269,29.98527908,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Shashe,-22.10292,29.32243919,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Swereki,-21.87125,29.40386009,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Tongwe,-21.93567,30.04042053,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Mtetengwe,-21.99529,29.9283,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Chikuku,-20.0005,31.86856079,somewhere,FALSE,https://maps.app.goo.gl/somewhere,12345678907
Chirorwe,-19.88528,31.91802979,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Chitasa,-20.20817,31.85453033,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Devure 1,-19.95322,32.12055969,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Hozvi,-20.05172,31.53725052,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Marozva,-20.00053,31.52099991,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Murwira,-19.94133,31.65306091,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Ngorima,-20.28881,31.68431091,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Odzi,-20.42022,31.85753059,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
Pfupajena,-20.18919,31.61775017,somewhere,TRUE,https://maps.app.goo.gl/somewhere,12345678907
