examination_identifier	category	subcategory	finding_name	notes	snomed_finding_code	snomed_body_structure_codes	snomed_additional_relationships
General	Patient state		ill				
General	Patient state		unalert				
General	Patient state		confused				
General	Patient state		drowsy				
General	Patient state		febrile				
General	Patient state		dehydrated				
General	Patient state		uncooperative				
General	Patient state		sad				
General	Patient state		resentful				
General	Patient state		fat				
General	Patient state		muscular				
General	Patient state		edema				
General	Patient state		wasted				
General	Patient state		in pain				
General	Patient state		in distress				
General	Hands	Texture	cold		703883009	"12861001,85151006,78791008"	
General	Hands	Texture	hot		707793005	"12861001,85151006,78791008"	
General	Hands	Texture	clammy		102598000	"12861001,85151006,78791008"	
General	Hands	Fingers	cyanosis		3415004	"362779006,7569003"	
General	Hands	Fingers	nicotine stains		247439004	"362779006,7569003"	
General	Hands	Fingers	clubbing		30760008	"362779006,7569003"	
General	Hands	Nails	leukonychia		111202002	770802007	
General	Hands	Nails	koilonychia		66270006	770802007	
General	Hands	Nails	splinter hemorrhages		271770005	770802007	
General	Hands	Nails	pitting		89704006	770802007	
General	Hands	Nails	onycholysis		75789001	770802007	
General	Hands	Nails	discolouration		47415006	770802007	
General	Hands	Palms	erythema		70819003	21547004	
General	Hands	Palms	dupuytren's disease		203045001	21203009	
General	Hands	Palms	pale skin		403237004	21547004	
General	Hands	Palms	cyanosis		119419001	21547004	
General	Hands	Palms	jaundice		18165001	21547004	
Skin	Colour		hypopigment	User must select site			
Skin	Colour		hyperpigment	User must select site			
Skin	Colour		discolouration	User must select site			
Skin	Colour		jaundice				
Skin	Colour		cyanosis				
Skin	Colour		pale				
Skin	Texture		diaphoresis				
Skin	Texture		thin				
Skin	Texture		thick				
Skin	Texture		dry				
Skin	Temperature		apyrexial				
Skin	Temperature		pyrexial				
Skin	Temperature		hypothermia				
Skin	Temperature		hyperthermia				
Skin	Wound	Type	abrasion	User must select site			
Skin	Wound	Type	avulsion	User must select site			
Skin	Wound	Type	contusion	User must select site			
Skin	Wound	Type	laceration	User must select site			
