code_range	jonathan_dr_skhu_symptom_name	jonathan_dr_skhu_category
B00.2	Painful blisters	Symptom
D69.6	Abnormal bleeding	Symptom
D73.1	Enlarged spleen	Examination Finding
E86.0	Dehydration	Symptom
F20-F29	Psychosis	Symptom
G43	migraines	Symptom
G47.9	Sleep disturbances	Symptom
G50.1	atypical face pain	Symptom
G80-G83	Paralysis	Examination finding
G82.5	Quadriplegia	Examination finding
H00.0	Eye swelling	Symptom
H02.4	Eye drooping	Symptom
H04.123	Eye dryness	Symptom
H04.123	Eye tearing	Symptom
H04.123	Tearing eyes	Symptom
H10.13	Eye itching	Symptom
H10.89	Eye discharge	Symptom
H10.9	Eye redness	Symptom
H10.9	Pink eye	Symptom
H10.9	Redness	Symptom
H33.2	Retinal tear	Examination finding
H35.5	Retinal hemorrhage	Examination finding
H43.9	Eye floaters	Symptom
H50.9	Strabismus	Examination finding
H53.1	Photophobia	Examination finding
H53.12	Eye sensitivity to light	Symptom
H53.8	Blurred vision	Symptom
H53.9	Vision problems	Symptom
H53.9	Visual disturbances	Symptom
H54.4	Reduced visual acuity	Examination finding
H57.1	eye pain	Symptom
H59.0	Eye twitching	Symptom
H72.9	Ruptured eardrum	Examination finding
H81.9	Vertigo	Symptom
H90.9	Hearing loss	Symptom
H92.0	Ear congestion	Symptom
H92.0	Ear pain	Symptom
H92.13	Ear itching	Symptom
H92.3	Ear bleeding	Symptom
H92.8	Ear discharge	Symptom
H93.1	Ringing in the ears	Symptom
H93.1	Tinnitus	Symptom
H93.19	Ear fullness or pressure	Symptom
I10	High blood pressure	Vital Sign
I47.2	Ventricular tachycardia	Examination finding
I49.01	Ventricular fibrillation	Examination finding
I49.9	Arrhythmia	Examination sign
I73.0	Raynaud's phenomenon	Examination finding
I73.9	Claudication	Symptom
I73.9	Leg pain with activity	Symptom
I83.9	Varicose veins	Symptom
I83.90	Varicose veins	Examination finding
I95.9	Low blood pressure	Vital Sign
J02.9	Sore throat	Symptom
K03.9	Tooth discoloration	Symptom
K05.6	Gum swelling	Symptom
K08.8	Tooth sensitivity	Symptom
K08.8	Toothache	Symptom
K08.8	tooth pain	Symptom
K12.0	Mouth ulcers	Symptom
K12.0	Oral ulcers	Symptom
K14.6	tongue pain	Symptom
K52.9	Diarrhea	Symptom
K59	Constipation	Symptom
K59.0	Constipation	Symptom
K62.5	Rectal bleeding	Symptom
K92.0	Hematemesis	Symptom
K92.1	Black, tarry stool	Symptom
K92.1	Blood in stool	Symptom
K92.1	Melena	Symptom
L01.9	Skin blisters	Symptom
L04.9	Swollen lymph nodes	Symptom
L29	Pruritus	Examination finding
L29.9	Itching	Symptom
L30.9	Skin rash	Symptom
L50.9	Skin swelling	Symptom
L53.9	Skin redness	Symptom
L60.2	Nail brittleness	Examination Finding
L60.3	Nail discoloration	Examination Finding
L60.8	Nail pitting	Examination Finding
L60.8	Nail ridges	Examination Finding
L60.8	Nail splitting	Examination Finding
L60.9	Nail abnormalities	Symptom
L63.9	Hair loss	Symptom
L68.0	Abnormal hair growth	Symptom
L81.4	Skin discoloration	Symptom
L85.1	Skin peeling	Symptom
L85.3	Skin dryness	Symptom
L85.9	Skin scaling	Symptom
L92.9	Skin nodules	Symptom
L94.9	Skin thickening	Symptom
L98.4	Skin ulcers	Symptom
L98.4	Slow-healing sores or cuts	Symptom
L98.9	Skin lesions	Symptom
M25.5	Joint deformity	Symptom
M25.5	Joint pain	Symptom
M25.5	Joint redness	Symptom
M25.5	Joint swelling	Symptom
M25.5	Joint warmth	Symptom
M25.51	Shoulder pain	Symptom
M25.52	Elbow pain	Symptom
M25.53	Wrist pain	Symptom
M25.53	Wrist pain	Symptom
M25.54	Hand pain	Symptom
M25.551	Hip pain	Symptom
M25.561	Knee pain	Symptom
