code_range	jonathan_dr_skhu_symptom_name	jonathan_dr_skhu_category	exists_with_that_code	actual_name_of_code	is_duplicate	present_in_other_spreadsheet
B00.2	Painful blisters	Symptom	true	Herpesviral gingivostomatitis and pharyngotonsillitis	false	true
D69.6	Abnormal bleeding	Symptom	true	Thrombocytopenia, unspecified	false	true
D73.1	Enlarged spleen	Examination Finding	true	Hypersplenism	false	true
E86.0	Dehydration	Symptom	true	Dehydration	false	true
F20-F29	Psychosis	Symptom	true	Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders	false	true
G43	migraines	Symptom	true	Migraine	false	true
G47.9	Sleep disturbances	Symptom	true	Sleep disorder, unspecified	false	true
G50.1	atypical face pain	Symptom	true	Atypical facial pain	false	true
G80-G83	Paralysis	Examination finding	true	Cerebral palsy and other paralytic syndromes	false	true
G82.5	Quadriplegia	Examination finding	true	Quadriplegia	false	true
H00.0	Eye swelling	Symptom	true	Hordeolum (externum) (internum) of eyelid	false	true
H02.4	Eye drooping	Symptom	true	Ptosis of eyelid	false	true
H04.123	Eye dryness	Symptom	true	Dry eye syndrome of bilateral lacrimal glands	true	true
H04.123	Eye tearing	Symptom	true	Dry eye syndrome of bilateral lacrimal glands	true	true
H04.123	Tearing eyes	Symptom	true	Dry eye syndrome of bilateral lacrimal glands	true	true
H10.13	Eye itching	Symptom	true	Acute atopic conjunctivitis, bilateral	false	true
H10.89	Eye discharge	Symptom	true	Other conjunctivitis	false	true
H10.9	Eye redness	Symptom	true	Unspecified conjunctivitis	true	true
H10.9	Pink eye	Symptom	true	Unspecified conjunctivitis	true	true
H10.9	Redness	Symptom	true	Unspecified conjunctivitis	true	true
H33.2	Retinal tear	Examination finding	true	Serous retinal detachment	false	true
H35.5	Retinal hemorrhage	Examination finding	true	Hereditary retinal dystrophy	false	true
H43.9	Eye floaters	Symptom	true	Unspecified disorder of vitreous body	false	true
H50.9	Strabismus	Examination finding	true	Unspecified strabismus	false	true
H53.1	Photophobia	Examination finding	true	Subjective visual disturbances	false	true
H53.12	Eye sensitivity to light	Symptom	true	Transient visual loss	false	true
H53.8	Blurred vision	Symptom	true	Other visual disturbances	false	true
H53.9	Vision problems	Symptom	true	Unspecified visual disturbance	true	true
H53.9	Visual disturbances	Symptom	true	Unspecified visual disturbance	true	true
H54.4	Reduced visual acuity	Examination finding	true	Blindness, one eye	false	true
H57.1	eye pain	Symptom	true	Ocular pain	false	true
H59.0	Eye twitching	Symptom	true	Disorders of the eye following cataract surgery	false	true
H72.9	Ruptured eardrum	Examination finding	true	Unspecified perforation of tympanic membrane	false	true
H81.9	Vertigo	Symptom	true	Unspecified disorder of vestibular function	false	true
H90.9	Hearing loss	Symptom			false	false
H92.0	Ear congestion	Symptom	true	Otalgia	true	true
H92.0	Ear pain	Symptom	true	Otalgia	true	true
H92.13	Ear itching	Symptom	true	Otorrhea, bilateral	false	false
H92.3	Ear bleeding	Symptom			false	false
H92.8	Ear discharge	Symptom			false	false
H93.1	Ringing in the ears	Symptom	true	Tinnitus	true	true
H93.1	Tinnitus	Symptom	true	Tinnitus	true	true
H93.19	Ear fullness or pressure	Symptom	true	Tinnitus, unspecified ear	false	false
I10	High blood pressure	Vital Sign	true	Essential (primary) hypertension	false	true
