code_range	description
B00.2	Herpesviral gingivostomatitis and pharyngotonsillitis
B02.3	Zoster ocular disease
B02.9	Zoster without complications
C34.9	Malignant neoplasm of unspecified part of bronchus or lung
D69.6	Thrombocytopenia, unspecified
D73.1	Hypersplenism
E66	Overweight and obesity
E86.0	Dehydration
F20-F29	Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders
F32.9	Major depressive disorder, single episode, unspecified
F41.0	Panic disorder [episodic paroxysmal anxiety]
F41.9	Anxiety disorder, unspecified
G43	Migraine
G44	Other headache syndromes
G47.33	Obstructive sleep apnea (adult) (pediatric)
G47.9	Sleep disorder, unspecified
G50.1	Atypical facial pain
G54.6	Phantom limb syndrome with pain
G80-G83	Cerebral palsy and other paralytic syndromes
G82.5	Quadriplegia
G89	Pain, not elsewhere classified
H00.0	Hordeolum (externum) (internum) of eyelid
H02.4	Ptosis of eyelid
H04.123	Dry eye syndrome of bilateral lacrimal glands
H10.13	Acute atopic conjunctivitis, bilateral
H10.89	Other conjunctivitis
H10.9	Unspecified conjunctivitis
H33.2	Serous retinal detachment
H33.4	Traction detachment of retina
H35.5	Hereditary retinal dystrophy
H43.9	Unspecified disorder of vitreous body
H50.9	Unspecified strabismus
H53.1	Subjective visual disturbances
H53.12	Transient visual loss
H53.8	Other visual disturbances
H53.9	Unspecified visual disturbance
H54.4	Blindness, one eye
H57.1	Ocular pain
H59.0	Disorders of the eye following cataract surgery
H66	Suppurative and unspecified otitis media
H72.9	Unspecified perforation of tympanic membrane
H81.9	Unspecified disorder of vestibular function
H91	Other and unspecified hearing loss
H92.0	Otalgia
H92.1	Otorrhea
H92.2	Otorrhagia
H93.1	Tinnitus
I10	Essential (primary) hypertension
I20.9	Angina pectoris, unspecified
I26	Pulmonary embolism
I26.9	Pulmonary embolism without acute cor pulmonale
I27.0	Primary pulmonary hypertension
I47.2	Ventricular tachycardia
I49.01	Ventricular fibrillation
I49.9	Cardiac arrhythmia, unspecified
I63	Cerebral infarction
I73.0	Raynaud's syndrome
I73.9	Peripheral vascular disease, unspecified
I83.9	Asymptomatic varicose veins of lower extremities
I83.90	Asymptomatic varicose veins of unspecified lower extremity
I95.9	Hypotension, unspecified
J02.9	Acute pharyngitis, unspecified
J18.9	Pneumonia, unspecified organism
J20.9	Acute bronchitis, unspecified
J22	Unspecified acute lower respiratory infection
J32.9	Chronic sinusitis, unspecified
J43.9	Emphysema, unspecified
J44.9	Chronic obstructive pulmonary disease, unspecified
J45.9	Other and unspecified asthma
J80	Acute respiratory distress syndrome
J91.8	Pleural effusion in other conditions classified elsewhere
K03.9	Disease of hard tissues of teeth, unspecified
K05.6	Periodontal disease, unspecified
K08.8	Other specified disorders of teeth and supporting structures
K12.0	Recurrent oral aphthae
K14.6	Glossodynia
K21.9	Gastro-esophageal reflux disease without esophagitis
K59.0	Constipation
K62.5	Hemorrhage of anus and rectum
K92.1	Melena
L04.9	Acute lymphadenitis, unspecified
L29	Pruritus
L30.9	Dermatitis, unspecified
L40	Psoriasis
L50.9	Urticaria, unspecified
L53.9	Erythematous condition, unspecified
L60.2	Onychogryphosis
L60.3	Nail dystrophy
L60.8	Other nail disorders
L60.9	Nail disorder, unspecified
L63.9	Alopecia areata, unspecified
L68.0	Hirsutism
L81.4	Other melanin hyperpigmentation
L85.1	Acquired keratosis [keratoderma] palmaris et plantaris
L85.3	Xerosis cutis
L85.9	Epidermal thickening, unspecified
L92.9	Granulomatous disorder of the skin and subcutaneous tissue, unspecified
L94.9	Localized connective tissue disorder, unspecified
L98.4	Non-pressure chronic ulcer of skin, not elsewhere classified
L98.9	Disorder of the skin and subcutaneous tissue, unspecified
M15-M19	Osteoarthritis (M15-M19)
M25.5	Pain in joint
M41.9	Scoliosis, unspecified
M43.6	Torticollis
M43.9	Deforming dorsopathy, unspecified
M48.06	Spinal stenosis, lumbar region
M54	Dorsalgia
M54.2	Cervicalgia
M54.5	Low back pain
M54.6	Pain in thoracic spine
M54.8	Other dorsalgia
M54.9	Dorsalgia, unspecified
M62.8	Other specified disorders of muscle
