iso_639_2	iso_639_3	iso_639_5	iso_639_1	language_names	scope	type	native_names	other_names
aar	aar		aa	Afar	Individual	Living	*Qafaraf*; *’Afar Af*; *Afaraf*; *Qafar af*	
abk	abk		ab	Abkhazian	Individual	Living	Аҧсуа бызшәа*Aƥsua bızšwa*; Аҧсшәа*Aƥsua*	Abkhaz
ace	ace			Achinese	Individual	Living	بهسا اچيه, *Basa Acèh*	Acehnese
ach	ach			Acoli	Individual	Living	*Lwo*	Acholi
ada	ada			Adangme	Individual	Living	*Dangme*	Dangme
ady	ady			Adyghe; Adygei	Individual	Living	Адыгабзэ; Кӏахыбзэ	West Circassian
afa		afa		Afro-Asiatic languages	Collective	Genetic		
afh	afh			Afrihili	Individual	Constructed	*El-Afrihili*	
afr	afr		af	Afrikaans	Individual	Living	*Afrikaans*	
ain	ain			Ainu	Individual	Living	アイヌ・イタㇰ, *Ainu-itak*	
aka	aka		ak	Akan	Macrolanguage	Living	*Akan*	
akk	akk			Akkadian	Individual	Historical	𒀝𒅗𒁺𒌑, *Akkadû*	
ale	ale			Aleut	Individual	Living	Уна́ӈам тунуу́; Унаӈан умсуу	
alg		alg		Algonquian languages	Collective	Genetic		
alt	alt			Southern Altai	Individual	Living	Алтай тили	
amh	amh		am	Amharic	Individual	Living	አማርኛ; *Amârıñâ*	
ang	ang			English, Old (ca.450–1100)	Individual	Historical	*Ænglisc*; *Anglisc*; *Englisc*	
anp	anp			Angika	Individual	Living	अंगिका	
apa		apa		Apache languages	Collective	Genetic		Southern Athabaskan languages
ara	ara		ar	Arabic	Macrolanguage	Living	العربية; *al'Arabiyyeẗ*	
arc	arc			Official Aramaic (700–300 BCE); Imperial Aramaic (700–300 BCE)	Individual	Historical		
arg	arg		an	Aragonese	Individual	Living	*Aragonés*	
arn	arn			Mapudungun; Mapuche	Individual	Living	*Mapudungun*	
arp	arp			Arapaho	Individual	Living	*Hinónoʼeitíít*	
art		art		Artificial languages	Collective	Genetic-like		
arw	arw			Arawak	Individual	Living	*Lokono*	Lokono
asm	asm		as	Assamese	Individual	Living	অসমীয়া	
ast	ast			Asturian; Bable; Leonese; Asturleonese	Individual	Living	*Asturianu*; *Llïonés*	
ath		ath		Athapascan languages	Collective	Genetic		Athabaskan languages
aus		aus		Australian languages	Collective	Genetic		
ava	ava		av	Avaric	Individual	Living	Авар мацӏ; Магӏарул мацӏ	Avar
ave	ave		ae	Avestan	Individual	Historical		
awa	awa			Awadhi	Individual	Living	अवधी, *Avadhī*	
aym	aym		ay	Aymara	Macrolanguage	Living	*Aymar aru*	
aze	aze		az	Azerbaijani	Macrolanguage	Living	*Azərbaycan dili*; آذربایجان دیلی; Азәрбајҹан дили	
bad		bad		Banda languages	Collective	Genetic		
bai		bai		Bamileke languages	Collective	Genetic	*Bamiléké*	
