licence_number	name	licensee	address	pharmacies_types	town	expiry_date	
P01-P1995-2024	DIVINE PHARMACY- MABELREIGN	SCILLATON (PVT) LTD	1&2 STORTFORD PARARDE	Pharmacy in any other location	HARARE	01/31/2025	
P05-P1215-2024	FAMILY PHARMACY	TAPMAK MEDICAL & SURGICAL SUPPLIERS (PVT) LTD	24 HOFMEYER STREET	Pharmacy located in the CBD	MASVINGO	04/30/2025	
P05-P1576-2024	HOPE PHARMACY	CADIOSIS ENTERPRISES (PVT) LTD	17A BT 5TH AVE FORT ST	Pharmacy located in the CBD	BULAWAYO	02/28/2025	
P01-P1711-2024	KAROI PHARMACY	PINEAL PHARMACY (PVT) LTD	SHOP 8 STAND 370 BOUGAINVILLEA WAY	Pharmacy in any other location	KAROI	05/31/2025	
D01-P0015-2023	TAREMBA SURGERY	TAREMBA DAVISON	312 CD	Dispensing medical practice	CHECHECHE	06/30/2024	
W01-P0179-2024	VETERINARY CENTRE	CARE ANIMAL HEALTH (PVT) TD	"SUITE 2 119 LOMAGUNDI RD, GREENCROFT"	Wholesalers	HARARE	06/30/2025	
P01-P1749-2024	24 HR KENSINGTON PHARMACY	CANESTAN (PVT) LTD	1 KENNY RD KENSINGTON	Pharmacy in any other location	HARARE	03/31/2025	
P01-P1724-2024	3RD AVENUE PHARMACY	HOSPITALITY HOME ENTERPRISES P/L	49 LOBENGULA STREET & 3RD AVENUE	Pharmacy in any other location	BULAWAYO	06/30/2025	
P01-P1725-2024	3RD AVENUE PHARMACY - PLUMTREE	HOSPITALITY HOME ENTERPRISES P/L	STAND 16 THEKWANI ROAD	Pharmacy in any other location	PLUMTREE	12/31/2025	
P05-P1972-2024	6TH AVENUE PHARMACY	HEALTHROCK (PVT) LTD	22D COMPUTER VILLAGE CNR 6TH AVE JASON MOYO	Pharmacy located in the CBD	BULAWAYO	06/30/2025	
P01-P1138-2024	AA PHARMACY	REAL HAPPENING INVESTMENTS (PVT) LTD	STD 24588 PUMULA SOUTH	Pharmacy in any other location	BULAWAYO	01/31/2025	
D01-P0028-2023	ABOOBAKAR M.B.	ABOOBAKAR M.B.	156 H. CHITEPO AVE/TAKAWIRA ROAD	Dispensing medical practice	HARARE	06/30/2024	
P01-P1504-2024	ABUNDANT LIFE PHARMACY	ABUNDANT LIFE PHARMACEUTICALS P/L	86 R. MUGABE ROAD	Pharmacy in any other location	HARARE	12/31/2025	
W01-P0171-2024	ACCESS PHARMACEUTICALS	CHILLENDEN ENTERPRISES (PVT) LTD	"19 STEELWORKS RD, STEELDALE"	Wholesalers	BULAWAYO	03/31/2025	
P01-P1540-2024	ACCULIFE PHARMACY	ACCULIFE PHARMACY	19247 SUNNINGDALE 2	Pharmacy in any other location	HARARE	08/31/2025	
P06-P1767-2024	ACCULIFE PHARMACY	ACCULIFE PHARMACY (PVT) LTD	318 BEATRICE TOWNSHIP	Pharmacy in rural area	BEATRICE	05/31/2025	
I03-P0216-2024	ACE AIR AND AMBULANCE CLINIC	ACE AIR AND AMBULANCE SERVICES (PVT) LTD	20 TELFORD GRANITESITE	Clinics: Class B	HARARE	09/30/2024	
P01-P1327-2024	AEDAN PHARMACY	YOBCARE INVESTMENTS (PVT) LTD	3810 NHORO ROAD WINDSOR PARK	Pharmacy in any other location	RUWA	12/31/2025	
P06-P1483-2024	AFFINITY PHARMACY	AFFINITY PHARMACY (PVT) LTD	STD 1238 RUSHINGA RURAL SERVICE CENTRE	Pharmacy in rural area	RUSHINGA	02/28/2025	
I02-P0131-2023	AFRICA UNIVERSITY CLINIC	AFRICA UNIVERSITY	AFRICA UNIVERSITY CAMPUS	Clinics: Class B	MUTARE	09/30/2024	
W01-P0210-2024	AFRIHELP PHARMACEUTICALS	AFRIHELP PHARMACEUTICALS (PVT) LTD	"15 BRISTOL, WORKINGTON"	Wholesalers	HARARE	05/31/2025	
P01-P1259-2024	AFRIHELP PHARMACY	AFRIHELP PHARMACEUTICALS (PVT) LTD	1024 GOKWE CENTRE	Pharmacy in any other location	GOKWE	05/31/2025	
P01-P1526-2024	AFROPHARM HEALTH PHARMACY	AFROCEUTICS (PVT) LTD	SHAP 4 STAND 14282 KUWADZANA EXTENSION	Pharmacy in any other location	HARARE	06/30/2025	
P01-P1639-2024	AFROPHARM HEALTH PHARMACY	AFROCEUTICS (PVT) LTD	12248 SIFRA COMPLEX KUWADZANA EXT	Pharmacy in any other location	HARARE	11/30/2025	
P01-P1515-2024	AFROPHARM HEALTH PHARMACY	AFROCEUTICS (PVT) LTD	SHOP 4 KEMBO SHOPS DZIVARASEKWA EXT	Pharmacy in any other location	HARARE	07/31/2025	
P01-P1425-2024	AFROW PHARMACY	AFROW HOLDINGS (PVT) LTD	10217 WESTERN TRIANGLE HIGHFIELDS	Pharmacy in any other location	HARARE	01/31/2025	
D01-P0031-2023	AHMED CLINIC	AHMED CLINIC	21 ROBSON MANYIKA AVENUE	Dispensing medical practice	HARARE	06/30/2024	
I03-P0179-2023	AIR ZIMBABWE CLINIC	AIR ZIMBABWE CORPORATION	HARARE INTERNATIONAL AIRPORT	Clinics: Class C	HARARE	09/30/2024	
P05-P1840-2024	ALIMED PHARMACY	ALIMED (PVT) LTD	78 KAGUVI STREET	Pharmacy located in the CBD	HARARE	01/31/2025	
P05-P1574-2024	ALLDAYS PHARMACY	EXCELLENT ABODE ENTERPRISES (PVT) LTD	NO. 14099 JM NKOMO/10TH AVE	Pharmacy located in the CBD	BULAWAYO	02/28/2025	
P05-P1258-2024	ALLERGY PHARMACY	TIMEWELL HEALTH (PVT) LTD	113 KWAME NKRUMAH AVENUE	Pharmacy located in the CBD	HARARE	02/28/2025	
P01-P1261-2024	ALLIANCE PHARMACY	ALLIANCE PHARMACEUTICALS (PVT) LTD	97 R.G. MUGABE WAY	Pharmacy in any other location	ZVISHAVANE	03/31/2025	
P01-P1467-2024	ALLYMAC PHARMACY	DAVCAM INVESTMENTS (PVT) LTD	SHOP 1 STD 14042 BRUNDISH	Pharmacy in any other location	CHINHOYI	12/31/2025	
P05-P1944-2024	ALMOND PHARMACY	ASAMED (PVT) LTD	146 CHINHOYI STREET	Pharmacy located in the CBD	HARARE	10/31/2025	
P01-P1334-2024	ALOWELL PHARMACY	STELVIO (PVT) LTD	NUMBER 14A KING GEORGE ROAD	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1534-2024	ALOWELL PHARMACY	STELVIO (PVT) LTD	STAND NO 12279 MAKOMVA GLENVIEW 8	Pharmacy in any other location	HARARE	12/31/2025	
P01-P1872-2024	ALOWELL PHARMACY	STELVIO INVESTMENTS (PVT) LTD	"46 CONNET RISE, BOND STREET, MT PLEASANT"	Pharmacy in any other location	HARARE	09/30/2025	
P01-P2014-2024	ALOWELL PHARMACY	STELVIO INVESTMENTS (PVT) LTD	39-41 CNR J TONGOGARA & S MUZENDA	Pharmacy in any other location	MASVINGO	02/28/2025	
P01-P1938-2024	ALPOM PHARMACY	CAREFOUR HEALTHCARE (PVT) LTD	8989 SPITZKOP B/CENTRE	Pharmacy in any other location	GWANDA	09/30/2025	
I03-P0088-2023	ALRO INDUSTRIAL CLINIC	REDGRAVE SERVICES (PVT) LTD	STD 18418/9 MUKUVISI OFFICE PARK	Clinics: Class C	HARARE	09/30/2024	
W01-P0142-2024	ANCHOR DISTRIBUTORS	GOLD STREAK (PVT) LTD	104B MCCHLERY ROAD EASTLEA	Wholesalers	HARARE	03/31/2025	
P01-P1921-2024	ANGEL PHARMACY	CROXFORD INVESTMENTS (PVT) LTD	96/97 MAINSTREET	Pharmacy in any other location	CHIPINGE	11/30/2025	
P01-P1245-2024	APEX 24 PHARMACY	RONETHIA INVESTMENTS (PVT) LTD	14663 DAMOFALLS PARK	Pharmacy in any other location	RUWA	11/30/2025	
P01-P1429-2024	APEX 24 PHARMACY	RONETHIA INVESTMENTS (PVT) LTD	327 NYAZEMA	Pharmacy in any other location	MACHEKE	04/30/2025	
P05-P1455-2024	APEX PHARMACY	MUCHMADLEE INVESTMENTS (PVT) LTD	"SHOP 3, ELIZABETH MANSIONS, 65 6TH ST"	Pharmacy located in the CBD	GWERU	03/31/2025	
P05-P1288-2024	AQUAMED PHARMACY	PRENCISMAK HEALTH (PVT) LTD	SHOP 5 KINGSMEAD NKWAME NKRUMAH	Pharmacy located in the CBD	HARARE	11/30/2025	
W01-P0194-2024	ARAVAS PHARMACEUTICALS	ARAVAS PHARMACEUTICALS (PVT) LTD	4471 PROSPECT IND. AREA	Wholesalers	HARARE	03/31/2025	
P01-P1957-2024	ARC PHARMACY	ALBERRICHARDSON MART INCORPORATED (PBC)	19622 / 15 MBIZO	Pharmacy in any other location	KWEKWE	01/31/2025	
P01-P1753-2024	ARCADE PHARMACY	M J CHEMISTS (PVT) LTD	"SHOP 4, FIRST MUTUAL CENTRE"	Pharmacy in any other location	MUTARE	01/31/2025	
P01-P1648-2024	ARCADIA MEDICAL CENTRE PHARMACY	KUREBWA PHARMACIES	"NO 2 BARDIA ROAD, ARCADIA"	Pharmacy in any other location	HARARE	11/30/2025	
P01-P1355-2024	ARDBENNIE PHARMACY	STRAITON INVESTMENTS (PVT) LTD	1 BOSHOFF DrIVE	Pharmacy in any other location	HARARE	11/30/2025	
P01-P2022-2024	ARIMED PHARMACY	ARIMED PHARMACY (PVT) LTD	"20 NDONGWE RD, MAZVITA MALL"	Pharmacy in any other location	HARARE	10/31/2025	
P01-P1298-2024	ARIMED PHARMACY	ARIMED PHARMACY (PVT) LTD	"NO. 40 381, MCH FUELS COMPLEX"	Pharmacy in any other location	HARARE	09/30/2025	
I03-P0140-2023	ARUNDEL SCHOOL CLINIC	ARUNDEL SCHOOL TRUST	28 ARUNDEL SCHOOL ROAD	Clinics: Class C	HARARE	09/30/2024	
P01-P1656-2024	ARUNDEL VILLAGE PHARMACY	ARUNDEL PHARMACY (PVT) LTD	SHOP 13&14 ARUNDEL S/CENTRE	Pharmacy in any other location	HARARE	02/28/2025	
W01-P0146-2024	ASCA HEALTH CARE	ASCA HEALTH CARE (PVT) LTD	"UNIT 1, FINANCE HOUSE 60 SPEKE AVENUE, HARARE"	Wholesalers	HARARE	03/31/2025	
P01-P1409-2024	ASCOT PHARMACY	PLUS FIVE PHARMACEUTICAL (PVT) LTD	SHOP 27 ASCOT SHOPPING CENTRE	Pharmacy in any other location	BULAWAYO	02/28/2025	
P01-P1346-2024	ASHBRITTLE PHARMACY	ASHBRITTLE PHARMACY (PVT) LTD	44 GOLDENSTAIRS ROAD EMERALD HILL	Pharmacy in any other location	HARARE	04/30/2025	
P01-P1368-2024	ASHER PHARMACY	ASHER PHARMACY (PVT) LTD	STAND 5551 BUDIRIRO 4 SHOPS	Pharmacy in any other location	HARARE	12/31/2025	
P01-P1325-2024	ASSISTHEALTH PHARMACY	ASSISTHEALTH PHARMACY (PVT) LTD	"26606 BUDIRIRO 2 TOWNSHIP, SHOP 4 MATIPANO BUILDING"	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1343-2024	ATLAS PHARM PHARMACY	ATLASPHARM (PVT) LTD	1 1ST AVENUE	Pharmacy in any other location	HARARE	01/31/2025	
P01-P1426-2024	AVENUES PHARMACY	WARNYORN ENTERPRISES (PVT) LTD	CNR MAZOWE ST/BAINES AVENUE	Pharmacy in any other location	HARARE	12/31/2025	
P01-P1406-2024	AVMED HEALTH PHARMACY	FELMARCH INVESTMENTS (PVT) LTD	1085 7TH STREET	Pharmacy in any other location	CHIPINGE	05/31/2025	
I02-P0202-2024	AYRSHIRE MINE INDUSTRIAL CLINIC	PAN AFRICAN MINING (PVT) LTD	AYSHIRE MINE	Clinics: Class B	BANKET	09/30/2024	
I03-P0082-2023	B A T ZIMBABWE CLINIC	B A T ZIMBABWE LTD	NO 1 MANCHESTER ROAD	Clinics: Class C	HARARE	09/30/2024	
W01-P0149-2024	B. BRAUN ZIMBABWE	B. BRAUN ZIMBABWE (PVT) LTD	"32 M & N KENMARK CRESCENT, BLUFFHILL PARK"	Wholesalers	HARARE	03/31/2025	
P06-P1737-2024	B.R. PHARMACY - MAPHISA	TSAURAI D. MAKURA	STD 2105/6 MAPHISA BUSINESS CENTRE	Pharmacy in rural area	603	03/31/2025	
H01-P0030-2024	BAINES AVENUE CLINIC PHARMACY	BAINES AVENUE CLINIC (PVT) LTD	66 BAINES AVENUE	Hospital pharmacies	HARARE	05/31/2025	
P01-P1564-2024	BAINES AVENUE RETAIL PHARMACY	BELIEVE PHARMACEUTICALS (PVT) LTD	66 BAINES AVENUE	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1658-2024	BALLANTYNE PARK PHARMACY	EXTRAMED PHARMACY (PVT) LTD	"BALLANTYNE PARK S/C, WELLBURN AVE"	Pharmacy in any other location	HARARE	09/30/2025	
P01-P1892-2024	BALLU PHARMACY	BALLU PHARMACY (PVT) LTD	52 CNR 4TH STREET AND DE JAGER	Pharmacy in any other location	MARONDERA	10/31/2025	
P01-P2019-2024	BALLU PHARMACY- YELLOW CITY	BALLU PHARMACY (PVT) LTD	3051 NUNGU EXT	Pharmacy in any other location	MARONDERA	05/31/2025	
P01-P1159-2024	BALM PHARMACY	BALM PHARMACY TRUST	STAND 3631 MASOCHA NDLOVU WAY	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1382-2024	BALSAM PHARMACY	BALSAM PHARMACY	SHOP A3207 JONGWE STREET	Pharmacy in any other location	MASVINGO	11/30/2025	
I02-P0150-2023	BAMBANANI NEW START CENTRE	POPULATION SOLUTIONS FOR HEALTH	90 S.PARIRENYATWA ST 1ST & 2ND FLOOR	Clinics: Class B	BULAWAYO	09/30/2024	
P05-P1264-2024	BANK STREET PHARMACY	BANK STREET PHARMACY (PVT) LTD	101 CHINHOYI STREET	Pharmacy located in the CBD	HARARE	03/31/2025	
D01-P0025-2023	BANKET FAMILY PRACTICE	DANDADZI TERENCE N. (Dr)	STD 232 STATION ROAD	Dispensing medical practice	BANKET	06/30/2024	
P01-P1586-2024	BANKETMART PHARMACY	CLANGERS ENTERPRISES (PBC)	"SHOP NO 2, STAND 20"	Pharmacy in any other location	BANKET	07/31/2025	
P05-P1453-2024	BARBICOL PHARMACY	CLANGERS ENTERPRISES PBC	NUMBER 294 E.D. MNANGAGWA RD	Pharmacy located in the CBD	MASVINGO	02/28/2025	
P01-P1419-2024	BARBOURFIELDS PHARMACY	SIKHUMBUZO MPOFU	SHOP 208 BARBOURFIELDS SHOPPING CENTRE	Pharmacy in any other location	BULAWAYO	06/30/2025	
P01-P1268-2024	BARRY NELL PHARMACY	TASIMONIES INVESTMENTS (PVT) LTD	264A J. TONGOGARA AVENUE	Pharmacy in any other location	MASVINGO	04/30/2025	
P01-P1662-2024	BEACON PHARMACY	BEACON PHARMACIES (PVT) LTD	845 MUBAIRO ROAD HATCLIFFE	Pharmacy in any other location	HARARE	01/31/2025	
P01-P1213-2024	BEITBRIDGE PHARMACY	HEALTHMART PHARMACY (PVT) LTD	170 DULIBADZIMU	Pharmacy in any other location	BEITBRIDGE	10/31/2025	
P01-P1458-2024	BELLEVUE PHARMACY	HARDWORK INVESTMENTS (PVT) LTD	"105 GLADSTONE RD, BELLEVUE S/CENTRE"	Pharmacy in any other location	BULAWAYO	01/31/2025	
P06-P1960-2024	BELVEDERE PHARMACY	LELLYFORD INVESTMENTS (PVT) LTD	STAND 14575	Pharmacy in rural area	KADOMA	04/30/2025	
P01-P1557-2024	BELVEDERE PHARMACY	LELLYFORD INVESTMENTS (PVT) LTD	189 SAMORA MACHEL	Pharmacy in any other location	HARARE	11/30/2025	
P01-P1551-2024	BELVEDERE PHARMACY-LONGCHENG	LELLYFORD INVESTMENTS (PVT) LTD	SHOP 6-7 LONGCHEN PLAZA	Pharmacy in any other location	HARARE	11/30/2025	
I04-P0117-2023	BELVERDERE TECH. TEACHERS COLLEGE	BELVEDERE TECHNICAL TEACHERS COLLEGE	"1 HAVARD RD, BELVEDERE"	Clinics: Class D	HARARE	09/30/2024	
P06-P0797-2024	BERTINO PHARMACY	BERTIINO PHARMACY (PVT) LTD	STD NO 57-58 CENTRAL AVENUE	Pharmacy in rural area	MVUMA	04/30/2025	
P06-P1747-2024	BERTINO PHARMACY - CHAKA	BERTINO PHARMACY (PVT) LTD	3333 SHOKO STORE CHAKA T/SHIP	Pharmacy in rural area	MVUMA	02/28/2025	
W01-P0200-2024	BEST COMFORTS HOLDINGS	BEST COMFORTS HOLDINGS (PVT) LTD	"NO 3 ST LUKES ROAD, GREENDALE,"	Wholesalers	HARARE	03/31/2025	
P05-P2010-2024	BESTZONE PHARMACY	BESTZONE (VT) LTD	"SHOP 1, GORLON HOUSE 7 JASON MOYO AVE"	Pharmacy located in the CBD	HARARE	02/28/2025	
P05-P1294-2024	BESTZONE PHARMACY	BESTZONE (PVT) LTD	70 ROBERT MUGABE ROAD	Pharmacy located in the CBD	HARARE	10/31/2025	
P05-P1514-2024	BESTZONE PHARMACY	BESTZONE PHARMACY	56 NELSON MANDELA	Pharmacy located in the CBD	HARARE	07/31/2025	
P05-P1575-2024	BESTZONE PHARMACY	BESTZONE (PVT) LTD	141 MBUYA NEHANDA STREET	Pharmacy located in the CBD	HARARE	01/31/2025	
