finding_snomed_concept_id	qualifer_relationship_snomed_concept_id	qualifer_value_snomed_concept_id	qualifer_value_concrete	sats_primary_name	sats_secondary_text	sats_priority_snomed_concept_id
79688008				Obstructed airway	Not breathing	25876001
230690007	246454002	15240007		Seizure	Current	25876001
284549007	47429007	89545001		Burn	Facial/Inhalation	25876001
302866003	258395000	258677007	{"value": 3, "unit": "mmol/l", "comparator": "<"}	Hypoglycaemia	Glucose less than 3mmol/l	25876001
410429000				Cardiac arrest		25876001
242690004	363589002	1356878002		High energy transfer	Severe mechanism of injury	1356878002
422504002	42752001	230690007		Focal neurology — acute	Stroke	1356878002
72704001	116676008	261665006		Fracture	Closed (no break in the skin)	1356878002
284549007	116676008	355624006		Burn	Circumferential	1356878002
267036007	263502005	373933003		Shortness of breath - acute		1356878002
248042009				Aggression		1356878002
284549007	42752001	441900009		Burn	Chemical	1356878002
271594007				Level of consciousness reduced/confused		1356878002
397945004				Threatened limb		1356878002
75478009				Poising / Overdose		1356878002
49727002				Coughing blood		1356878002
125670008				Eye injury		1356878002
420422005	258395000	259031006	{"glucose": {"value": 11, "unit": "mmol/l", "comparator": ">"}, "ketonuria": true}	Diabetic - glucose over 11 and ketonuria		1356878002
29857009				Chest pain		1356878002
87642003	363698007	29707007		Dislocation of larger joint	not finger or toe	1356878002
249497008				Vomiting fresh blood		1356878002
283545005				Stabbed neck		1356878002
31739005	116676008	261665006		Fractured - compound	with a break in skin	1356878002
200144004	42752001	414237009		Pregnancy and abdominal trauma		1356878002
398057008	246176004	51114001		Haemorrhage uncontrolled	arterial bleed	1356878002
212049006	276140008		20	Burn over 20%		1356878002
200144004	42752001	414237009		Pregnancy and abdominal trauma		1356878002
246545002	288526004	288524001		Seizure - post ictal		1356878002
76948002	246112005	24484000		Severe pain		1356878002
284549007	246112005	6736007		Burn	Moderate pain	1356878002
131148009	363589002	31509003		Haemorrhage	Controlled	103391001
87642003	363698007	7569003		Dislocation of finger or toe		103391001
72704001	116676008	261665006		Fracture	Closed (no break in the skin)	103391001
284549007				Burn	Other	103391001
21522001				Abdominal pain		103391001
44054006	258395000	259031006	{"value": 17, "unit": "mmol/l", "comparator": ">", "ketonuria": false}	Diabetic	Glucose over 17 (no ketonuria)	103391001
422400008				Vomiting persistently		103391001
200144004	363698007	49755003		Pregnancy & PV trauma		103391001
47821001	363698007	49755003		Pregnancy & PV bleed		103391001
284549007	246112005	6736007		Burn	Moderate pain	103391001
