name,longitude,latitude,address,category,vha,phone,lastColumn
Beitbridge,29.98760986330,-22.20458000000,Matebeleland South,District Hospital,FALSE,UNKNOWN,
Chamunangana,29.60194015500,-21.60719000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
Chasvingo,30.50114059450,-22.05558000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
Chikwarakwara,31.09124946590,-22.31725000000,Matebeleland South,Rural Health Centre,FALSE,UNKNOWN,
Chituripasi,30.78753089900,-22.20064000000,Matebeleland South,Rural Health Centre,FALSE,UNKNOWN,
Dite,30.39002990720,-22.22214000000,Matebeleland South,Rural Health Centre,FALSE,UNKNOWN,
Dulibadzimu,29.98372077940,-22.20681000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
Majini,29.69067001340,-21.50331000000,Matebeleland South,Rural Health Centre,FALSE,UNKNOWN,
Makakabule,29.93680953980,-22.13792000000,Matebeleland South,Rural Health Centre,FALSE,UNKNOWN,
Zezane,29.50341987610,-21.62461000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
ZRP,30.00518989560,-22.21992000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
Masera,29.58650016780,-21.93431000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
Nottingham,29.63697052000,-22.12217000000,Matebeleland South,Rural Health Centre,FALSE,UNKNOWN,
NRZ,30.00781059270,-22.22078000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
Prison,29.98527908330,-22.22269000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
Shabwe,30.22278022770,-22.10489000000,Matebeleland South,Rural Health Centre,FALSE,UNKNOWN,
Shashe,29.32243919370,-22.10292000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
Swereki,29.40386009220,-21.87125000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
Tongwe,30.04042053220,-21.93567000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
Mtetengwe,29.92830000000,-21.99529000000,Matebeleland South,Clinic,FALSE,UNKNOWN,
Mazunga,29.86923000000,-21.73450000000,Matebeleland South,Clinic(Not Open),FALSE,UNKNOWN,
Makombe,30.54910000000,-21.90371000000,Matebeleland South,Clinic (construction),FALSE,UNKNOWN,
Bikita,31.60647010800,-20.06703000000,Masvingo,Rural Hospital,FALSE,UNKNOWN,
Chikuku,31.86856079100,-20.00050000000,Masvingo,Clinic,FALSE,UNKNOWN,
Chirorwe,31.91802978520,-19.88528000000,Masvingo,Clinic,FALSE,UNKNOWN,
Chitasa,31.85453033450,-20.20817000000,Masvingo,Clinic,FALSE,UNKNOWN,
Devure 1,32.12055969240,-19.95322000000,Masvingo,Clinic,FALSE,UNKNOWN,
