name,longitude,latitude,address,category,vha,phone,lastColumn
Beitbridge,29.98760986330,-22.20458000000,"Beitbridge, Matabeleland South Province, ZW",District Hospital,FALSE,,
Chamunangana,29.60194015500,-21.60719000000,"Sitauzis, Gwanda, Matabeleland South Province, ZW",Clinic,FALSE,,
Chasvingo,30.50114059450,-22.05558000000,"Beitbridge, Matabeleland South Province, ZW",Clinic,FALSE,,
Chikwarakwara,31.09124946590,-22.31725000000,"Beitbridge, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Chituripasi,30.78753089900,-22.20064000000,"Tshiturapadsi, Beitbridge, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Dite,30.39002990720,-22.22214000000,"Sinyoni, Beitbridge, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Dulibadzimu,29.98372077940,-22.20681000000,"Shop number 6, Tsumbo Complex Dulivadzimu, Beitbridge, ZW",Clinic,FALSE,,
Majini,29.69067001340,-21.50331000000,"Makado, Gwanda, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Makakabule,29.93680953980,-22.13792000000,"Beitbridge, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Zezane,29.50341987610,-21.62461000000,"Sitauzis, Gwanda, Matabeleland South Province, ZW",Clinic,FALSE,,
ZRP,30.00518989560,-22.21992000000,"Beitbridge, Matabeleland South Province, ZW",Clinic,FALSE,,
Masera,29.58650016780,-21.93431000000,"Makado, Beitbridge, Matabeleland South Province, ZW",Clinic,FALSE,,
Nottingham,29.63697052000,-22.12217000000,"Beitbridge, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
NRZ,30.00781059270,-22.22078000000,"Beitbridge, Matabeleland South Province, ZW",Clinic,FALSE,,
Prison,29.98527908330,-22.22269000000,"Beitbridge, Matabeleland South Province, ZW",Clinic,FALSE,,
Shabwe,30.22278022770,-22.10489000000,"Nuli, Beitbridge, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Shashe,29.32243919370,-22.10292000000,"Maramani, Beitbridge, Matabeleland South Province, ZW",Clinic,FALSE,,
Swereki,29.40386009220,-21.87125000000,"Masole, Beitbridge, Matabeleland South Province, ZW",Clinic,FALSE,,
Tongwe,30.04042053220,-21.93567000000,"Beitbridge, Matabeleland South Province, ZW",Clinic,FALSE,,
Mtetengwe,29.92830000000,-21.99529000000,"Beitbridge, Matabeleland South Province, ZW",Clinic,FALSE,,
Mazunga,29.86923000000,-21.73450000000,"Mazunga, Beitbridge, Matabeleland South Province, ZW",Clinic(Not Open),FALSE,,
Makombe,30.54910000000,-21.90371000000,"Beitbridge, Matabeleland South Province, ZW",Clinic (construction),FALSE,,
Bikita,31.60647010800,-20.06703000000,"Bikita, Masvingo Province, ZW",Rural Hospital,FALSE,,
Chikuku,31.86856079100,-20.00050000000,"Village 14 Devure Resettlement Area, Bikita, Masvingo Province, ZW",Clinic,FALSE,,
Chirorwe,31.91802978520,-19.88528000000,"Gutu, Masvingo Province, ZW",Clinic,FALSE,,
Chitasa,31.85453033450,-20.20817000000,"Bikita, Masvingo Province, ZW",Clinic,FALSE,,
Devure 1,32.12055969240,-19.95322000000,"Buhera, Masvingo Province, ZW",Clinic,FALSE,,
Hozvi,31.53725051880,-20.05172000000,"Nyika Growth Point, Bikita, Masvingo Province, ZW",Clinic,FALSE,,
Marozva,31.52099990840,-20.00053000000,"Nyika Growth Point, Bikita, Masvingo Province, ZW",Clinic,FALSE,,
Mashoko,31.75057983400,-20.50519000000,"Matsai Twp, Bikita, Masvingo Province, ZW",Hospital,FALSE,,
Mkanga,31.72113990780,-20.43703000000,"Matsai Twp, Bikita, Masvingo Province, ZW",Rural Hospital,FALSE,,
Murwira,31.65306091310,-19.94133000000,"Muvuti, Gutu, Masvingo Province, ZW",Clinic,FALSE,,
Ngorima,31.68431091310,-20.28881000000,"Bikita, Masvingo Province, ZW",Clinic,FALSE,,
Nyika,31.58885955810,-20.00586000000,"Nyika Growth Point, Bikita, Masvingo Province, ZW",Rural Health Centre,FALSE,,
Odzi,31.85753059390,-20.42022000000,"Matsai Twp, Bikita, Masvingo Province, ZW",Clinic,FALSE,,
Pfupajena,31.61775016780,-20.18919000000,"Bikita, Masvingo Province, ZW",Clinic,FALSE,,
Silveira,31.68678092960,-20.02347000000,"Bikita, Masvingo Province, ZW",Mission Hospital,FALSE,,
Mukore,31.84224000000,-20.14081000000,"Village 14 Devure Resettlement Area, Bikita, Masvingo Province, ZW",Rural Health Centre,FALSE,,
Mutikizizi,31.71084000000,-20.20992000000,"Bikita, Masvingo Province, ZW",Rural Health Centre,FALSE,,
Gangare,31.81698000000,-19.91530000000,"Gutu, Masvingo Province, ZW",Rural Health Centre,FALSE,,
Masarasa,31.42301000000,-19.95815000000,"Glencova, Masvingo, Masvingo Province, ZW",Clinic,FALSE,,
Mungezi,31.52096000000,-19.91393000000,"Glencova, Masvingo, Masvingo Province, ZW",Rural Health Centre,FALSE,,
Negovano,31.72709000000,-20.12917000000,"Bikita, Masvingo Province, ZW",Rural Health Centre,FALSE,,
Gava,31.80962000000,-20.53792000000,"Matsai Twp, Chiredzi, Masvingo Province, ZW",Rural Health Centre,FALSE,,
Bindura,31.32876968380,-17.29005000000,"Bindura, Mashonaland Central Province, ZW",Provincial Hospital,FALSE,,
Bindura Polyclinic,31.33197975160,-17.30967000000,"Bindura, Mashonaland Central Province, ZW",Clinic,FALSE,,
Chipadze,31.35515022280,-17.31758000000,"Shamva-Bindura Rd, Bindura, ZW",Clinic,FALSE,,
Chiriseri,31.16135025020,-17.45422000000,"Chigiji Road, ZW",Clinic,FALSE,,
Chiveso,31.34956932070,-17.46283000000,"Chikupo, Goromonzi, Mashonaland Central Province, ZW",Clinic,FALSE,,
Chiwaridzo,31.35922050480,-17.32222000000,"Bindura, Mashonaland Central Province, ZW",Clinic,FALSE,,
Farm H.Centre,31.35577964780,-17.31998000000,"Bindura, Mashonaland Central Province, ZW",Clinic,FALSE,,
