resourceId	address	city	country	postalCode	state	use
00000000-0000-0000-0000-000000000001	120 Main St, Bristol, UK, 23456	Bristol		23456	UK	
dc402838-6eab-4d13-88d7-7f88124e8a43	120 Main St, Bristol, UK, 23456	Bristol		23456	UK	work
778e81e5-ab37-4957-a5a7-2c53de4dc19b	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
d2f712cd-5aa0-4fb7-83f9-6b6ffae5de75	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
0c94f3d6-b719-450c-8ae4-6bb1a04685f4	Makado, Gwanda, Matabeleland South Province, ZW	Gwanda		ZW	Matabeleland South Province	
b2704313-70f8-4fe8-bd77-7a2782937304	Makado, Gwanda, Matabeleland South Province, ZW	Gwanda		ZW	Matabeleland South Province	work
b00bf56e-9f6b-44e7-8539-08a1b9713eca	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
8fe04064-cb8c-43ac-8839-54f77e8eccaf	Nuli, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
76576f59-d8ff-4b28-aad7-732924230b42	Makado, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
e61ebaa0-7f57-4037-b510-432c355bb2e3	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
f5e0ab29-01a2-4a3b-9056-0ce446670f1d	Gutu, Masvingo Province, ZW	Gutu		ZW	Masvingo Province	
2958c28e-6b2c-4bf5-ae3c-5bd0f58b33a0	Buhera, Masvingo Province, ZW	Buhera		ZW	Masvingo Province	work
9bcda153-0ba0-4595-9161-d706ae7caf2d	Muvuti, Gutu, Masvingo Province, ZW	Gutu		ZW	Masvingo Province	
0a5a28a5-5b72-4364-a579-20eda3b6fc96	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
d376cffc-f899-4e4b-b3c0-7da1ca178447	Muvuti, Gutu, Masvingo Province, ZW	Gutu		ZW	Masvingo Province	work
28c5e951-5f78-4eae-af51-1eabd33eb32b	Village 14 Devure Resettlement Area, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	work
7dd92387-8f4f-487d-8888-db98fc252aaa	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
21259548-2c35-43f1-af50-f8d1bdf1a639	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
405a0218-4021-4723-8b3f-f4d56aae4786	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
ab3e7239-fbd5-4a94-9994-311531d188e6	Chinamhora, Goromonzi, Mashonaland East Province, ZW	Goromonzi		ZW	Mashonaland East Province	
75479a06-3585-4614-9940-18530c85ae5b	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
ba2d6cb4-49e3-4cfd-b055-35bd10c72676	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
6510d1b2-2847-4d65-886f-c174b485bd1f	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
ddece4d4-d958-415a-9dfe-e88bbc314a89	Pagariya Nelge Plaza, Pagariya Nelge Plaza pune nashik highway, NH50 Hereford Road, ZW	Pagariya Nelge Plaza pune nashik highway		ZW	NH50 Hereford Road	
d2f9c5f2-d642-4453-8b2f-190802d1b45a	Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
1a99feca-4e3c-49b1-94a4-07180c74ed0b	Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
6b949e53-f183-4db8-abd8-95e241d061df	Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
7c73e7c7-ce01-4f27-8bc5-27f9af747bef	Chief Simupas Village, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
22c547c7-449c-4c1e-a87e-c8f980efb8a2	Pashu, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
b91b72e7-34d6-4cc3-9b52-e872739423c1	Impampa, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
c38c8218-0e2b-4b93-9235-41bab2e7fdc9	Manjolo, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
c861b626-00b7-45c9-8aa0-8d7c2d7cb979	Impampa, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
c0f124f9-01b8-4126-b922-eeb4a4c15951	Manjolo, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
41869c18-ab55-4bf8-8fbc-75413f4f4b8f	Chief Sinasenkwe, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
e37cbc29-285b-4f84-a76c-f3ad152e84ad	Ngiki, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	
a27a43a2-f16d-456c-9f7c-8f0d87e33768	Ngiki, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	
afd1998b-01c3-401f-a3c5-b239dd19c840	Inyati, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	work
32349d21-1e78-4d70-9ae9-f0564204c8d4	Eastnor, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	work
daf6f538-36c5-4515-9470-79d043afbd7a	Dabula, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	work
d240f7ef-4374-4524-9c1e-082512d51d1b	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
f0f26e63-99be-43c9-9ba3-3af414eb1c9e	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
069d4220-b329-4662-9e3d-3a74e0e469ae	Baruru, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
c85ec47e-abd3-441f-992f-f50e50e66575	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
89d6acc9-b414-4db6-859f-f7b4eac7cfc5	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
a5878e08-9a22-4d08-a9c9-720f5de2dd46	Baruru, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
d3b81554-1c33-46e5-9777-44599494df79	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
15370a49-82af-49a6-9a3a-78c3d8b23708	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
98894448-359f-4e65-8326-e6d195d120c7	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
acc803d6-6ca5-4829-a29c-61ab599dac3f	Baruru, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
a4b83b62-e7cc-402f-9df4-c9f30c6a37a9	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
eab0d21d-d91d-4cf4-9f48-bc41ef0dc0fa	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
7770820d-0d31-44c7-b4d8-ba623deb495d	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
cec179ac-e8d3-44b1-9788-905a6e466c5a	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
f04a613e-2ec9-4e5a-9282-24daa5d4b19f	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
4f16a10b-b625-498e-a4a2-4173e0a32136	Dorowa, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
c023fd82-c99b-4092-8cc3-6a229f401f24	Brunapeg, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
7974b535-9d7d-410d-945d-98387464bfb2	Matole, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
e1011cc4-6244-4be2-a0e2-82b992ebd75f	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
74ca9aaa-c604-4470-a23c-dfc6627f5464	Shop number 6, Tsumbo Complex Dulivadzimu, Beitbridge, ZW	Tsumbo Complex Dulivadzimu		ZW	Beitbridge	work
372c97a4-228f-471e-a4c7-a922a6d1719c	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
b6231403-5728-4e07-b0f4-27980ec2f8f7	Masole, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
cf97e625-06cc-4fa3-b96d-8c09d99ce251	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
a458609d-5f97-4017-8937-c27c51fff482	Matsai Twp, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
1e56f316-ee94-4583-90ca-93f9901e0576	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	work
a4657fc4-e67b-459b-b833-987326c944b8	Village 14 Devure Resettlement Area, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
92ce2f79-db52-449c-9b28-a013c84cecb6	Matsai Twp, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	work
d26bc8fd-91d4-419f-b205-e7b0d03537ea	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	work
d37d2cec-9760-4141-a497-b3af785b0232	Sitauzis, Gwanda, Matabeleland South Province, ZW	Gwanda		ZW	Matabeleland South Province	
e86fa550-d40b-4184-a70f-2d7137b8f411	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
b93ab40c-4de7-43e8-ac37-63d737b99937	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
c6f201a2-150f-4f89-a3b2-c8f999d9c814	Maramani, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
38f6097c-840e-40ae-a8f4-882f1c93a4bc	Buhera, Masvingo Province, ZW	Buhera		ZW	Masvingo Province	
24abae0c-43d6-4806-94c0-b6e70ea33fcb	Gutu, Masvingo Province, ZW	Gutu		ZW	Masvingo Province	work
e8b20118-1aa1-412e-aa9d-ad2b51cc61ff	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	work
2e4e0724-5393-4959-b5ef-a02db7db5070	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
59d7a5a9-0da1-438e-9f45-2dcafcf6a4b3	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
56593bf6-9690-4882-afd0-c09151ff75af	Manhenga, Mashonaland Central Province, ZW	Manhenga		ZW	Mashonaland Central Province	work
9fbef091-d4da-403a-8ad0-b32e3de6d731	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
9162eb56-71d0-485d-921b-5caee9bdb9ec	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
8d630575-1f9e-485a-8c81-67ba0a0bd689	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
30e77b44-b284-46ac-a6c2-9c8fee1fac29	Chief Simupas Village, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
803cab2c-efdb-43d7-b145-ed95d936ebb1	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
695065a3-8848-46b1-a2b9-e3abf4612689	Siabuwa, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
24181296-e7e8-4554-a9bb-902a51de33ac	Manjolo, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
191e560c-56e5-4aeb-8c1b-6b4ba3e48df5	Eastnor, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	
eda6933b-a9ba-4779-9274-df7603014150	Turk Mine, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	work
bc6fce8f-ff67-48e7-a302-aa3d6b34befb	Dorowa, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
201deee7-7c97-40b7-adc2-1a6e27d1500a	Birchenough Bridge, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	
c81e4343-36fb-4a6e-9fdb-eef9f00b9a50	Dorowa, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
f4ff7e08-c8fd-4d74-bf7a-0ab04ce79918	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
b19f37a1-13c8-4380-b416-4fd2134c962f	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
3e915ce8-8d07-4cf0-bfc3-76bfaa5fa654	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
b719b3ea-5ebd-4f3e-b8f6-8e741a4ff34b	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
52817c9c-63a6-454b-b039-5c18f5d0b4bc	Brunapeg, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
e6d5b379-898e-49ab-84fa-3c648597ba4d	Ndolwane, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
a7b7f39a-427c-4f4d-a677-d612a895821d	Ndolwane, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
8e82c7aa-ee39-4e5b-b588-31164b0ae3f7	Marula, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
71446935-ae86-4e5e-84e5-95b72567f149	Mathole, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
554dcf7a-b883-43be-bdb9-7ac4b3af080f	Bezha, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
e8f8a868-2597-4fc1-a821-08e3d14498b9	Sheleni, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
432e74be-bdee-4d35-8b44-e8d177601cfb	Mathole, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
15c27ead-e629-4455-9a5c-f537bfecb421	Malalume, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
23277289-c94f-411c-a330-59db3e5cc4b8	Ndolwane, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
753de5a9-a94c-40fc-b9a3-ed9238cf946f	Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	
a50e619d-3d11-4436-b5f1-e62e8c7e3924	Ndolwane, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
25ae10a5-3c52-49d7-8c1e-3ce2f37b2f2e	Brunapeg, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
8ebd273d-418e-447c-baf6-3390864827d4	Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	
1778a118-29b7-4ef1-b086-2d6184246226	Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	
d9f3845a-4fea-4a80-b0fa-36e3621acd9e	Maclear, Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	
f5d64f60-756f-4609-9351-2e577ae98ef1	Taikoo, Guruve, Mashonaland Central Province, ZW	Guruve		ZW	Mashonaland Central Province	
e9dd0739-c721-4180-96cd-5822fa5faa29	Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	work
9720c60e-5d89-4d21-84ac-11c2b05e2364	Selous, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	work
29cc7ccb-d946-48f5-92d7-1e0c398f5aa2	Matswaire, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	
5ce6ebb3-2522-442e-8d29-6e2e779047c7	Chakara, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	
1729a719-f520-4d34-93c1-c81401942a91	Chinengundu, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	work
080b59e6-b695-459f-8bd9-536703c88fa5	Chakara, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	work
8062b9bc-9a6c-4589-be61-5ee602a94f4e	36H8+F47, Mbuya Nehanda Rd, Chegutu, ZW	Mbuya Nehanda Rd		ZW	Chegutu	
e9ccad58-2567-458f-bcd7-58da9aa8fee2	mhondoro, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	
e55665b1-7cdc-4baf-9338-33da5e0f7697	Malube, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	work
13ce74a7-02d8-4b2c-8ad5-949c7ce505ec	Marirangwe Rd, Marirangwe Rd, ZW			ZW	Marirangwe Rd	work
0671010f-6c0e-45a5-925d-711ac7b5aca5	Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	
be76f024-7c98-4948-a262-b6b101c7d428	Chinengundu, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	work
c6778af7-f6b4-4bf9-a426-f87b3a88df0c	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
a3ef4462-a2ed-4932-9c42-d6d8a4fff8db	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
6f594d01-f65a-4ee6-a90b-2805e406641d	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
0ccd0008-7584-4047-b4c2-43a274ab5287	Masole, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
969ba49c-a4dd-4e97-9142-08f1dc74a6ff	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
0fdbad4a-e7dd-4f7d-b09c-9967f91394a4	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
1da6322e-2b06-4670-abd2-952916f1ee95	Matsai Twp, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
d7b7c015-15f1-44a5-b0c3-0b1b5d043001	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
2034a175-85c7-45eb-824b-8ca790ac5c6c	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
0fd65e7a-8f34-4cc9-81cb-a40b220a7d84	Glencova, Masvingo, Masvingo Province, ZW	Masvingo		ZW	Masvingo Province	
1ba969d6-503a-498c-b597-d646c64277eb	Matsai Twp, Chiredzi, Masvingo Province, ZW	Chiredzi		ZW	Masvingo Province	
12ab6e34-5bb1-45b3-a8de-52ba344c4e38	Mhembere, Goromonzi, Mashonaland East Province, ZW	Goromonzi		ZW	Mashonaland East Province	work
