id	created_at	updated_at	google_maps_place_id	formatted	street_number	route	unit	street	locality	postal_code	administrative_area_level_1	administrative_area_level_2	country
ffccf059-61ff-42cb-a95b-ae2025453ea9	2026-03-25 02:27:04.610361+00	2026-03-25 02:27:04.610361+00		Aberdeen, Sarah Baartman District Municipality, Eastern Cape, South Africa, 6270					Aberdeen	6270	Eastern Cape	Sarah Baartman District Municipality	ZA
8311062f-086a-43d5-bc98-12aee0fe283b	2026-03-25 02:27:04.636552+00	2026-03-25 02:27:04.636552+00		45, Jeffreys Bay, Sarah Baartman District Municipality, Eastern Cape, South Africa, 6330	45			45	Jeffreys Bay	6330	Eastern Cape	Sarah Baartman District Municipality	ZA
9c3daac3-6327-4005-a1ff-277ad51e79a7	2026-03-25 02:27:04.650179+00	2026-03-25 02:27:04.650179+00		8, Adelaide, Amathole District Municipality, Eastern Cape, South Africa, 5760	8			8	Adelaide	5760	Eastern Cape	Amathole District Municipality	ZA
96d2ded0-cbf3-4369-8d85-58b68d9f8233	2026-03-25 02:27:04.650316+00	2026-03-25 02:27:04.650316+00		31, Nqweba, Sarah Baartman District Municipality, Eastern Cape, South Africa, 6125	31			31	Nqweba	6125	Eastern Cape	Sarah Baartman District Municipality	ZA
8da294aa-b19c-4032-81fa-52d017ff5df8	2026-03-25 02:27:04.658486+00	2026-03-25 02:27:04.658486+00		193, Aberdeen, Sarah Baartman District Municipality, Eastern Cape, South Africa, 6270	193			193	Aberdeen	6270	Eastern Cape	Sarah Baartman District Municipality	ZA
a6b7ee85-83bc-452c-81e5-63d8be99d623	2026-03-25 02:27:04.662917+00	2026-03-25 02:27:04.662917+00		Adelaide, Amathole District Municipality, Eastern Cape, South Africa, 5760					Adelaide	5760	Eastern Cape	Amathole District Municipality	ZA
003ffda9-fcc7-43e9-8e97-52fbeb0c0aa3	2026-03-25 02:27:04.664795+00	2026-03-25 02:27:04.664795+00		16, Addo, Sarah Baartman District Municipality, Eastern Cape, South Africa, 6105	16			16	Addo	6105	Eastern Cape	Sarah Baartman District Municipality	ZA
3a6d08d0-e6fe-4f23-abe0-565ba3daf08f	2026-03-25 02:27:04.667661+00	2026-03-25 02:27:04.667661+00		50, Adelaide, Amathole District Municipality, Eastern Cape, South Africa, 5760	50			50	Adelaide	5760	Eastern Cape	Amathole District Municipality	ZA
55adafec-13f8-4f08-b1f3-b3b36ce85107	2026-03-25 02:27:04.724354+00	2026-03-25 02:27:04.724354+00		2730, KwaNojoli, Sarah Baartman District Municipality, Eastern Cape, South Africa, 5850	2730			2730	KwaNojoli	5850	Eastern Cape	Sarah Baartman District Municipality	ZA
e2dc8a7a-c08b-46e1-af4b-56f1607c65a1	2026-03-25 02:27:04.732025+00	2026-03-25 02:27:04.732025+00		Glen Ambrose, Sarah Baartman District Municipality, Eastern Cape, South Africa					Glen Ambrose		Eastern Cape	Sarah Baartman District Municipality	ZA
79b5e9f8-7817-4fb1-8977-fa72b84a3318	2026-03-25 02:27:04.739846+00	2026-03-25 02:27:04.739846+00		1481, Alexandria, Sarah Baartman District Municipality, Eastern Cape, South Africa, 6185	1481			1481	Alexandria	6185	Eastern Cape	Sarah Baartman District Municipality	ZA
4c85a0e2-0290-48b5-ab0f-5974a17f6920	2026-03-25 02:27:04.741846+00	2026-03-25 02:27:04.741846+00		Nonqobo, Alfred Nzo District Municipality, Eastern Cape, South Africa					Nonqobo		Eastern Cape	Alfred Nzo District Municipality	ZA
