id	created_at	updated_at	required_measurement_snomed_concept_id	age_min_days	age_max_days	medical_standard	clinical_rationale	is_required	effective_date	expiration_date	active
0b68fa27-6a27-4031-b5bc-30af1653dacb	2025-10-12 17:21:32.758449+00	2025-10-12 17:21:32.758449+00	8499008	0	28	PALS_2025	Heart rate monitoring for neonatal patients per PALS 2020-2025 guidelines	t	2025-10-12		t
c23b3c51-1c00-4c9b-b74d-0bf784406ffb	2025-10-12 17:21:32.761966+00	2025-10-12 17:21:32.761966+00	86290005	0	28	PALS_2025	Respiratory rate monitoring for neonatal patients per PALS 2020-2025 guidelines	t	2025-10-12		t
14d693bd-c480-41c0-bddb-5dc998d6ab21	2025-10-12 17:21:32.764284+00	2025-10-12 17:21:32.764284+00	386725007	0	28	PALS_2025	Temperature monitoring for neonatal patients; critical for thermoregulation assessment	t	2025-10-12		t
e8fd7bbe-3f82-4f41-a2d2-1aca9643dd3c	2025-10-12 17:21:32.766483+00	2025-10-12 17:21:32.766483+00	103228002	0	28	PALS_2025	Oxygen saturation monitoring for neonatal patients; essential for respiratory assessment	t	2025-10-12		t
015a484d-7b1d-4d5f-b677-6364423bf4d6	2025-10-12 17:21:32.768546+00	2025-10-12 17:21:32.768546+00	363808001	0	28	WHO_2023	Weight measurement for neonatal growth monitoring per WHO standards	t	2025-10-12		t
5cb76301-4546-48cc-abec-c75c4d47610b	2025-10-12 17:21:32.770851+00	2025-10-12 17:21:32.770851+00	363812007	0	28	WHO_2023	Head circumference for neonatal brain development monitoring per WHO standards	t	2025-10-12		t
11e54dd5-bf35-4790-875c-f30348122636	2025-10-12 17:21:32.772954+00	2025-10-12 17:21:32.772954+00	8499008	29	365	PALS_2025	Heart rate monitoring for infant patients per PALS 2020-2025 guidelines	t	2025-10-12		t
7cfb9d4e-caab-4b23-801c-03754654cc87	2025-10-12 17:21:32.774931+00	2025-10-12 17:21:32.774931+00	86290005	29	365	PALS_2025	Respiratory rate monitoring for infant patients per PALS 2020-2025 guidelines	t	2025-10-12		t
1ab787e8-f922-40ef-9940-8287b531f26c	2025-10-12 17:21:32.777461+00	2025-10-12 17:21:32.777461+00	386725007	29	365	PALS_2025	Temperature monitoring for infant patients	t	2025-10-12		t
c1d7aede-8483-4a67-b4ce-aad0ae063cd3	2025-10-12 17:21:32.779939+00	2025-10-12 17:21:32.779939+00	103228002	29	365	PALS_2025	Oxygen saturation monitoring for infant patients; normal >94%	t	2025-10-12		t
faf6af47-0cb1-4ded-9090-30fc373268ef	2025-10-12 17:21:32.782007+00	2025-10-12 17:21:32.782007+00	363808001	29	365	WHO_2023	Weight measurement for infant growth monitoring per WHO growth charts	t	2025-10-12		t
0b40eb56-3995-478b-ac06-2c1db6482785	2025-10-12 17:21:32.784176+00	2025-10-12 17:21:32.784176+00	1153637007	29	365	WHO_2023	Length measurement for infant growth monitoring per WHO growth charts	t	2025-10-12		t
df8cca0a-0d4d-4c92-8880-0fccc25e071e	2025-10-12 17:21:32.786227+00	2025-10-12 17:21:32.786227+00	363812007	29	365	WHO_2023	Head circumference for infant brain development monitoring (birth to 2 years critical)	t	2025-10-12		t
cb7f9fb0-1071-4bf5-932b-22aeb68c03a2	2025-10-12 17:21:32.788288+00	2025-10-12 17:21:32.788288+00	8499008	366	1095	PALS_2025	Heart rate monitoring for toddler patients per PALS 2020-2025 guidelines	t	2025-10-12		t
89327f7e-c17b-408c-acc2-6e62b0b2fbc6	2025-10-12 17:21:32.790212+00	2025-10-12 17:21:32.790212+00	86290005	366	1095	PALS_2025	Respiratory rate monitoring for toddler patients per PALS 2020-2025 guidelines	t	2025-10-12		t
5b27e11b-9ec4-4691-b895-7ddbf0244e42	2025-10-12 17:21:32.792073+00	2025-10-12 17:21:32.792073+00	386725007	366	1095	PALS_2025	Temperature monitoring for toddler patients	t	2025-10-12		t
0a07f5b8-b7e8-4658-b0be-a173c11e65fc	2025-10-12 17:21:32.793653+00	2025-10-12 17:21:32.793653+00	103228002	366	1095	PALS_2025	Oxygen saturation monitoring for toddler patients	t	2025-10-12		t
