condition_id	icd10_code
c_8815	B49
c_8815	G02
c_8321	E11.01
c_22401	Z98.83
c_4373	F17.210
c_3746	R59.0
c_18163	R94.01
c_2490	R60.9
c_9757	R61
c_10804	O41.1290
c_10846	C96.A
c_2238	R07.81
c_8251	R13.19
c_9975	H40.1290
c_13800	I80.9
c_4591	T14.8XXA
c_4591	T14.8XXD
c_4591	T14.8XXS
c_10205	S83.509A
c_10205	S83.509D
c_10205	S83.509S
c_10195	N52.9
c_9604	H54.7
c_9594	R51.9
c_16365	H53.8
c_8587	M62.10
c_25516	E11.21
c_2474	K90.81
c_2474	M14.80
c_2526	K22.0
c_8233	M05.00
c_8305	T78.2XXA
c_8305	T78.2XXD
c_8305	T78.2XXS
c_9775	E11.69
c_9775	K59.89
c_15130	N85.7
c_6225	B01.9
c_2256	R19.7
c_11528	N05.3
c_10711	E06.5
c_10745	M88.9
c_4342	J33.0
c_9404	D75.1
c_8615	E87.3
c_21795	Q85.89
c_9993	B02.30
c_21805	T81.30XA
c_21805	T81.30XD
c_21805	T81.30XS
c_21753	L98.1
c_10483	B46.5
c_3981	N18.9
c_3860	I70.1
c_2287	N92.0
c_8174	D74.8
c_7891	I86.4
c_27204	M79.673
c_21154	T56.891A
c_21154	T56.891D
c_21154	T56.891S
c_2472	M34.9
c_10728	N46.01
c_4368	R14.3
c_10249	T14.90XA
c_10249	T14.90XD
c_10249	T14.90XS
c_8788	D68.2
c_17535	F40.01
c_4574	K29.40
c_9438	R20.0
c_9698	H35.30
c_9708	K08.109
c_10510	K82.4
c_10509	K83.1
c_14670	J16.0
c_15759	H11.30
c_10433	D16.4
c_21936	B25.8
c_21936	H32
c_10631	D71
c_17263	D56.1
c_21729	L63.9
c_21730	L65.0
c_4341	K63.5
c_4323	N63.0
c_21736	L81.3
c_9421	S02.92XA
c_9421	S02.92XB
c_9421	S02.92XD
c_9421	S02.92XG
c_9421	S02.92XK
c_9421	S02.92XS
c_3953	R06.4
c_10760	N64.59
c_2222	I83.90
c_6436	L73.2
c_8153	N28.89
c_4046	M79.10
c_9270	K14.8
c_9269	J39.2
c_10343	C80.1
c_2271	R17
c_8337	M31.4
c_10233	L30.5
c_9774	C78.7
c_6713	F91.9
c_9725	H50.00
c_2239	R04.2
c_2240	J64
c_9802	G25.89
c_19534	I61.5
c_9126	R29.898
c_4933	I95.9
c_2211	Q24.9
c_2488	N94.6
c_8171	D73.5
c_4123	E87.20
c_4878	D49.7
c_4064	G70.9
c_15379	D58.2
c_10076	L12.0
c_2212	I25.10
c_10423	D39.2
c_10673	Q82.8
c_10472	C49.9
c_30572	J45.30
c_9900	H02.109
c_9890	Q65.2
c_9889	Q65.5
c_10455	C74.90
c_25510	N00.9
c_10457	C69.20
c_9948	L72.0
c_8327	M04.1
c_2967	H92.10
c_17654	F90.9
c_4347	K56.609
c_30573	J45.40
c_2901	G47.00
c_10656	L41.9
c_2891	Q21.10
c_8347	K86.1
c_20610	T82.9XXA
c_20610	T82.9XXD
c_20610	T82.9XXS
c_13435	P55.8
c_10396	C49.9
c_10406	C56.9
c_2717	J81.1
c_1981	M19.90
c_10690	B07.8
c_10700	L75.0
c_9366	J35.8
c_13006	O03.9
c_10641	L92.8
c_10516	P59.29
c_8196	J38.7
c_4868	G45.0
c_8206	K11.5
c_26605	S96.919A
c_26605	S96.919D
c_26605	S96.919S
c_2935	R35.89
c_5397	R40.20
c_6661	T76.92XA
c_6661	T76.92XD
c_6661	T76.92XS
c_3954	E87.6
c_23103	I20.9
c_9965	H42
c_2446	R16.0
c_17204	F33.9
c_2966	H30.90
c_10500	I67.1
c_21816	C85.10
c_10240	L44.4
c_8331	G12.21
c_9947	L28.0
c_8146	E72.02
c_8527	T43.505A
c_8527	T43.505D
c_8527	T43.505S
c_8527	G21.0
c_10042	F07.81
c_9916	M47.814
c_2170	F79
c_2169	F48.9
c_9855	O13.9
c_11095	J84.01
c_11105	D75.89
c_2917	C91.90
c_6703	D18.00
c_10441	D16.9
c_6693	Z20.5
c_8181	G93.7
c_18009	G56.10
c_11077	I70.90
c_18010	G56.20
c_8147	E72.09
c_7575	T68.XXXA
c_7575	T68.XXXD
c_7575	T68.XXXS
c_8164	E84.9
c_8223	R31.9
c_9982	H49.10
c_2510	K56.2
c_2509	K55.9
c_20707	P77.9
c_3562	T46.0X4A
c_3562	T46.0X4D
c_3562	T46.0X4S
c_11556	E78.3
c_26598	M79.646
c_26608	S63.619A
c_26608	S63.619D
c_26608	S63.619S
c_10320	C80.1
c_10319	D36.9
c_22009	J03.90
c_4227	D75.89
c_4732	D61.82
c_10385	D48.1
c_10613	L92.0
c_10691	B07.0
c_23369	M25.369
c_23370	M25.319
c_10430	D18.1
c_10429	D48.1
c_8136	E22.0
c_2308	L51.9
c_2298	L40.9
c_13044	K92.2
c_8624	E04.1
c_17501	F10.10
c_5893	R55
c_10354	C44.92
c_9279	Q89.2
c_9280	R09.89
c_3344	N21.0
c_2907	R41.0
c_2897	R06.00
c_5675	I35.9
c_4351	I77.0
c_23371	S83.289A
c_23371	S83.289D
c_23371	S83.289S
c_9661	R48.0
c_6572	M94.9
c_28450	F40.10
c_9095	H04.559
c_9427	S52.90XA
c_9427	S52.90XB
