id	name	term_icd9_code	term_icd9_text	consumer_name	is_procedure	info_link_href	info_link_text	created_at	updated_at
c_8815	Meningitis - fungal			Meningitis - fungal	f	http://www.nlm.nih.gov/medlineplus/meningitis.html	Meningitis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_8321	Coma - hyperosmolar nonketotic (HONK)	250.20	Diabetes mellitus, type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type with hyperosmolarity, not stated as uncontrolled	Coma - hyperosmolar nonketotic (HONK)	f	http://www.nlm.nih.gov/medlineplus/ency/article/000304.htm	Diabetic hyperglycemic hyperosmolar syndrome	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_22401	Filtering bleb failed	997.99	Other complications affecting other specified body systems, not elsewhere classified	Filtering bleb failed	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4373	Cigarette smoker	305.1	Tobacco use disorder	Cigarette smoker	f	http://www.nlm.nih.gov/medlineplus/smoking.html	Smoking	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_3746	Mediastinal adenopathy	519.3	Other diseases of mediastinum, not elsewhere classified	Lymph node enlargement - chest (mediastinal lymphadenopathy)	f	http://www.nlm.nih.gov/medlineplus/lymphaticdiseases.html	Lymphatic Diseases	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_18163	Seizure - electrographic			Seizure on EEG (electrographic)	f	http://www.nlm.nih.gov/medlineplus/seizures.html	Seizures	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2490	Edema peripheral	782.3	Edema	Foot or leg swelling (edema)	f	http://www.nlm.nih.gov/medlineplus/edema.html	Edema	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2489	Cystocele	618.01	Cystocele, midline	Cystocele	f	http://www.nlm.nih.gov/medlineplus/ency/article/001508.htm	Uterine prolapse	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9757	Hyperhidrosis	780.8	Generalized hyperhidrosis	Sweating - excessive (hyperhidrosis)	f	http://www.nlm.nih.gov/medlineplus/ency/article/007259.htm	Hyperhidrosis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10804	Chorioamnionitis			Placental infection (chorioamnionitis)	f	http://www.nlm.nih.gov/medlineplus/infectionsandpregnancy.html	Infections and Pregnancy	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_6714	Sexual abuse	V71.5	Observation following alleged rape or seduction	Sexual abuse	f	http://www.nlm.nih.gov/medlineplus/sexualassault.html	Sexual Assault	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10846	Histiocytosis - malignant	202.30	Malignant histiocytosis, unspecified site, extranodal and solid organ sites	Histiocytosis - malignant	f	http://www.nlm.nih.gov/medlineplus/ency/article/000068.htm	Histiocytosis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2238	Pleuritic pain	786.52	Painful respiration	Pleuritic pain	f	http://www.nlm.nih.gov/medlineplus/pleuraldisorders.html	Pleural Disorders	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
