id	created_at	updated_at	name
542b1916-9a04-4657-a30f-0205ddd4d0be	2026-03-06 00:22:55.975002+00	2026-03-06 00:22:55.975002+00	0.9% SODIUM CHLORIDE SOLUTION CHLORIDE FOR INFUSION B. BRAUN 1000 SOLUTION
699ae704-3acb-41d8-aae2-318ced4a2111	2026-03-06 00:22:55.989114+00	2026-03-06 00:22:55.989114+00	3TC 1 TABLET, COATED
2996017e-9f25-42ab-ba3d-ef6a9b8c7051	2026-03-06 00:22:55.989971+00	2026-03-06 00:22:55.989971+00	3TC 1 SOLUTION
dbd5da51-7be1-4585-b6f5-5f685a56c32a	2026-03-06 00:22:55.990741+00	2026-03-06 00:22:55.990741+00	5D 1 SOLUTION
6f194bd0-9d48-4d3d-83b1-c8fb3f85263e	2026-03-06 00:22:55.991436+00	2026-03-06 00:22:55.991436+00	ABACAVIR 1 TABLET, COATED
2f207294-88f0-4ac6-ba5a-c3904819abb9	2026-03-06 00:22:55.992054+00	2026-03-06 00:22:55.992054+00	ABACAVIR SULFATE; LAMIVUDINE 1 TABLET
54ce705d-8eec-4f61-ae95-dca2b5f05a69	2026-03-06 00:22:55.99262+00	2026-03-06 00:22:55.99262+00	ABACAVIR SULFATE; LAMIVUDINE 1 TABLET, COATED
6754aacb-222c-4422-ab30-04af3ddbd6b5	2026-03-06 00:22:55.993119+00	2026-03-06 00:22:55.993119+00	ABACAVIR SULFATE; LAMIVUDINE 1 TABLET, COATED
52e26b07-e28a-428a-adbe-a5dd3d113e0a	2026-03-06 00:22:55.993641+00	2026-03-06 00:22:55.993641+00	ABACAVIR SULFATE; LAMIVUDINE 1 TABLET
4244d280-2b36-4ab0-9474-a3c942235f19	2026-03-06 00:22:55.994143+00	2026-03-06 00:22:55.994143+00	ABACAVIR SULPHATE 1 TABLET, COATED
77eaacd0-55cd-4be4-b31a-e536cc23c2c3	2026-03-06 00:22:55.994578+00	2026-03-06 00:22:55.994578+00	ABACAVIR SULPHATE 1 TABLET, COATED
50d861be-7b41-4190-8073-8af50b946ea0	2026-03-06 00:22:55.994988+00	2026-03-06 00:22:55.994988+00	ABACAVIR SULPHATE 1 SOLUTION
9f268348-efe6-4229-a08f-682b63b91e7e	2026-03-06 00:22:55.99541+00	2026-03-06 00:22:55.99541+00	ABACAVIR SULPHATE 1 TABLET
38706a98-4e29-4bc7-acd1-092f1847eb77	2026-03-06 00:22:55.99587+00	2026-03-06 00:22:55.99587+00	ABACAVIR SULPHATE; LAMIVUDINE 1 TABLET
9d3ac5f7-caed-4828-8739-f3ce19b1b1f8	2026-03-06 00:22:55.99626+00	2026-03-06 00:22:55.99626+00	ABACAVIR SULPHATE; LAMIVUDINE 1 TABLET
e2aab318-a71b-400f-90a9-08511af5b847	2026-03-06 00:22:55.996673+00	2026-03-06 00:22:55.996673+00	ABACAVIR SULPHATE; LAMIVUDINE 1 TABLET, COATED
2a8b3b3e-86c2-4ac5-8cc9-ad8806abd8c2	2026-03-06 00:22:55.99704+00	2026-03-06 00:22:55.99704+00	ABACAVIR SULPHATE; LAMIVUDINE 1 TABLET
