id	created_at	updated_at	generic_name
a0811ddd-00e8-477a-be6a-464757279042	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	LAMIVUDINE
1a057469-8871-49df-a086-a0ea2c4227ae	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR
15c02077-371a-4b65-901b-80e6961b02bc	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULFATE; LAMIVUDINE
669ca71b-b45b-46cc-abc3-18f563c171a9	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE
0c0bc74d-b6c8-4bea-b4ad-8fe4ec9224af	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE; LAMIVUDINE
452da269-20f9-439c-8bce-65bb4b1160f9	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE; LAMIVUDINE; ZIDOVUDINE
dc6c5c06-b225-47cb-9386-719774c612dc	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE
d89a2bb6-7147-4912-9d9a-a6a6edda0ae5	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR; LAMIVUDINE
f9992769-04fe-40bb-807a-03f2f2fcd6d2	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	PURIFIED VERO CELL RABIES
a0e513af-e393-40b6-be2f-89b8cfc9a3e5	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	HYDROCHLOROTHIAZIDE; IRBESARTAN
036548f5-6f7a-4956-8798-adc643a288f7	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ALBENDAZOLE
2b0fccf2-9d93-4d33-9390-701abdf95442	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	HYDROCHLOROTHIAZIDE; QUINAPRIL HYDROCHLORIDE
00121dce-a966-472a-928e-b8eb8417aa22	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACETAZOLAMIDE
9edf2b86-9d88-4f97-bec6-fed003228983	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACYCLOVIR
c1d6e695-520b-4ee9-9e9d-7e6da9a2640e	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACECLOFENAC
142c69f0-94bc-4877-a1a2-3926662171bc	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE
a3fb05ee-1dd8-4640-a1d9-221fea41f852	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ALUMINIUM HYDROXIDE
2a3cc7da-2ce6-4374-967a-322e49de604d	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	PSEUDOEPHEDINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE
7cd3ef6e-a3a1-4a37-b3b2-967b64af51ec	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	INSULIN HUMAN
0fa8dc09-d696-415e-9af1-b1351e23aa4a	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	BIO-SYNTHETIC BIPHASIC HUMAN INSULIN
4e14baa4-dc5a-43ff-bff9-49065c94d304	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	BIO-SYNTHETIC HUMAN SOLUBLE INSULIN
dc887870-0c22-4105-8374-f686971b4337	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	NIFEDIPINE
d5b96d87-fcff-482c-b18f-ac127c9428d1	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	CIPROFLOXACIN
1c6f7fea-021b-477f-8209-b74d7d3291d9	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	AMOXICILLIN
b3a7ca0e-d222-4719-b7dd-a587f592d465	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ATORVASTATIN CALCIUM
71906ade-0658-4e5e-8731-c374bf03255d	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	CETIRIZINE HYDROCHLORIDE
96c29812-85f2-402e-85a3-706b84524136	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	CIMETIDINE
10b368aa-d609-4c27-9ee1-fa66edd19ad8	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	CLOTRIMAZOLE
a620d6b5-6357-41e7-b096-819d9ff49d76	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	CAFFEINE; CODEINE PHOSPHATE; DOXYLAMINE SUCCINATE; PARACETAMOL
45242dc9-a0a3-4600-9b7c-32f38596d49d	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	EFAVIRENZ
9e4b799b-542a-4050-b64e-8a84386d81fe	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	INDOMETHACIN
92f7c8f3-57f6-4cb1-94fc-040f5de698d6	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	MEFENAMIC ACID
386a9c84-dc98-4a78-b8bb-51388c44b142	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	PIROXICAM
a9c8cf9d-bc47-47a6-9acd-17e624bcf32a	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	NALIDIXIC ACID
5100bbdd-967f-4390-b22f-ddb32e935ff5	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ZIDOVUDINE
2d683fde-9ecc-4afc-bb1c-e5e47e3d6e02	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	MULTINGREDIENT
