category	section	description
A00	A00-A09	Cholera
A01	A00-A09	Typhoid and paratyphoid fevers
A02	A00-A09	Other salmonella infections
A03	A00-A09	Shigellosis
A04	A00-A09	Other bacterial intestinal infections
A05	A00-A09	Other bacterial foodborne intoxications, not elsewhere classified
A06	A00-A09	Amebiasis
A07	A00-A09	Other protozoal intestinal diseases
A08	A00-A09	Viral and other specified intestinal infections
A09	A00-A09	Infectious gastroenteritis and colitis, unspecified
A15	A15-A19	Respiratory tuberculosis
A17	A15-A19	Tuberculosis of nervous system
A18	A15-A19	Tuberculosis of other organs
A19	A15-A19	Miliary tuberculosis
A20	A20-A28	Plague
A21	A20-A28	Tularemia
A22	A20-A28	Anthrax
A23	A20-A28	Brucellosis
A24	A20-A28	Glanders and melioidosis
A25	A20-A28	Rat-bite fevers
A26	A20-A28	Erysipeloid
A27	A20-A28	Leptospirosis
A28	A20-A28	Other zoonotic bacterial diseases, not elsewhere classified
A30	A30-A49	Leprosy [Hansen's disease]
A31	A30-A49	Infection due to other mycobacteria
A32	A30-A49	Listeriosis
A33	A30-A49	Tetanus neonatorum
A34	A30-A49	Obstetrical tetanus
A35	A30-A49	Other tetanus
A36	A30-A49	Diphtheria
A37	A30-A49	Whooping cough
A38	A30-A49	Scarlet fever
A39	A30-A49	Meningococcal infection
A40	A30-A49	Streptococcal sepsis
A41	A30-A49	Other sepsis
A42	A30-A49	Actinomycosis
A43	A30-A49	Nocardiosis
A44	A30-A49	Bartonellosis
A46	A30-A49	Erysipelas
A48	A30-A49	Other bacterial diseases, not elsewhere classified
A49	A30-A49	Bacterial infection of unspecified site
A50	A50-A64	Congenital syphilis
A51	A50-A64	Early syphilis
A52	A50-A64	Late syphilis
A53	A50-A64	Other and unspecified syphilis
A54	A50-A64	Gonococcal infection
A55	A50-A64	Chlamydial lymphogranuloma (venereum)
A56	A50-A64	Other sexually transmitted chlamydial diseases
A57	A50-A64	Chancroid
A58	A50-A64	Granuloma inguinale
A59	A50-A64	Trichomoniasis
A60	A50-A64	Anogenital herpesviral [herpes simplex] infections
A63	A50-A64	Other predominantly sexually transmitted diseases, not elsewhere classified
A64	A50-A64	Unspecified sexually transmitted disease
A65	A65-A69	Nonvenereal syphilis
A66	A65-A69	Yaws
A67	A65-A69	Pinta [carate]
A68	A65-A69	Relapsing fevers
A69	A65-A69	Other spirochetal infections
A70	A70-A74	Chlamydia psittaci infections
A71	A70-A74	Trachoma
A74	A70-A74	Other diseases caused by chlamydiae
A75	A75-A79	Typhus fever
A77	A75-A79	Spotted fever [tick-borne rickettsioses]
A78	A75-A79	Q fever
A79	A75-A79	Other rickettsioses
A80	A80-A89	Acute poliomyelitis
A81	A80-A89	Atypical virus infections of central nervous system
A82	A80-A89	Rabies
A83	A80-A89	Mosquito-borne viral encephalitis
A84	A80-A89	Tick-borne viral encephalitis
A85	A80-A89	Other viral encephalitis, not elsewhere classified
A86	A80-A89	Unspecified viral encephalitis
A87	A80-A89	Viral meningitis
