code	name	created_at	updated_at
B49	Unspecified mycosis	2024-05-01 17:00:03.933328-04	2024-05-01 17:00:03.933328-04
G02	Meningitis in other infectious and parasitic diseases classified elsewhere	2024-05-01 17:00:03.933328-04	2024-05-01 17:00:03.933328-04
E11.01	Type 2 diabetes mellitus with hyperosmolarity with coma	2024-05-01 17:00:03.93412-04	2024-05-01 17:00:03.93412-04
Z98.83	Filtering (vitreous) bleb after glaucoma surgery status	2024-05-01 17:00:03.934553-04	2024-05-01 17:00:03.934553-04
F17.210	Nicotine dependence, cigarettes, uncomplicated	2024-05-01 17:00:03.93508-04	2024-05-01 17:00:03.93508-04
R59.0	Localized enlarged lymph nodes	2024-05-01 17:00:03.935454-04	2024-05-01 17:00:03.935454-04
R94.01	Abnormal electroencephalogram [EEG]	2024-05-01 17:00:03.935813-04	2024-05-01 17:00:03.935813-04
R60.9	Edema, unspecified	2024-05-01 17:00:03.936156-04	2024-05-01 17:00:03.936156-04
R61	Generalized hyperhidrosis	2024-05-01 17:00:03.936631-04	2024-05-01 17:00:03.936631-04
O41.1290	Chorioamnionitis, unspecified trimester, not applicable or unspecified	2024-05-01 17:00:03.936977-04	2024-05-01 17:00:03.936977-04
C96.A	Histiocytic sarcoma	2024-05-01 17:00:03.9375-04	2024-05-01 17:00:03.9375-04
R07.81	Pleurodynia	2024-05-01 17:00:03.937849-04	2024-05-01 17:00:03.937849-04
R13.19	Other dysphagia	2024-05-01 17:00:03.938185-04	2024-05-01 17:00:03.938185-04
H40.1290	Low-tension glaucoma, unspecified eye, stage unspecified	2024-05-01 17:00:03.938503-04	2024-05-01 17:00:03.938503-04
I80.9	Phlebitis and thrombophlebitis of unspecified site	2024-05-01 17:00:03.938811-04	2024-05-01 17:00:03.938811-04
T14.8XXA	Other injury of unspecified body region, initial encounter	2024-05-01 17:00:03.939145-04	2024-05-01 17:00:03.939145-04
T14.8XXD	Other injury of unspecified body region, subsequent encounter	2024-05-01 17:00:03.939145-04	2024-05-01 17:00:03.939145-04
T14.8XXS	Other injury of unspecified body region, sequela	2024-05-01 17:00:03.939145-04	2024-05-01 17:00:03.939145-04
S83.509A	Sprain of unspecified cruciate ligament of unspecified knee, initial encounter	2024-05-01 17:00:03.939557-04	2024-05-01 17:00:03.939557-04
S83.509D	Sprain of unspecified cruciate ligament of unspecified knee, subsequent encounter	2024-05-01 17:00:03.939557-04	2024-05-01 17:00:03.939557-04
S83.509S	Sprain of unspecified cruciate ligament of unspecified knee, sequela	2024-05-01 17:00:03.939557-04	2024-05-01 17:00:03.939557-04
N52.9	Male erectile dysfunction, unspecified	2024-05-01 17:00:03.939955-04	2024-05-01 17:00:03.939955-04
H54.7	Unspecified visual loss	2024-05-01 17:00:03.940269-04	2024-05-01 17:00:03.940269-04
R51.9	Headache, unspecified	2024-05-01 17:00:03.940602-04	2024-05-01 17:00:03.940602-04
H53.8	Other visual disturbances	2024-05-01 17:00:03.940991-04	2024-05-01 17:00:03.940991-04
M62.10	Other rupture of muscle (nontraumatic), unspecified site	2024-05-01 17:00:03.941431-04	2024-05-01 17:00:03.941431-04
E11.21	Type 2 diabetes mellitus with diabetic nephropathy	2024-05-01 17:00:03.941754-04	2024-05-01 17:00:03.941754-04
K90.81	Whipple's disease	2024-05-01 17:00:03.942089-04	2024-05-01 17:00:03.942089-04
M14.80	Arthropathies in other specified diseases classified elsewhere, unspecified site	2024-05-01 17:00:03.942089-04	2024-05-01 17:00:03.942089-04
K22.0	Achalasia of cardia	2024-05-01 17:00:03.942449-04	2024-05-01 17:00:03.942449-04
M05.00	Felty's syndrome, unspecified site	2024-05-01 17:00:03.942773-04	2024-05-01 17:00:03.942773-04
T78.2XXA	Anaphylactic shock, unspecified, initial encounter	2024-05-01 17:00:03.943186-04	2024-05-01 17:00:03.943186-04
T78.2XXD	Anaphylactic shock, unspecified, subsequent encounter	2024-05-01 17:00:03.943186-04	2024-05-01 17:00:03.943186-04
T78.2XXS	Anaphylactic shock, unspecified, sequela	2024-05-01 17:00:03.943186-04	2024-05-01 17:00:03.943186-04
E11.69	Type 2 diabetes mellitus with other specified complication	2024-05-01 17:00:03.943588-04	2024-05-01 17:00:03.943588-04
K59.89	Other specified functional intestinal disorders	2024-05-01 17:00:03.943588-04	2024-05-01 17:00:03.943588-04
N85.7	Hematometra	2024-05-01 17:00:03.943939-04	2024-05-01 17:00:03.943939-04
B01.9	Varicella without complication	2024-05-01 17:00:03.944384-04	2024-05-01 17:00:03.944384-04
R19.7	Diarrhea, unspecified	2024-05-01 17:00:03.944724-04	2024-05-01 17:00:03.944724-04
N05.3	Unspecified nephritic syndrome with diffuse mesangial proliferative glomerulonephritis	2024-05-01 17:00:03.945051-04	2024-05-01 17:00:03.945051-04
E06.5	Other chronic thyroiditis	2024-05-01 17:00:03.945371-04	2024-05-01 17:00:03.945371-04
M88.9	Osteitis deformans of unspecified bone	2024-05-01 17:00:03.945698-04	2024-05-01 17:00:03.945698-04
J33.0	Polyp of nasal cavity	2024-05-01 17:00:03.946021-04	2024-05-01 17:00:03.946021-04
D75.1	Secondary polycythemia	2024-05-01 17:00:03.946324-04	2024-05-01 17:00:03.946324-04
E87.3	Alkalosis	2024-05-01 17:00:03.946642-04	2024-05-01 17:00:03.946642-04
Q85.89	Other phakomatoses, not elsewhere classified	2024-05-01 17:00:03.946964-04	2024-05-01 17:00:03.946964-04
B02.30	Zoster ocular disease, unspecified	2024-05-01 17:00:03.947519-04	2024-05-01 17:00:03.947519-04
T81.30XA	Disruption of wound, unspecified, initial encounter	2024-05-01 17:00:03.947878-04	2024-05-01 17:00:03.947878-04
T81.30XD	Disruption of wound, unspecified, subsequent encounter	2024-05-01 17:00:03.947878-04	2024-05-01 17:00:03.947878-04
T81.30XS	Disruption of wound, unspecified, sequela	2024-05-01 17:00:03.947878-04	2024-05-01 17:00:03.947878-04
L98.1	Factitial dermatitis	2024-05-01 17:00:03.948251-04	2024-05-01 17:00:03.948251-04
B46.5	Mucormycosis, unspecified	2024-05-01 17:00:03.948588-04	2024-05-01 17:00:03.948588-04
N18.9	Chronic kidney disease, unspecified	2024-05-01 17:00:03.948903-04	2024-05-01 17:00:03.948903-04
I70.1	Atherosclerosis of renal artery	2024-05-01 17:00:03.949208-04	2024-05-01 17:00:03.949208-04
N92.0	Excessive and frequent menstruation with regular cycle	2024-05-01 17:00:03.949534-04	2024-05-01 17:00:03.949534-04
D74.8	Other methemoglobinemias	2024-05-01 17:00:03.949869-04	2024-05-01 17:00:03.949869-04
I86.4	Gastric varices	2024-05-01 17:00:03.950176-04	2024-05-01 17:00:03.950176-04
M79.673	Pain in unspecified foot	2024-05-01 17:00:03.952311-04	2024-05-01 17:00:03.952311-04
T56.891A	Toxic effect of other metals, accidental (unintentional), initial encounter	2024-05-01 17:00:03.95282-04	2024-05-01 17:00:03.95282-04
T56.891D	Toxic effect of other metals, accidental (unintentional), subsequent encounter	2024-05-01 17:00:03.95282-04	2024-05-01 17:00:03.95282-04
T56.891S	Toxic effect of other metals, accidental (unintentional), sequela	2024-05-01 17:00:03.95282-04	2024-05-01 17:00:03.95282-04
M34.9	Systemic sclerosis, unspecified	2024-05-01 17:00:03.953346-04	2024-05-01 17:00:03.953346-04
N46.01	Organic azoospermia	2024-05-01 17:00:03.953662-04	2024-05-01 17:00:03.953662-04
R14.3	Flatulence	2024-05-01 17:00:03.953996-04	2024-05-01 17:00:03.953996-04
T14.90XA	Injury, unspecified, initial encounter	2024-05-01 17:00:03.954326-04	2024-05-01 17:00:03.954326-04
T14.90XD	Injury, unspecified, subsequent encounter	2024-05-01 17:00:03.954326-04	2024-05-01 17:00:03.954326-04
T14.90XS	Injury, unspecified, sequela	2024-05-01 17:00:03.954326-04	2024-05-01 17:00:03.954326-04
D68.2	Hereditary deficiency of other clotting factors	2024-05-01 17:00:03.954721-04	2024-05-01 17:00:03.954721-04
F40.01	Agoraphobia with panic disorder	2024-05-01 17:00:03.955034-04	2024-05-01 17:00:03.955034-04
K29.40	Chronic atrophic gastritis without bleeding	2024-05-01 17:00:03.95535-04	2024-05-01 17:00:03.95535-04
R20.0	Anesthesia of skin	2024-05-01 17:00:03.955666-04	2024-05-01 17:00:03.955666-04
