id	code	note	pure
fd970be8-a42e-4e4a-af67-b9269260d6f9	A04	bacterial foodborne intoxications, not elsewhere classified	t
b0c9d4b7-00dd-469a-a5e6-e563da08039f	A04	tuberculous enteritis	t
6c11c1a7-0292-4cd5-abfd-cf292d178b23	A04.6	extraintestinal yersiniosis	t
1f30e0d4-06d5-49e5-a7b8-42f56294adff	A05	Clostridium difficile foodborne intoxication and infection	t
a37e87bb-cc66-4929-b443-c01295a31662	A05	Escherichia coli infection	t
07e79db7-6de4-4266-8244-7e152a8ef3c8	A05	listeriosis	t
ddf1e287-ccc2-4e5d-a19f-1247ef41d241	A05	salmonella foodborne intoxication and infection	t
1ffff06f-e696-4b1a-a138-bdf7d2acbf3a	A05	toxic effect of noxious foodstuffs	t
0e0bcddc-a7e2-4aa2-a885-f9b247201a68	A05.1	infant botulism	t
c23d26b7-8f4b-4a62-bb62-ca2b9029c6d8	A05.1	wound botulism	t
8cb39940-ea02-45d9-b98c-65e020595399	A06	other protozoal intestinal diseases	t
544eba7e-9b01-4a29-95c5-e5b52fae6ab5	A06	acanthamebiasis	f
5c203b1f-d2fd-4a3e-aa74-e908aafc9e65	A06	Naegleriasis	f
9178bbba-386e-4bfe-a627-96595498ff1d	A08	influenza with involvement of gastrointestinal tract	t
a35980c7-548f-4b2a-8588-31792847607d	A09	colitis not otherwise specified	t
db637f69-b3e9-4ce0-9c43-5ea032c6ba1c	A09	diarrhea not otherwise specified	t
6a8598ba-6b7f-402e-b8ed-9581454bf6f6	A09	enteritis not otherwise specified	t
38603108-03d5-4da1-985f-bd26a0162e41	A09	gastroenteritis not otherwise specified	t
0b4bba3d-83ed-4fcb-8b04-3d63b13dc414	A09	noninfective gastroenteritis and colitis, unspecified	t
fc8e37a4-8dc8-483a-a594-59637d14d3a2	A15.4	tuberculosis specified as primary	t
479a7f8e-958c-4d10-9129-e5bad0c6d257	A15.6	primary respiratory tuberculosis	t
d0bc4128-8bd8-4c17-9363-abddb9f4a583	A17.0	tuberculous meningoencephalitis	t
21d427f4-27cd-4f49-ab9a-64776f6e434a	A17.1	tuberculoma of brain and spinal cord	f
fa1af66e-ebab-45ee-8787-aa4143b8a889	A18.2	tuberculosis of bronchial and mediastinal lymph nodes	f
3d0f3191-1105-408c-9b2c-8d483808ce92	A18.2	tuberculosis of mesenteric and retroperitoneal lymph nodes	f
075be3f1-56c7-4ad2-870c-135c0e263a1d	A18.2	tuberculous tracheobronchial adenopathy	f
0df90359-7a04-4458-b568-c36f44de29a6	A18.4	lupus erythematosus	f
fa3fa937-926c-47c9-807c-eb4ca8df7292	A18.4	systemic lupus erythematosus	f
a8bd12a3-a4b9-4bf7-a967-364fc99689e7	A18.5	lupus vulgaris of eyelid	f
5be29209-48b4-410d-894a-0ab3f7338589	A18.6	tuberculosis of external ear	f
14331c58-70bc-4f82-9f6e-735a1183b7ac	A18.6	tuberculous mastoiditis	f
e208f832-5452-4e82-aa36-9d3b5c7e591a	A18.83	tuberculosis of intestine	t
60a26ec8-a0fc-4063-8e0e-ce903ce518fb	A28.2	enteritis due to Yersinia enterocolitica	t
473fbf44-57bd-48a3-9fbe-945f20c2cd94	A28.2	plague	t
51ed3192-d931-4f2c-a4ef-c46b49eb3285	A30	sequelae of leprosy	t
ec7aade8-d7bd-43f5-8932-710bdc723dbd	A31	leprosy	f
179dd93b-b4b8-4392-8e3d-f27cbb9c8185	A31	tuberculosis	f
ce274a88-d678-4194-9e98-33aaa83fbd6b	A32	neonatal (disseminated) listeriosis	t
31ff8d15-bc34-4346-8a27-76bb01848c10	A35	obstetrical tetanus	t
836a6700-dc79-4ded-89c9-9f2ecd29fa11	A35	tetanus neonatorum	t
a61daad2-304f-417d-9aed-7a135f26d1fc	A36.3	erythrasma	f
027746c0-b2cf-41a0-9f9c-41718726aab8	A38	streptococcal sore throat	f
b2b0d753-64f0-4a19-828f-b4e151cd6bfb	A40	neonatal	t
042adc80-3aa1-4223-92de-c7d930068ad0	A40	puerperal sepsis	t
b168b032-884d-4146-a611-e34097eb0dc5	A40	sepsis due to Streptococcus, group D	t
7ca59e1e-2ce7-490e-89f4-215e0449d5bc	A41	bacteremia not otherwise specified	t
83bee812-18a4-4e73-a4ca-b3a95391412b	A41	neonatal	t
ab6f6e76-d5f0-41fd-b6c4-cdaf4ce553ac	A41	puerperal sepsis	t
d20d7a8c-a7da-4a5c-b926-05ffa746a524	A41	streptococcal sepsis	t
367488e5-5d52-4732-ad11-cb15d1e13376	A41	sepsis (due to) (in) actinomycotic	f
37d09b4f-9787-41dd-a6e7-b65b5dc1b1ae	A41	sepsis (due to) (in) anthrax	f
2d709c1d-abbd-4548-89be-f2bbb697c10e	A41	sepsis (due to) (in) candidal	f
bc294cbc-a682-41cb-890a-500d700cc07f	A41	sepsis (due to) (in) Erysipelothrix	f
77f41bd9-4d76-46d0-bb8b-da6b6cb731c7	A41	sepsis (due to) (in) extraintestinal yersiniosis	f
5f1054ef-4301-44b6-9191-85d7c5b2215e	A41	sepsis (due to) (in) gonococcal	f
8e18d312-8350-4d05-b3b8-9f0f2926223a	A41	sepsis (due to) (in) herpesviral	f
a857fbc3-d187-4bbb-9963-c295890d441e	A41	sepsis (due to) (in) listerial	f
18ce3962-bb87-4447-b6cc-eeea8267b547	A41	sepsis (due to) (in) melioidosis	f
3b4e8c69-fbcc-4c77-8d91-25f28bb79a26	A41	sepsis (due to) (in) meningococcal	f
78a21b3c-d1ed-458b-aeac-c737123ef52c	A41	sepsis (due to) (in) plague	f
b665caf0-b5be-4d75-aa9c-77ef09b54901	A41	sepsis (due to) (in) tularemia	f
f4e98e59-f056-410f-930f-89219f5c922a	A41	toxic shock syndrome	f
191624e2-1f5a-4d7e-9c75-84ff2f27b32a	A41.4	gas gangrene	t
4498438b-baa8-43f0-be8f-79d5cdb59555	A42	actinomycetoma	t
4fc0c668-3638-4d72-8420-65df392df2dd	A46	postpartum or puerperal erysipelas	t
b2aecfeb-4721-4eda-b83f-2bbbf9a48291	A48	actinomycetoma	t
090108fb-e440-4075-9539-0bee91c11824	A48.3	endotoxic shock not otherwise specified	t
ede5340f-e27e-4e61-abb8-c4fd145454c7	A48.3	sepsis not otherwise specified	t
92c2d468-ef1e-459a-840a-937e916a9b27	A48.5	food poisoning due to toxins of Clostridium botulinum	t
1e358a99-0c43-4bad-ba0d-718f346147af	A49	bacterial agents as the cause of diseases classified elsewhere	t
923e8c66-9e8b-42a5-9e43-8630ae54db6c	A49	chlamydial infection not otherwise specified	t
24fa34bf-61e2-4c9c-a170-0815f6eccbd6	A49	meningococcal infection not otherwise specified	t
201ad9ca-212c-468e-8481-a0b04c095581	A49	rickettsial infection not otherwise specified	t
9a29ae1e-849d-4db1-a002-a4b0262b2cd5	A49	spirochetal infection not otherwise specified	t
d70e4b0a-1939-41c5-b41d-9aa6ca0a7111	A49.9	bacteremia not otherwise specified	t
a1077c49-ab4c-444b-83d6-52043a7f5f0f	A50.3	Hutchinson's triad	t
ba5fba16-216a-47e9-a78e-b11407e6b363	A50.4	Hutchinson's triad	t
bf6b2388-a6a3-42fa-ae90-07db4f792043	A51.39	late syphilitic leukoderma	t
21d2789b-ba30-440f-b12b-32b0ce0a86c9	A52.79	syphilitic leukoderma (secondary)	t
ad3a336c-ecb7-48a6-809e-67b6df121a29	A53.9	syphilis not otherwise specified under two years of age	t
79d86ec6-4fe0-4274-b76a-3c9760e0294c	A54.0	gonococcal infection with genitourinary gland abscess	t
b2cbc01d-1022-4172-a3ce-14a856b7df9a	A54.0	gonococcal infection with periurethral abscess	t
513c5284-18a8-4876-9cc9-fe229fbcd83d	A54.24	gonococcal peritonitis	t
48dac5cb-34c0-494b-9af6-6eac9aed46c6	A54.42	gonococcal infection of spine	f
7a416385-425a-46d2-bb90-3ef00333f45d	A54.43	gonococcal infection of spine	f
10d87aef-19cd-4e63-8d6e-ac0f58f8e683	A54.85	gonococcal pelviperitonitis	t
3703aa6a-d33e-4066-9c7f-1b42882d0642	A56	neonatal chlamydial conjunctivitis	t
b75f768c-c7e8-47b2-b69e-baa4f841ad6c	A56	neonatal chlamydial pneumonia	t
6872f703-8623-47e2-95a1-e6920f33e02f	A56	chlamydial lymphogranuloma	f
dba2a950-248c-49df-b1f5-5aa3bd2cd6a1	A59	intestinal trichomoniasis	f
949cbc68-2552-451c-bd0d-71a60e934f06	A63	molluscum contagiosum	f
9147b787-0135-4dea-a1fc-560ca5e77f79	A63	papilloma of cervix	f
e02e31bd-7a02-482e-ac12-725f1aee6709	A68	Lyme disease	f
bb05355b-07f0-401d-8e1e-176b37688c68	A71	sequelae of trachoma	t
80a5cd47-7131-497f-be5e-f493f384a290	A74	neonatal chlamydial conjunctivitis	t
8738204a-09d2-4cdc-b3ed-31c1e8c1b0c9	A74	neonatal chlamydial pneumonia	t
8d1a98b2-cd5b-4faf-8cfc-012c43953230	A74	Reiter's disease	t
