id	exclude_id	code_range_start	code_range_end	code_range_start_dash	code_range_end_dash
fbd0b8c7-ec68-423c-824b-da409b24eb48	a37e87bb-cc66-4929-b443-c01295a31662	A04.0	A04.4	f	f
29a6a37e-a1bb-48b8-adaa-72e497fe607d	1ffff06f-e696-4b1a-a138-bdf7d2acbf3a	T61	T62	f	f
629155a8-fcdc-4940-b955-69ca5b17de3a	179dd93b-b4b8-4392-8e3d-f27cbb9c8185	A15	A19	f	f
f8a2ffeb-d939-46f9-960a-5ac8c5ab5252	b2b0d753-64f0-4a19-828f-b4e151cd6bfb	P36.0	P36.1	f	f
7e785141-3881-4b9e-8f87-b197647b5c6a	3b4e8c69-fbcc-4c77-8d91-25f28bb79a26	A39.2	A39.4	f	f
92500fbc-30dc-45d0-b09d-1a2836328b40	1e358a99-0c43-4bad-ba0d-718f346147af	B95	B96	f	f
8c6cb07b-7891-474c-abf1-916779d81f06	06eeae24-2fba-497d-9438-67a2e7c83767	A55	A56	f	f
02be2828-1759-4a0a-b09b-05a2fc6f4a47	558524da-a82a-4698-9545-ad2162e1197c	C41.0	C41.1	f	f
d1d234c9-9663-4b6c-b703-a517c6cb3cf0	9a5d5345-f99c-44ae-b0b5-43ba0ab3aa39	C82	C85	f	f
cfd9d0e5-0b33-4829-9df9-2c5ea3a8d810	24cb53a1-6fb3-4143-9db5-1a2944f5a0dd	C51	C52	f	f
bfe2c613-4ba0-460c-959e-76bf37e845ca	240723a5-029c-4eb3-a424-eb3633f7a004	C00.0	C00.2	f	f
d58e4392-3320-4f0b-b67f-551ec30fdc07	a7252bb3-494a-48ec-b4ce-f7e77689d314	C00.0	C00.2	f	f
e515d42f-2125-47ea-9b58-23bbecabeff4	80195b86-aa41-4b27-a77e-18b97cfdf617	C51	C52	f	f
70b7b7f6-7a8a-4624-8652-15ae7e84be09	e1b6c407-4805-4a9e-8448-69d1ff8a578a	C40	C41	f	f
62507cfe-5584-4a69-84d0-c3e9e0ffb022	e3f4bf34-1eec-4519-be94-e7cc7a4adb57	C38.1	C38.3	f	f
266b076a-e0c8-4d1a-b712-e175569cef3e	faeeb1cc-f488-4730-b1c8-b7eb2d1234a8	C72.2	C72.5	f	f
63054a38-83e3-486f-9396-6abf102c9597	6ba24134-3fee-412c-8b1a-0324918c7260	C81	C96	f	f
9eb6bbc1-af46-4cff-8fa9-0e87e54f029d	e18412fd-c992-4248-9220-55015e1c6bc5	C81	C86	f	f
7b9afc1b-13d8-457d-9bef-d56913c9fcad	c1ab3588-8479-43a0-9127-e7dc35a8eca2	D16.4	D16.5	f	f
d323aa45-1b08-4180-9b60-facd5a85e100	94037e97-1e5a-42ad-9ca2-ea162c41b57b	D17.0	D17.3	f	f
809c39b4-44ab-4b0f-960f-3bcc887ba8bf	7c753849-b984-4688-8389-152238aa49dd	D37	D44	f	f
6ee1f4c4-a34e-44a3-81c8-fac326e2f5b4	8e733da3-6bbb-43d0-9762-80f5546ab6d6	O00	O07	f	f
41c0eadd-f820-4e67-abf8-3d6f71e32a11	473480c1-8939-415a-b48f-2099f18401aa	O00	O07	f	f
dd0b3753-7c90-4583-b3d1-5f3ca9d6a709	429289bf-10a2-415a-a49a-570ec0fe08d8	D80	D89	f	f
70a6f22d-a52f-4b35-86ec-fde6bde0dfa1	da4a6cb4-0985-44da-8911-9bd36b55dc84	C91	C95	f	f
e8d28776-ef10-4e73-8ad1-b5f17a67836c	b68d85be-e600-4874-987b-36c6248e5544	D80	D83	f	f
d201c6c7-8bd9-4e79-ac8f-626ecf400740	de1fdccc-d1a8-4cff-b095-8db8ad90baed	E00	E02	f	f
3dfe85bb-d555-4e6f-aa13-361773d3f250	bf58e332-f621-4f5c-b0f7-710185c0c99a	E00	E02	f	f
ca285b48-3d30-4732-971f-33e76f309386	a3faf317-2a5d-4898-8f2f-43c026798720	Q90	Q99	f	f
d90ac0c8-d9fa-45ea-b753-aa1dcc7bb3e9	28a34b4b-38d6-4eec-8afc-fba183f43946	N46.0	N46.1	f	f
ac089aee-a5ba-4778-b825-8012f6d925b5	c3fa81ea-a6ad-4462-b0be-767865e9c57c	Q98.0	Q98.1	f	f
4a980003-ffdd-4498-a0a6-94d81f16a057	f1ee0585-3e3b-445d-b53b-0cf7e5aede23	E00	E02	f	f
e85476d5-de37-4810-b4ba-6f8f37b7dc25	46e9a0ac-d4aa-4ebc-8c50-c91c1b161db5	E71.0	E71.2	f	f
41636615-4e84-4f2e-922c-19c61227b58f	6968bac0-6dbc-4d41-bb82-ff9500660446	E08	E13	f	f
f68c6d83-5bdf-4494-894f-644dcb9dff8a	363c72ae-bb6d-40bb-a782-f1f098c3804a	E76.0	E76.3	f	f
7dab3eb6-2ac4-4211-9277-c4e1a4b07690	efe598ac-3052-4092-bd5b-201ad720b15d	E77.0	E77.1	f	f
0dd74fa7-4d79-418f-9dde-e563d618cfdf	8c0405c6-b44a-43c6-b026-273830d3952d	E75.0	E75.3	f	f
d73c6b83-8ee6-4a6a-a1cb-69e2576ba307	b6a4a487-89c7-4c7f-ac21-8d6d859a17fc	E58	E61	f	f
b7802c49-340c-4f67-90c0-142233d9f2b5	46bdbbd1-bcdb-49f6-8976-0ac8f3a09a34	E20	E21	f	f
955a06b5-5ce0-46f9-a07d-bc45fb4ce07e	16b38325-168a-4455-bcbe-570e0e1e5220	D64.0	D64.3	f	f
0bbe0546-b749-4cb5-a4a1-f3f9a45f2160	4edadce7-0853-4554-b7a8-c488ca3d8cc0	M11.1	M11.2	f	f
9222d46d-ce41-47b3-8280-30a86642081b	4e591089-ccdd-4e18-bf8d-b77ad8a738f2	E21.0	E21.3	f	f
14b46dd1-5761-4c7d-9e45-1214e11fe1a6	f4f3cddf-cc94-4bb5-9624-57de95f43f53	F01	F02	f	f
9d7524ba-b6df-4f76-8140-607af31252a9	637efd19-f750-42ce-a3ed-8f3fb6e59a04	F10	F19	f	f
b60fccd7-79b0-41ea-888c-78efff8af511	84493561-e248-4fce-950f-65dc5505a116	F30	F39	f	f
5f141cb0-6f36-4d86-9cee-fe356d5b68c5	aab88584-6488-434c-a23e-e4f53e2fff04	I69.01	I69.11	f	t
8fa36dbd-696d-4417-bf34-9075b049e319	aab88584-6488-434c-a23e-e4f53e2fff04	I69.21	I69.31	f	t
06e8f7ed-32b4-4501-827e-3b1c6281e7aa	aab88584-6488-434c-a23e-e4f53e2fff04	I69.81	I69.91	f	t
561895d8-1077-4446-a27a-f0f4e393dd04	dd8611e9-290c-4491-8021-2dc513693d16	T40.0	T40.2	f	t
33168a63-d534-4fd4-ab08-849b3c0d4c31	ef7f206f-b4ac-4c4a-a5db-e8c4ffe8bb32	F32	F33	f	f
700ac3bc-5d00-45d5-84ec-5cd641188c44	e3971667-7458-49c4-9cf5-cdc205025ff4	F20	F29	f	f
123e5737-b4a7-49f8-a16e-125ebe4d20f0	6ad4bc7e-75cb-4a30-b599-385476e968f5	F10	F19	f	f
8fefca14-149f-43cd-9d81-1affeb807229	b71391de-35aa-44c5-b887-287ff90a28ca	F10	F19	f	f
5e8428b1-f179-408a-9bc3-06fd8b5ab63a	ef5fa21e-7e65-4d69-a313-9fbca99a36a0	F10	F19	f	f
15f82a52-0488-4ec7-88c5-cca98ac6622a	863d928f-354d-4217-9f43-eb8a7df15732	F01	F09	f	f
b2539ca6-c499-4fcb-8720-318a05005fe5	3eb065f0-2111-454d-94f7-03cd17ad9440	F31	F33	f	f
ca75dd76-217f-4a22-95f8-1e0e5c91f4fc	65b0d1b9-57e7-4659-9424-576353af46f3	F01	F09	f	f
