id	created_at	updated_at	strength_numerator	manufactured_medication_id	consumable_id
4d6df6f7-f0fd-4df0-87c2-eef4fc3e9b6a	2024-05-01 17:00:03.026575-04	2024-05-01 17:00:03.026575-04	150	f0f69637-74ff-4f46-87d7-cf4e9a64dd4b	f4bcb66a-afc7-4a03-8832-b1db8e54e9e6
a9bf8d9a-595d-4e32-b9a5-0a54e1de6d7a	2024-05-01 17:00:03.026871-04	2024-05-01 17:00:03.026871-04	300	6a460e1a-48ba-4c12-ab7c-13757f789c01	593d0e6c-0ae5-445f-8ad8-c4ba2f84e466
9a7f9eb0-47bc-4f89-b0ac-de1ac3a0611c	2024-05-01 17:00:03.027071-04	2024-05-01 17:00:03.027071-04	30	965fb108-2e5e-464f-a2f3-19cbdcec77f0	5edec453-8b3c-4c92-bccd-13f8318e74d4
3c52ce00-bc81-41f9-9bd4-5ae2bcf6170c	2024-05-01 17:00:03.02719-04	2024-05-01 17:00:03.02719-04	300	9b1c4a15-62de-4090-94b1-97c40071225a	7c48926f-39b9-437b-81f1-c6a2ecbfb86b
055be704-a3cd-49b0-9b42-c0b2db54794b	2024-05-01 17:00:03.027302-04	2024-05-01 17:00:03.027302-04	30	95761ae6-c2a8-4820-86cc-19f2df391da2	954b6fb6-92e7-4d7e-b8c0-41a66787ff03
cf41c44f-175e-41e0-99ce-b04bed55fe0f	2024-05-01 17:00:03.027417-04	2024-05-01 17:00:03.027417-04	150	d4817077-543a-49a5-b1ad-6379cd054392	d847358f-05e8-4a75-b7cc-9b3a20fc10ea
622786f8-dec3-4f7c-9a40-616bd8747ca1	2024-05-01 17:00:03.027582-04	2024-05-01 17:00:03.027582-04	50	b6929dff-050a-429b-8ae0-c20dc2b42f32	8b725e71-5580-4102-a5f6-42097c04a0d4
82c6ede3-f16b-451d-ad65-ade7b5e9a8c7	2024-05-01 17:00:03.027729-04	2024-05-01 17:00:03.027729-04	30	2c76ca9f-72d9-4b6a-adbb-726b6df65362	e6c48765-e83c-4aaa-9984-a13b5532b364
c4796526-8a47-44dc-aae5-434edfe86d88	2024-05-01 17:00:03.027962-04	2024-05-01 17:00:03.027962-04	2.5	11f9481f-6fcd-46df-8e2b-60e5a8299f0d	2cb1882d-338a-4875-8689-968c645a6f97
b058dfc3-80b1-4773-b6a7-cb4e12a410a8	2024-05-01 17:00:03.028363-04	2024-05-01 17:00:03.028363-04	12.5	570eeab7-f619-4a23-a733-cb41eaf9ebc9	f2197ec6-4cdd-4463-ba5e-93dca503198e
16dd567e-15c6-4c12-8732-6e8e944fca30	2024-05-01 17:00:03.03099-04	2024-05-01 17:00:03.03099-04	60	965fb108-2e5e-464f-a2f3-19cbdcec77f0	947f924e-3726-4a1c-a317-e19f14fcd095
c0f901dd-9caa-45d5-93f3-da0ff2864add	2024-05-01 17:00:03.03124-04	2024-05-01 17:00:03.03124-04	60	95761ae6-c2a8-4820-86cc-19f2df391da2	8f4c84c4-fcc7-4f8b-922b-80e2397f6d99
235d67ee-9011-4d48-967b-d4683d5c7354	2024-05-01 17:00:03.031377-04	2024-05-01 17:00:03.031377-04	300	d4817077-543a-49a5-b1ad-6379cd054392	df0708bf-eb2e-452f-8cf2-89ffdf6105a2
4b1d3b6c-6378-4dc9-b5b4-44a133474de2	2024-05-01 17:00:03.031622-04	2024-05-01 17:00:03.031622-04	300	b6929dff-050a-429b-8ae0-c20dc2b42f32	9afe8ada-9a8f-48dd-a84e-27494093e9b8
f529d9a6-09d9-42c2-958c-123f9cdf64f0	2024-05-01 17:00:03.031732-04	2024-05-01 17:00:03.031732-04	60	2c76ca9f-72d9-4b6a-adbb-726b6df65362	cc1f9371-958e-44fe-8bde-65ed74c8e037
3f4430cc-d958-43b0-b75f-af76138759df	2024-05-01 17:00:03.032025-04	2024-05-01 17:00:03.032025-04	300	570eeab7-f619-4a23-a733-cb41eaf9ebc9	c27fe722-c127-4908-b74a-dd1b4f00f825
87c67c60-4772-48df-a390-93f16559a707	2024-05-01 17:00:03.032126-04	2024-05-01 17:00:03.032126-04	150	85ae62b0-dcda-4cda-a08a-9834c7987343	223f81a2-0068-4241-8967-17c1bf5ce5bf
640bd265-4b29-4e52-8569-a7ebc7fddf42	2024-05-01 17:00:03.032462-04	2024-05-01 17:00:03.032462-04	300	b92ed11e-ff03-492c-9409-1d98f710e0f0	6aaaf545-a272-4dd2-b719-ab391fd365d0
ecdd6824-8d7b-42d6-8133-151572f8dc50	2024-05-01 17:00:03.033706-04	2024-05-01 17:00:03.033706-04	300	d4817077-543a-49a5-b1ad-6379cd054392	013a822d-7053-48a2-804e-37c57e9a33e4
3f02ecdc-3d07-4378-9ba9-d95a1f8b8cec	2024-05-01 17:00:03.03385-04	2024-05-01 17:00:03.03385-04	600	b6929dff-050a-429b-8ae0-c20dc2b42f32	b9c27b62-7550-4d0b-bf00-918081ed8931
