id	created_at	updated_at	trade_name	applicant_name	manufacturer_name	medication_id	strength_numerators
b290d770-a41a-4431-8a5e-8dfca4028633	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABAMUNE L BABY	CIPLA LTD	CIPLA LTD MAHAD INDIA	804c2585-f79a-4643-ae71-ea4df24ab63c	{30,60}
8e537924-dcad-45a6-ab3a-dc0aa9fd2347	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABHAYRAB	HUMAN BIOLOGICALS INSTITUTE	HUMAN BIOLOGICALS INSTITUTE (A DIVISION OF INDIAN IMMUNOLOGICALS LIMITED) CHENNAI INDIA	54dc110f-e870-4140-9fdd-55a8748dde68	{2.5}
0839024f-7d77-4706-8f26-333a7e9f5133	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABISART HCTZ	MYLAN PHARMACEUTICALS PVT LTD	AIZANT DRUG RESEARCH SOLUTIONS PVT LTD HYDERABAD INDIA	5d942c50-a9b2-4be0-89e7-bfdb658c833c	{12.5,300}
a2bf34d2-8394-4840-a588-6ff536ca7836	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADCO LAMIVUDINE	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD GERM SOUTH AFRICA;  ADCOCK INGRAM LTD JOHANNESBURG SOUTH AFRICA;  DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	44d79aa1-5d71-47c2-af16-57bb7357b5de	{150}
832be8a4-52da-4a7e-a531-9aa362dd47d7	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE	CIPLA LTD	CIPLA LTD MAHAD INDIA	61e0b011-59d9-493d-a313-cbb730cef41f	{300}
a3bea2ea-e097-4585-bf77-a6393e9f577b	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABZ	INDOCO REMEDIES LTD	INDOCO REMEDIES LTD GOA INDIA	7e6703bd-047d-4463-91d4-3947874f8a16	{400}
f57f50e5-3728-4918-b12e-8e0a6ce5e1fd	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULFATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LAB LTD MAHARASHTRA INDIA	102baaa8-ae8d-4090-be2e-d56f9b334c8b	{60,120}
6de867e7-90ec-41cb-8039-c1c3d40c89c6	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA;  MYLAN LABORATORIES LIMITED BAVLA INDIA	91f9ed3b-644a-49c9-bb0e-4478e2edb070	{300,600}
99399170-d510-43ca-9ee7-2290fe1e5933	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACCUMAX CO 10/12.5	PHARMACIA SOUTH AFRICA PTY LTD	PFIZER MANUFACTURING DEUTSCHLAND GMBH FREIBURG GERMANY	9d11bc58-066c-4499-b510-cb50ca739cd3	{10,12.5}
dd4063ea-28af-4668-b7af-eade385acf23	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABISART HCTZ	MYLAN PHARMACEUTICALS PVT LTD	AIZANT DRUG RESEARCH SOLUTIONS PVT LTD HYDERABAD INDIA	5d942c50-a9b2-4be0-89e7-bfdb658c833c	{12.5,150}
4b8d8710-3f9b-4ec7-b649-8183d0b314da	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	KIVEXA	GLAXOSMITHKLINE S.A (PTY) LTD	GLAXOSMITHKLINE S.A (PTY) LTD BRYANSTON SOUTH AFRICA	e0c64022-d02c-4284-942b-a1d1e271c2b8	{300,600}
ff094763-1d62-4f82-9ddc-82cda924ccfe	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	LAMIVUDINE	AUROBINDO PHARMA LIMITED	AUROBINDO PRADESH INDIA	44d79aa1-5d71-47c2-af16-57bb7357b5de	{150}
22096c69-c2cf-439b-a9d2-904dc6dc8596	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABAMAT TABLETS	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA;  MYLAN LABORATORIES LIMITED BAVLA INDIA	61e0b011-59d9-493d-a313-cbb730cef41f	{300}
80b97627-130f-449d-a366-42b53de0373c	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ANTHEL	PHARMACEUTICAL & CHEMICAL DISTRIBUTORS P/L	LINCOLN PHARMACEUTICALS LTD  INDIA	7e6703bd-047d-4463-91d4-3947874f8a16	{400}
e2b7628b-9d4b-48d3-99af-5e9ac4048199	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACETAZOLAMIDE	REMEDICA LTD	REMEDICA LTD LIMASSOL CYPRUS	d5f8af1e-9132-4ed6-b13b-03c18e91214f	{250}
6da4dc0b-dd54-4aee-831a-40f180c6b4dc	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACICLOVIR 200	CIPLA LTD	CIPLA LTD MUMBAI INDIA	28a76d13-2045-4dcf-b0d8-32931442b475	{200}
