id	created_at	updated_at	measurement_snomed_concept_id	age_min_days	age_max_days	gender	condition_codes	normal_min	normal_max	critical_min	critical_max	units	reference_source	evidence_level	clinical_context	effective_date	expiration_date	active
2d0d014c-444e-46e4-ba8a-4f7f5030a2ae	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	8499008	0	28			90	205	70	230	bpm	PALS_2025	high	Neonatal heart rate per PALS 2020-2025 guidelines; includes sleep/wake variation	2025-10-10		t
bf6f9afb-1599-4856-9b2d-14a50536c5d8	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	8499008	29	365			90	190	70	210	bpm	PALS_2025	high	Infant heart rate per PALS 2020-2025 and Iowa Protocols 2025	2025-10-10		t
a638271c-564e-44f9-8880-8edbc2985732	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	8499008	366	1095			80	160	60	190	bpm	PALS_2025	high	Toddler heart rate per PALS 2020-2025; includes sleep/wake variation	2025-10-10		t
7eb6b8c3-4e97-4709-980b-489145087c8b	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	8499008	1096	1825			65	130	50	160	bpm	PALS_2025	high	Preschool heart rate per PALS 2020-2025 guidelines	2025-10-10		t
baa660b8-5509-4220-9105-60bcd44e563d	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	8499008	1826	4380			58	120	45	150	bpm	PALS_2025	high	School-age heart rate per PALS 2020-2025 guidelines	2025-10-10		t
8f54bb6c-f878-4144-bae0-5e0d02e6222b	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	8499008	4381	6934			50	100	40	130	bpm	PALS_2025	high	Adolescent heart rate per PALS 2020-2025 guidelines	2025-10-10		t
525b5d5a-b42b-4646-a919-275f6e412e6b	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	8499008	6935				60	100	40	130	bpm	AHA_2025	high	Adult resting heart rate per AHA 2025 guidelines; lower in trained athletes	2025-10-10		t
c1451417-7170-4993-aff5-bb2fda16d4ff	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	86290005	0	28			30	60	20	80	br/min	PALS_2025	high	Neonatal respiratory rate per PALS 2020-2025; higher rates normal	2025-10-10		t
e2554c44-1ba8-4c90-beb4-cbabe0d1e656	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	86290005	29	365			25	60	15	80	br/min	PALS_2025	high	Infant respiratory rate per PALS 2020-2025 guidelines	2025-10-10		t
731d24d7-ae63-41ca-ad06-0f3a8f345746	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	86290005	366	1095			20	40	12	60	br/min	PALS_2025	high	Toddler respiratory rate per PALS 2020-2025 guidelines	2025-10-10		t
1c42598c-3091-47ed-8caf-07eb67c3bedd	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	86290005	1096	1825			20	34	12	50	br/min	PALS_2025	high	Preschool respiratory rate per PALS 2020-2025 guidelines	2025-10-10		t
5b87ad0b-c498-41f5-a08b-27a607f822cd	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	86290005	1826	4380			15	30	10	45	br/min	PALS_2025	high	School-age respiratory rate per PALS 2020-2025 guidelines	2025-10-10		t
bfa1b8d9-e1c9-4e05-b194-628ad618a390	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	86290005	4381	6934			12	20	8	35	br/min	PALS_2025	high	Adolescent respiratory rate per PALS 2020-2025 guidelines	2025-10-10		t
e672544f-42ab-480c-9a37-c4e1712ad617	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	86290005	6935				12	20	8	35	br/min	WHO_2023	high	Adult respiratory rate; >30/min indicates acute respiratory failure in COPD	2025-10-10		t
88dbfa62-2b87-46a3-a1ac-8afa72cd8daa	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	722490005	0	28			36.5	37.5	35	39	°C	PALS_2025	high	Neonatal temperature; critical for thermoregulation assessment	2025-10-10		t
08d0cb39-46f7-4d33-9ea5-ddeb2d8da50e	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	722490005	29	6934			36	38	35	40	°C	PALS_2025	high	Pediatric temperature; fever >38°C (100.4°F) requires evaluation	2025-10-10		t
14663e2b-7d7e-42bb-86c5-00ee563527e0	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	722490005	6935				36	38	35	40.5	°C	WHO_2023	high	Adult temperature; fever >38°C (100.4°F); hypothermia <35°C	2025-10-10		t
63c25a46-8575-493a-8f67-07364150ece7	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	103228002	0				94	100	85		%	PALS_2025	high	Oxygen saturation at sea level on room air; <92% requires evaluation, <88% severe hypoxemia	2025-10-10		t
43ec7c42-d2ef-46b7-ae06-850b9d717a5c	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271649006	29	365			72	104	50	120	mmHg	IOWA_2025	moderate	Infant systolic BP per Iowa Protocols 2025	2025-10-10		t
324ebbdf-11ca-4645-b00e-c2a1fbdbdea0	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271649006	366	1095			85	106	60	130	mmHg	IOWA_2025	moderate	Toddler systolic BP per Iowa Protocols 2025	2025-10-10		t
c53a8174-5d48-4acb-b813-923a4d4efa0e	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271649006	1096	1825			90	110	65	140	mmHg	IOWA_2025	moderate	Preschool systolic BP; AAP screening begins at age 3	2025-10-10		t
44006235-9c47-430f-89b2-9e84f1b5d0d8	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271649006	1826	4380			90	121	70	150	mmHg	IOWA_2025	moderate	School-age systolic BP; percentile-based assessment required per AAP 2017	2025-10-10		t
641cc665-3c3a-4bdd-b32d-5ac3b661999c	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271649006	4381	6934			102	124	80	160	mmHg	AAP_2017	high	Adolescent systolic BP; Elevated: 120-129, Stage 1 HTN: 130-139, Stage 2: ≥140 (AAP 2017 simplified thresholds)	2025-10-10		t
17067607-e0e8-4b8c-a04d-b36f6bdc72e1	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271649006	6935				90	120	70	180	mmHg	AHA_2025	high	Adult systolic BP; Normal: <120, Elevated: 120-129, Stage 1 HTN: 130-139, Stage 2 HTN: ≥140 (AHA/ACC 2025)	2025-10-10		t
1dd71f4d-3286-45f4-a6ca-7808b1fc3369	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271650006	29	365			37	56	25	75	mmHg	IOWA_2025	moderate	Infant diastolic BP per Iowa Protocols 2025	2025-10-10		t
50fb2f97-10b9-48f3-807d-36a01cd7f044	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271650006	366	1095			41	62	30	85	mmHg	IOWA_2025	moderate	Toddler diastolic BP per Iowa Protocols 2025	2025-10-10		t
97dd8cdd-f384-4062-91fc-2e8d29b3f971	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271650006	1096	1825			47	70	35	95	mmHg	IOWA_2025	moderate	Preschool diastolic BP per Iowa Protocols 2025	2025-10-10		t
414db3d9-ce05-4201-a64f-8b69dfbeb17d	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271650006	1826	4380			59	78	40	100	mmHg	IOWA_2025	moderate	School-age diastolic BP per Iowa Protocols; percentile-based assessment per AAP 2017	2025-10-10		t
e105c785-fd48-449b-8e93-d8003e9fbd38	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271650006	4381	6934			64	80	45	110	mmHg	AAP_2017	high	Adolescent diastolic BP; Stage 1 HTN: 80-89, Stage 2: ≥90 (AAP 2017)	2025-10-10		t
f1e9ac4e-e431-49ab-9958-86ef4715f684	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271650006	6935				60	80	40	120	mmHg	AHA_2025	high	Adult diastolic BP; Normal: <80, Stage 1 HTN: 80-89, Stage 2: ≥90 (AHA/ACC 2025)	2025-10-10		t
e992dc42-c887-46b4-a99e-7cdc36867e64	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	405176005	0				70	100	40	400	mg/dL	ADA_2025	high	Fasting blood glucose; Normal: 70-100, Prediabetes: 100-125, Diabetes: ≥126 mg/dL (ADA 2025)	2025-10-10		t
