id	value	units
d5c19266-ccd9-4a2d-ab14-5d5c3151939d	6	G
5a7d78cd-3a4b-462c-a51d-c2c63caef4a5	150	MG
b30ff77b-56af-40f8-90f7-e605bd2d0962	10	MG
26f88207-8cd0-4787-b89f-6f7ba9e77fd6	50	G
99b0ba04-4048-4f84-8639-e4e389c4c0f4	300	MG
e2168200-af58-4ab1-8798-94208fc128c0	60	MG
9bef127d-f738-4370-9e7f-a2ea370aba5e	30	MG
b168dee7-13b2-4f75-b37a-23d34606daa2	600	MG
7defe805-4e0b-4704-a81a-a4173fa3787d	300	MG
004403b7-c883-4d22-9348-71231a5a02d0	60	MG
f364fabe-7666-4b81-bcbf-7b1f9ccde225	30	MG
0eebb3a6-b742-42fb-a4c3-8313cb7da5a2	120	MG
635b26ab-a222-4128-85d1-24239718b872	60	MG
df51e471-0d98-4bbe-8292-0271594c34bb	300	MG
920b36ae-1eb6-430f-a10d-f9cb000f3883	300	MG
1ab25031-7982-4e13-a847-2a8749afe18c	20	MG
4f4c58ee-3834-462a-9e85-d2cf421706eb	300	MG
a644b1eb-2617-4442-9a36-69de7e5b9d97	60	MG
f10f67f8-7e7b-45b3-a9f1-cd0dd72313e4	30	MG
716ab304-39df-45e7-9f36-002362b22b04	600	MG
a9834e83-cb03-437d-a7e3-fa9435f919ff	300	MG
35c118ce-2d3f-4bf9-9f3e-a1951cae4025	600	MG
b039c95b-dbe4-4d0a-8883-99ca5ebfebf9	300	MG
86d982d2-14d9-4700-8d37-5d4f9f37a6b5	600	MG
a89421b8-2c7d-42aa-ade1-e183c6c50d08	300	MG
6034ba58-fa79-4dc1-8242-3ea8514784a2	600	MG
c2e10db6-70b1-4d08-8e0a-9c393e1f9182	300	MG
d6f42eeb-6c13-4525-9adf-9a2200b92a14	300	MG
02c56ab5-bdc0-413f-a4bd-426f5239cce7	150	MG
4d083128-42f2-4c6b-8aa3-6855ec3a1658	300	MG
3b7f98bb-c13e-463d-9fc4-7003970383be	600	MG
c5619ba7-1b12-488f-86c0-fef6f05fa1fe	50	MG
df0f1404-05a1-463e-a8f4-475bca8e90c7	300	MG
84d54616-aaa9-48ff-b052-43d4a32b904c	300	MG
a6564ac0-54c3-4cf7-a372-e6c7774b3dc8	60	MG
