id	medication_id	value	units	description
542b1916-9a04-4657-a30f-0205ddd4d0be	a3f04cba-d9a0-45ba-89b9-7f386dc611d0	1000	ML	SOLUTION
699ae704-3acb-41d8-aae2-318ced4a2111	7309ec64-2aea-4081-b699-a362dad0bfb6	1	TABLET	TABLET, COATED
2996017e-9f25-42ab-ba3d-ef6a9b8c7051	3c73b062-fec9-4437-893a-e71da2881781	1	ML	SOLUTION
dbd5da51-7be1-4585-b6f5-5f685a56c32a	801ade75-4b3f-4007-8526-cf52f7c9a70e	1	DOSE	SOLUTION
6f194bd0-9d48-4d3d-83b1-c8fb3f85263e	ea6a91d2-45ef-45c1-905a-b9b9c35be35b	1	TABLET	TABLET, COATED
2f207294-88f0-4ac6-ba5a-c3904819abb9	a79e98e8-4006-41ee-9e61-b328b412797f	1	TABLET	TABLET
54ce705d-8eec-4f61-ae95-dca2b5f05a69	4ec513dc-c460-4fc4-b2d0-0b4d4988281f	1	TABLET	TABLET, COATED
6754aacb-222c-4422-ab30-04af3ddbd6b5	cdfde245-8384-458d-8338-976764a97f5c	1	TABLET	TABLET, COATED
52e26b07-e28a-428a-adbe-a5dd3d113e0a	d3d0cdcc-1d8d-46d2-b978-0986a320a51d	1	TABLET	TABLET
4244d280-2b36-4ab0-9474-a3c942235f19	a2b27b64-85e4-4511-84f3-23888cb69d5f	1	TABLET	TABLET, COATED
77eaacd0-55cd-4be4-b31a-e536cc23c2c3	cbcdaed2-bf39-4f30-adc4-a82e86ac3909	1	TABLET	TABLET, COATED
50d861be-7b41-4190-8073-8af50b946ea0	df18eee4-eabe-4ba2-a48c-5d81c730798d	1	ML	SOLUTION
9f268348-efe6-4229-a08f-682b63b91e7e	5462f735-c38e-4a8c-a0a8-f461437c046a	1	TABLET	TABLET
38706a98-4e29-4bc7-acd1-092f1847eb77	bade9368-86eb-4292-afc5-b6dc63b84f7e	1	TABLET	TABLET
9d3ac5f7-caed-4828-8739-f3ce19b1b1f8	0db5ef77-7ff7-4b5b-b958-02f42768db2e	1	TABLET	TABLET
e2aab318-a71b-400f-90a9-08511af5b847	c6cf340b-41d7-42d8-8e19-074590193519	1	TABLET	TABLET, COATED
2a8b3b3e-86c2-4ac5-8cc9-ad8806abd8c2	eb94dde5-ca1d-4a4b-b63e-dc2569aaa2e0	1	TABLET	TABLET
08512400-e0fe-4e2b-b641-473d460d55f1	7587358f-7c27-47a7-81c5-4f938dc75c95	1	TABLET	TABLET, COATED
3096c314-fb3b-48c8-8058-aa60155d6874	a663fb18-c007-4bfe-9e01-58444b935c9d	1	TABLET	TABLET
3f3d2e85-05d6-4e97-a4d0-5f5bdb760822	058b7d96-6cce-41d6-85d3-56cee71d68d0	1	TABLET	TABLET, COATED
db26177d-ccf5-4ba1-8391-a9e47b164bd5	19cc88f4-9d0c-4476-9a19-2a9cdc45366a	1	TABLET	TABLET, COATED
f99a5482-bfdb-49f6-a247-f8c49a05be4a	e024c04c-a546-4acf-94bd-c6491f6a19a1	1	CAPSULE	CAPSULE
77a3cfd1-5a7c-4a3d-9994-5386e05d0594	491a241d-1dab-4e17-a486-4efac99d332b	1	TABLET	TABLET, COATED
f1b512bf-a35f-494f-907a-f72bd99054df	476b2fea-ae6b-4d97-8dc2-1f37730577bd	1	TABLET	TABLET, COATED
