id	created_at	updated_at	trade_name	applicant_name	manufacturer_name	form	routes	snomed_concept_id
9226b725-6570-47ff-9690-79009857dfcb	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	0.9% SODIUM CHLORIDE SOLUTION CHLORIDE FOR INFUSION B. BRAUN	B. BRAUN MEDICAL (PTY) LTD	B. BRAUN MEDICAL (PTY) LTD  SOUTH AFRICA;  B.BRAUN MELSUNGEN AG MELSUNGEN GERMANY;  B. BRAUN MEDICAL BARCELONA SPAIN;  B. BRAUN MEDICAL  SWITZERLAND;  B. BRAUN MELSUNGEN AG  GERMANY;	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	777553004
8981c56b-8774-45f5-a391-98f129ddff63	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	3TC	GLAXO-WELLCOME ZIMBABWE PVT LTD	GLAXO WELLCOME OPERATIONS HERTFORDSHIRE UK;  GLAXO R.S.A.(PTY) LTD MIDRAND SOUTH AFRICA;	TABLET, COATED	{ORAL}	776465009
cf6c5c36-6771-4cfc-bf35-6a67a1646925	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	3TC	GLAXO-WELLCOME ZIMBABWE PVT LTD	GLAXO-WELLCOME OPERATIONS LIVERPOOL UK;  GLAXO R.S.A.(PTY) LTD MIDRAND SOUTH AFRICA;	SOLUTION	{ORAL}	324825008
d30addaa-9f34-498f-b23a-817ad667ac0e	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	5D	GRANITESIDE CHEMICALS (PVT) LTD	OTSUKA PHARMACEUTICALS INDIA PRIVATE LIMITED SANAND INDIA;	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	776119003
2d221bf6-b733-4b8d-b084-ecf1c215682f	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR	AUROBINDO PHARMA LIMITED	AUROBINDO PHARMA LTD JEDCHERLA INDIA;	TABLET, COATED	{ORAL}	772187006
cd0b57dc-cb43-470d-8447-7410028d37da	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULFATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA;	TABLET	{ORAL}	772188001
ec3b18c6-def7-4797-9512-fba64dba307b	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULFATE; LAMIVUDINE	AUROBINDO PHARMA LIMITED	AUROBINDO PHARMA LIMITED HYDERABAD ;	TABLET, COATED	{ORAL}	772188001
bf9f7fc7-39c7-4ac7-a2fd-c55f26dd5267	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULFATE; LAMIVUDINE	AUROBINDO PHARMA LIMITED	AURO BINDO PHARMA LTD  INDIA;	TABLET, COATED	{ORAL}	772188001
269434b3-4d6a-4bb2-a40b-6f20680bbacf	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULFATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LAB LTD MAHARASHTRA INDIA;	TABLET	{ORAL}	772188001
e3959d9e-f2d2-4c3e-802a-34667076e4fa	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULPHATE	STRIDES ARCOLAB LTD	STRIDES ARCOLAB LTD BANGALOR INDIA;	TABLET, COATED	{ORAL}	772187006
373d6800-cf04-4bef-a56e-5b72054af9a8	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULPHATE	CIPLA LTD	CIPLA LTD MAHAD INDIA;	TABLET, COATED	{ORAL}	772187006
43765474-59d2-4178-a8d1-c004dd17acaf	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULPHATE	HETERO LABS LTD	HETERO DRUGS LTD JADCHERLA INDIA;	SOLUTION	{ORAL}	324881002
20275910-5446-4a8f-b31b-995ac53113e0	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULPHATE	HETERO LABS LTD	HETERO DRUGS LTD JADCHERLA INDIA;	TABLET	{ORAL}	772187006
5d29a65e-1409-44a4-887d-75bf72a32a04	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULPHATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA;	TABLET	{ORAL}	772188001
f9214961-5df9-425b-8b34-8ed2686d1e47	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULPHATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA;  MYLAN LABORATORIES LIMITED BAVLA INDIA;	TABLET	{ORAL}	772188001
0deb24f2-c22b-4f15-a615-dba4aaa5a2c2	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULPHATE; LAMIVUDINE	HETERO LABS LTD	HETERO LABS LTD, ANDHRA PRADESH INDIA;	TABLET, COATED	{ORAL}	772188001
edb069e9-a7a2-4a93-af98-4956fe22d9bb	2026-02-19 17:46:55.874549+00	2026-02-19 17:46:55.874549+00	ABACAVIR SULPHATE; LAMIVUDINE	SUN PHARMACEUTICAL INDUSTRIES LIMITED	SUN PHARMACEUTICAL INDUSTRIES LIMITED PAONTA SAHIB INDIA;	TABLET	{ORAL,RECTAL,VAGINAL,SUBLINGUAL,BUCCAL}	772188001
