id	created_at	updated_at	country	licence_number	name	licensee	address	town	expiry_date	pharmacies_types
72116796-7b79-43ae-9784-3dc8a502ba42	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	P01-P1995-2024	DIVINE PHARMACY- MABELREIGN	SCILLATON (PVT) LTD	1&2 STORTFORD PARARDE	HARARE	2025-01-31	Pharmacy in any other location
b31898bf-79df-4a42-aa80-39084a0abec5	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	P05-P1215-2024	FAMILY PHARMACY	TAPMAK MEDICAL & SURGICAL SUPPLIERS (PVT) LTD	24 HOFMEYER STREET	MASVINGO	2025-04-30	Pharmacy located in the CBD
48297e37-81c9-4096-a9d3-2b9d7de4e86b	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	P05-P1576-2024	HOPE PHARMACY	CADIOSIS ENTERPRISES (PVT) LTD	17A BT 5TH AVE FORT ST	BULAWAYO	2025-02-28	Pharmacy located in the CBD
c951c2c8-2c4f-4783-90fc-061ee1933341	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	P01-P1711-2024	KAROI PHARMACY	PINEAL PHARMACY (PVT) LTD	SHOP 8 STAND 370 BOUGAINVILLEA WAY	KAROI	2025-05-31	Pharmacy in any other location
40aaf406-be13-40e5-895b-4aebc2d0d7b3	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	D01-P0015-2023	TAREMBA SURGERY	TAREMBA DAVISON	312 CD	CHECHECHE	2024-06-30	Dispensing medical practice
dce83af7-3dae-412b-9465-d87a261be725	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	W01-P0179-2024	VETERINARY CENTRE	CARE ANIMAL HEALTH (PVT) TD	SUITE 2 119 LOMAGUNDI RD, GREENCROFT	HARARE	2025-06-30	Wholesalers
33f35f04-24a8-4528-adad-03f15cdf66ce	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	P01-P1749-2024	24 HR KENSINGTON PHARMACY	CANESTAN (PVT) LTD	1 KENNY RD KENSINGTON	HARARE	2025-03-31	Pharmacy in any other location
cbb4dfcd-9832-4fae-8059-584b8db6c58f	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	P01-P1724-2024	3RD AVENUE PHARMACY	HOSPITALITY HOME ENTERPRISES P/L	49 LOBENGULA STREET & 3RD AVENUE	BULAWAYO	2025-06-30	Pharmacy in any other location
59fc70a4-8a66-45ec-9679-422a5d44e505	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	P01-P1725-2024	3RD AVENUE PHARMACY - PLUMTREE	HOSPITALITY HOME ENTERPRISES P/L	STAND 16 THEKWANI ROAD	PLUMTREE	2025-12-31	Pharmacy in any other location
8156f7e3-a7fa-40ce-8889-ff7f8da1b199	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	P05-P1972-2024	6TH AVENUE PHARMACY	HEALTHROCK (PVT) LTD	22D COMPUTER VILLAGE CNR 6TH AVE JASON MOYO	BULAWAYO	2025-06-30	Pharmacy located in the CBD
4ba6cdfc-eba1-44c5-875c-e529c2d7b057	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	P01-P1138-2024	AA PHARMACY	REAL HAPPENING INVESTMENTS (PVT) LTD	STD 24588 PUMULA SOUTH	BULAWAYO	2025-01-31	Pharmacy in any other location
b7040505-6346-4f91-a524-1bbc9d87f507	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	D01-P0028-2023	ABOOBAKAR M.B.	ABOOBAKAR M.B.	156 H. CHITEPO AVE/TAKAWIRA ROAD	HARARE	2024-06-30	Dispensing medical practice
9017575b-fd79-4906-aaa4-6a3fb7d2449e	2025-07-27 17:47:39.182633-04	2025-07-27 17:47:39.182633-04	ZW	P01-P1504-2024	ABUNDANT LIFE PHARMACY	ABUNDANT LIFE PHARMACEUTICALS P/L	86 R. MUGABE ROAD	HARARE	2025-12-31	Pharmacy in any other location
