id	created_at	updated_at	licence_number	name	licensee	address	town	expiry_date	premises_types
5671e156-9528-4494-84b5-bb4b1d14b657	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1995-2024	DIVINE PHARMACY- MABELREIGN	SCILLATON (PVT) LTD	1&2 STORTFORD PARARDE	HARARE	2025-01-31	Pharmacy in any other location
14522889-6b85-47ab-bb36-a6aa24bbf7fc	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P05-P1215-2024	FAMILY PHARMACY	TAPMAK MEDICAL & SURGICAL SUPPLIERS (PVT) LTD	24 HOFMEYER STREET	MASVINGO	2025-04-30	Pharmacy located in the CBD
e149c7f7-a935-4254-aafc-9846eea0d654	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P05-P1576-2024	HOPE PHARMACY	CADIOSIS ENTERPRISES (PVT) LTD	17A BT 5TH AVE FORT ST	BULAWAYO	2025-02-28	Pharmacy located in the CBD
3f5320c1-c515-4a0d-9e4f-b5c25cf91f43	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1711-2024	KAROI PHARMACY	PINEAL PHARMACY (PVT) LTD	SHOP 8 STAND 370 BOUGAINVILLEA WAY	KAROI	2025-05-31	Pharmacy in any other location
7ac2e2a9-8bdf-439c-bc82-b568d032a2e0	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	D01-P0015-2023	TAREMBA SURGERY	TAREMBA DAVISON	312 CD	CHECHECHE	2024-06-30	Dispensing medical practice
c5598671-dea2-4ee8-bca1-f86a3d6c956b	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	W01-P0179-2024	VETERINARY CENTRE	CARE ANIMAL HEALTH (PVT) TD	SUITE 2 119 LOMAGUNDI RD, GREENCROFT	HARARE	2025-06-30	Wholesalers
92b8fa61-550c-4ecd-a8f1-7dbb66dae0fe	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1749-2024	24 HR KENSINGTON PHARMACY	CANESTAN (PVT) LTD	1 KENNY RD KENSINGTON	HARARE	2025-03-31	Pharmacy in any other location
528530e5-2a1c-4360-83f0-b655a1d2734c	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1724-2024	3RD AVENUE PHARMACY	HOSPITALITY HOME ENTERPRISES P/L	49 LOBENGULA STREET & 3RD AVENUE	BULAWAYO	2025-06-30	Pharmacy in any other location
53e8a266-5926-4c33-bca8-cb202087bc5b	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1725-2024	3RD AVENUE PHARMACY - PLUMTREE	HOSPITALITY HOME ENTERPRISES P/L	STAND 16 THEKWANI ROAD	PLUMTREE	2025-12-31	Pharmacy in any other location
8af5e031-6a58-4ea7-851d-d9d685a12e57	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P05-P1972-2024	6TH AVENUE PHARMACY	HEALTHROCK (PVT) LTD	22D COMPUTER VILLAGE CNR 6TH AVE JASON MOYO	BULAWAYO	2025-06-30	Pharmacy located in the CBD
f285492e-7d68-457f-9c0e-00d6936c32bb	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1138-2024	AA PHARMACY	REAL HAPPENING INVESTMENTS (PVT) LTD	STD 24588 PUMULA SOUTH	BULAWAYO	2025-01-31	Pharmacy in any other location
a2748cc0-ecea-4080-abe8-9b0815de1fc0	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	D01-P0028-2023	ABOOBAKAR M.B.	ABOOBAKAR M.B.	156 H. CHITEPO AVE/TAKAWIRA ROAD	HARARE	2024-06-30	Dispensing medical practice
3ad123b0-51cd-4415-857c-28832f91bd64	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1504-2024	ABUNDANT LIFE PHARMACY	ABUNDANT LIFE PHARMACEUTICALS P/L	86 R. MUGABE ROAD	HARARE	2025-12-31	Pharmacy in any other location
6e31d362-143c-4374-a524-0c73b827c7e4	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	W01-P0171-2024	ACCESS PHARMACEUTICALS	CHILLENDEN ENTERPRISES (PVT) LTD	19 STEELWORKS RD, STEELDALE	BULAWAYO	2025-03-31	Wholesalers
55a854fc-11b5-46fd-967b-75f364abe0a8	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1540-2024	ACCULIFE PHARMACY	ACCULIFE PHARMACY	19247 SUNNINGDALE 2	HARARE	2025-08-31	Pharmacy in any other location
9946e855-a310-44b8-80b0-2b39c3dbed0c	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P06-P1767-2024	ACCULIFE PHARMACY	ACCULIFE PHARMACY (PVT) LTD	318 BEATRICE TOWNSHIP	BEATRICE	2025-05-31	Pharmacy in rural area
1b99d943-2bcc-4255-8de1-93f63cd38cdf	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	I03-P0216-2024	ACE AIR AND AMBULANCE CLINIC	ACE AIR AND AMBULANCE SERVICES (PVT) LTD	20 TELFORD GRANITESITE	HARARE	2024-09-30	Clinics: Class B
e638e062-8fb3-4e44-86a6-74ef808f8332	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1327-2024	AEDAN PHARMACY	YOBCARE INVESTMENTS (PVT) LTD	3810 NHORO ROAD WINDSOR PARK	RUWA	2025-12-31	Pharmacy in any other location
464099f5-26e2-403f-a06a-8247a0e08c61	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P06-P1483-2024	AFFINITY PHARMACY	AFFINITY PHARMACY (PVT) LTD	STD 1238 RUSHINGA RURAL SERVICE CENTRE	RUSHINGA	2025-02-28	Pharmacy in rural area
3ced38b8-5351-4fae-b2a6-4eb403134681	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	I02-P0131-2023	AFRICA UNIVERSITY CLINIC	AFRICA UNIVERSITY	AFRICA UNIVERSITY CAMPUS	MUTARE	2024-09-30	Clinics: Class B
9c8977f4-c06e-4fd4-952e-eb59d89aaf62	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	W01-P0210-2024	AFRIHELP PHARMACEUTICALS	AFRIHELP PHARMACEUTICALS (PVT) LTD	15 BRISTOL, WORKINGTON	HARARE	2025-05-31	Wholesalers
1b57b4c5-a61d-40d8-a099-b8a87e21ee97	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1259-2024	AFRIHELP PHARMACY	AFRIHELP PHARMACEUTICALS (PVT) LTD	1024 GOKWE CENTRE	GOKWE	2025-05-31	Pharmacy in any other location
41d72977-ccd4-40e3-b5af-229987cbf2e9	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1526-2024	AFROPHARM HEALTH PHARMACY	AFROCEUTICS (PVT) LTD	SHAP 4 STAND 14282 KUWADZANA EXTENSION	HARARE	2025-06-30	Pharmacy in any other location
7254ee7c-0413-480b-930c-697c87a8fe79	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1639-2024	AFROPHARM HEALTH PHARMACY	AFROCEUTICS (PVT) LTD	12248 SIFRA COMPLEX KUWADZANA EXT	HARARE	2025-11-30	Pharmacy in any other location
8a8ce0b8-d539-4dba-b5b1-e43eb134903a	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1515-2024	AFROPHARM HEALTH PHARMACY	AFROCEUTICS (PVT) LTD	SHOP 4 KEMBO SHOPS DZIVARASEKWA EXT	HARARE	2025-07-31	Pharmacy in any other location
08181581-e309-411c-944a-c71f922adeee	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1425-2024	AFROW PHARMACY	AFROW HOLDINGS (PVT) LTD	10217 WESTERN TRIANGLE HIGHFIELDS	HARARE	2025-01-31	Pharmacy in any other location
4cd8974c-898c-4ed9-addc-0a27aaa2808c	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	D01-P0031-2023	AHMED CLINIC	AHMED CLINIC	21 ROBSON MANYIKA AVENUE	HARARE	2024-06-30	Dispensing medical practice
8020cab6-dfae-4d5e-bc12-2373452ecedc	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	I03-P0179-2023	AIR ZIMBABWE CLINIC	AIR ZIMBABWE CORPORATION	HARARE INTERNATIONAL AIRPORT	HARARE	2024-09-30	Clinics: Class C
1041a9fd-0223-4fcd-bc01-09e15298beee	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P05-P1840-2024	ALIMED PHARMACY	ALIMED (PVT) LTD	78 KAGUVI STREET	HARARE	2025-01-31	Pharmacy located in the CBD
885d2f83-0dcf-4360-aa67-ce155d66166f	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P05-P1574-2024	ALLDAYS PHARMACY	EXCELLENT ABODE ENTERPRISES (PVT) LTD	NO. 14099 JM NKOMO/10TH AVE	BULAWAYO	2025-02-28	Pharmacy located in the CBD
55f16304-1361-4006-8de7-f4dd12d3b93e	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P05-P1258-2024	ALLERGY PHARMACY	TIMEWELL HEALTH (PVT) LTD	113 KWAME NKRUMAH AVENUE	HARARE	2025-02-28	Pharmacy located in the CBD
938e7ee8-6acd-4c46-88d5-45e2d975bff9	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1261-2024	ALLIANCE PHARMACY	ALLIANCE PHARMACEUTICALS (PVT) LTD	97 R.G. MUGABE WAY	ZVISHAVANE	2025-03-31	Pharmacy in any other location
e535137a-5321-43e0-a0c6-2b13004cb00b	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1467-2024	ALLYMAC PHARMACY	DAVCAM INVESTMENTS (PVT) LTD	SHOP 1 STD 14042 BRUNDISH	CHINHOYI	2025-12-31	Pharmacy in any other location
9f2d04bf-f8ab-4c01-9c08-b8b5c07756a2	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P05-P1944-2024	ALMOND PHARMACY	ASAMED (PVT) LTD	146 CHINHOYI STREET	HARARE	2025-10-31	Pharmacy located in the CBD
ab7dbdb3-a370-46b8-9849-37c9e8336606	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1334-2024	ALOWELL PHARMACY	STELVIO (PVT) LTD	NUMBER 14A KING GEORGE ROAD	HARARE	2025-02-28	Pharmacy in any other location
553ce83e-3366-4f53-9fbc-4306f94a1c78	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1534-2024	ALOWELL PHARMACY	STELVIO (PVT) LTD	STAND NO 12279 MAKOMVA GLENVIEW 8	HARARE	2025-12-31	Pharmacy in any other location
7b89c622-308e-46d4-9ad4-09076426a897	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1872-2024	ALOWELL PHARMACY	STELVIO INVESTMENTS (PVT) LTD	46 CONNET RISE, BOND STREET, MT PLEASANT	HARARE	2025-09-30	Pharmacy in any other location
6eeff111-dab8-4059-b6f6-45d7a845a80e	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P2014-2024	ALOWELL PHARMACY	STELVIO INVESTMENTS (PVT) LTD	39-41 CNR J TONGOGARA & S MUZENDA	MASVINGO	2025-02-28	Pharmacy in any other location
d3002704-884f-49f3-8f48-cba87491542e	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1938-2024	ALPOM PHARMACY	CAREFOUR HEALTHCARE (PVT) LTD	8989 SPITZKOP B/CENTRE	GWANDA	2025-09-30	Pharmacy in any other location
f8aacca9-f499-420e-a0a3-ccde09b651b6	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	I03-P0088-2023	ALRO INDUSTRIAL CLINIC	REDGRAVE SERVICES (PVT) LTD	STD 18418/9 MUKUVISI OFFICE PARK	HARARE	2024-09-30	Clinics: Class C
0ea0e7f4-5c42-459a-aee7-27d41e4538c4	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	W01-P0142-2024	ANCHOR DISTRIBUTORS	GOLD STREAK (PVT) LTD	104B MCCHLERY ROAD EASTLEA	HARARE	2025-03-31	Wholesalers
c6b2e220-4a66-488c-a639-302adf194c9e	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1921-2024	ANGEL PHARMACY	CROXFORD INVESTMENTS (PVT) LTD	96/97 MAINSTREET	CHIPINGE	2025-11-30	Pharmacy in any other location
eb60dcf7-bdc3-4a0a-98f1-a9011f5ab468	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1245-2024	APEX 24 PHARMACY	RONETHIA INVESTMENTS (PVT) LTD	14663 DAMOFALLS PARK	RUWA	2025-11-30	Pharmacy in any other location
280862a4-dd58-4354-a7a5-206fef3a9408	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1429-2024	APEX 24 PHARMACY	RONETHIA INVESTMENTS (PVT) LTD	327 NYAZEMA	MACHEKE	2025-04-30	Pharmacy in any other location
f3fadd31-df60-4fb5-8726-179ad62cc985	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P05-P1455-2024	APEX PHARMACY	MUCHMADLEE INVESTMENTS (PVT) LTD	SHOP 3, ELIZABETH MANSIONS, 65 6TH ST	GWERU	2025-03-31	Pharmacy located in the CBD
8d22905b-7d3c-40a8-95bd-719024bd4ad1	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P05-P1288-2024	AQUAMED PHARMACY	PRENCISMAK HEALTH (PVT) LTD	SHOP 5 KINGSMEAD NKWAME NKRUMAH	HARARE	2025-11-30	Pharmacy located in the CBD
f68421ac-685c-44dd-b803-61bcc2c7a27a	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	W01-P0194-2024	ARAVAS PHARMACEUTICALS	ARAVAS PHARMACEUTICALS (PVT) LTD	4471 PROSPECT IND. AREA	HARARE	2025-03-31	Wholesalers
