id	units_snomed_concept_id	value	value_low	value_high
1fcaa6a8-bac4-45af-bdf8-e00ae667e838	258682000	40		
76524ff3-6a53-409f-b84f-71f649ce8b18	258682000	40		
9e3138e8-7403-42e0-b8e0-ddc873e33a7b	258684004		0.5	1
842600dc-e684-4e5a-8fe5-1798d686fd37	258682000	1		
c4bd0033-4a2b-430d-b24f-5e91054c77f4	258684004		10	20
e9667ea3-57b0-42ea-b58f-b7a049b823d2	258684004	250		
980c9250-5c08-429d-bcc6-d2ff72a70386	258684004	500		
8d523c3c-f5ac-4b08-b969-637f3f92b4cc	258773002	15		
8b7511ef-e9fe-4323-8bab-095b7690d2c9	258773002	15		
028ebb5c-f55c-4ebf-a6e1-785d283bf984	258684004	40		
3de384ad-3393-40b5-bf94-84f82a2e8216	258773002		10	30
d928d47b-5c8c-44f7-a175-0270883d3fbc	258773002		10	30
f7b1d59d-57da-4e42-a00d-1dfc0047b1a1	258684004		2	4
fd32b87a-7e65-4b84-aa12-72ff2aab59b2	258684004	10		
7f6e6863-14c9-4a7d-9cd6-4b459e698d0a	258684004	10		
e1d4aea4-d80f-49a5-8098-01affe3dc85e	258684004	40		
360450e4-ea14-49b0-9096-5e08eae1aa86	258684004	40		
c79ba334-f207-4ac5-8b11-d76595adea38	258684004	20		
100b1bdc-9dc6-485f-80d7-268c90e70ad3	258684004	40		
0a24a5ba-2345-4b5d-b1aa-8fe5a0768387	258684004	40		
ec70db77-34a5-4860-8382-98c2fbad3ec5	258684004	0.5		
f9bdfdf8-b81f-4731-97f9-fb8dc0247925	258684004		20	40
a9197adb-6524-4591-b59a-7fad31c33b8f	258684004	100		
c7501eb0-034e-4676-a339-b6b56cacec74	258684004	25		
ee15f751-079e-4675-b1df-dee74016930a	258684004	300		
d80bc20e-5949-4c58-8f64-bfc71a91238d	258684004	300		
b0dbf9b7-9b09-4330-9dc0-ff06bffa6b66	258684004	10		
966f3254-1bbe-4373-8d8a-7ff6980bf263	258682000	2		
2556e343-0c29-454d-aeee-3b78c6747436	258684004	5		
1acc5264-52eb-490b-87e1-50e29ef881aa	258684004	5		
30dc6e27-30b9-4e94-b5a9-84077778baf6	258684004	10		
cb30289e-2700-4e6f-a8f3-92f779e71bdb	258684004	10		
b32bd5d5-bc75-4523-b47c-9ee054e39899	258684004	0.1		
fa0a47c3-c69f-4901-abed-4fd54492c568	258684004	0.1		
68970222-a8ac-4e5a-a83d-7c3ae0d106a9	258684004		0.4	0.8
deb3bc0c-c3c3-46c2-86de-431b1b82afb9	258684004		0.1	0.2
76d6460f-acc6-440f-a814-3bcf5ec3e590	258684004	0.1		
cf342735-c27a-41e9-bd81-61e38d141e27	258684004	0.5		
49b3a9ae-d740-4371-8c56-3f87c283e191	258684004	1		
d695868e-6fd2-4c75-96b8-5d45a7de59c1	258997004	500		
509e622d-08b9-489a-8ffa-0d9efdfd65f3	258773002	0.5		
76191b9e-93e3-4f88-bbac-d578fce5aee4	258684004	250		
fe7a2bf0-01c4-4aa9-9779-5d0deb8e3b24	258684004	400		
20c55958-6493-4318-8aa0-5ad1b79bc678	258684004	7.5		
44f9d553-45a8-4e0c-aec8-b68e91773770	258684004	400		
825da8a6-f251-4289-a3f7-87a6eb8fb4c9	258684004	7.5		
d5268d76-4894-4585-96b1-96b8e48a7e51	258684004	400		
76383a16-2608-48da-9b97-e186de17220a	258682000	1		
