id	assessment_snomed_id	option_snomed_concept_id	display_label	display_order	ordinal_value	created_at	updated_at
115e49c3-5cb6-46c5-ba8c-aae0449f961c	1104441000000107	248234008	Alert	1	0	2025-11-17 12:07:06.362849+00	2025-11-17 12:07:06.362849+00
2855b1b3-2718-422f-b54c-c36faa39cb6f	1104441000000107	422768004	Reacts to voice	2	1	2025-11-17 12:07:06.367593+00	2025-11-17 12:07:06.367593+00
b508e151-fc4f-4055-b31c-d1149e9adfe9	1104441000000107	40917007	Confused	3	2	2025-11-17 12:07:06.370655+00	2025-11-17 12:07:06.370655+00
363525c4-17a5-4672-832b-7fd81addf946	1104441000000107	450847001	Reacts to pain	4	3	2025-11-17 12:07:06.373552+00	2025-11-17 12:07:06.373552+00
fd6b04f1-7b3e-4c92-9e96-ee1b032b4ec8	1104441000000107	422107003	Unresponsive	5	4	2025-11-17 12:07:06.376138+00	2025-11-17 12:07:06.376138+00
25c3bd34-cbeb-4180-96e9-d291ea58bdf4	301438001	282144007	Walking	1	0	2025-11-17 12:07:06.378983+00	2025-11-17 12:07:06.378983+00
7ed4e066-ea7f-4a95-9a7a-28f8b348c3b6	301438001	719232003	Difficulty walking	2	1	2025-11-17 12:07:06.381672+00	2025-11-17 12:07:06.381672+00
08a5da6a-a109-4f8b-b21d-c1a997b546ab	301438001	282145008	Stretcher/Immobile	3	2	2025-11-17 12:07:06.384219+00	2025-11-17 12:07:06.384219+00
f50a7c3c-2e1e-4d5c-8c93-968de9439a67	417746004	373066001	No	1	0	2025-11-17 12:07:06.387396+00	2025-11-17 12:07:06.387396+00
1c2558e3-fa93-49a5-8cda-64d79044cac9	417746004	373067005	Yes	2	1	2025-11-17 12:07:06.390551+00	2025-11-17 12:07:06.390551+00
