id	age_determination	pregnancy	warning_sign	priority
222008	adult	t	Obstructed airway	Emergency
718004	adult	t	Obstructed airway	Emergency
5875001	adult	t	Obstructed airway	Emergency
8519009	adult	t	Obstructed airway	Emergency
36925002	adult	t	Obstructed airway	Emergency
39643002	adult	t	Obstructed airway	Emergency
58525007	adult	t	Obstructed airway	Emergency
61169001	adult	t	Obstructed airway	Emergency
68372009	adult	t	Obstructed airway	Emergency
69061003	adult	t	Obstructed airway	Emergency
73342002	adult	t	Obstructed airway	Emergency
78275009	adult	t	Obstructed airway	Emergency
79688008	adult	t	Obstructed airway	Emergency
85597002	adult	t	Obstructed airway	Emergency
185086009	adult	t	Obstructed airway	Emergency
217808004	adult	t	Obstructed airway	Emergency
217810002	adult	t	Obstructed airway	Emergency
230493001	adult	t	Obstructed airway	Emergency
232209000	adult	t	Obstructed airway	Emergency
233630006	adult	t	Obstructed airway	Emergency
248554005	adult	t	Obstructed airway	Emergency
248555006	adult	t	Obstructed airway	Emergency
249346001	adult	t	Obstructed airway	Emergency
275495004	adult	t	Obstructed airway	Emergency
276545006	adult	t	Obstructed airway	Emergency
301253007	adult	t	Obstructed airway	Emergency
301254001	adult	t	Obstructed airway	Emergency
301255000	adult	t	Obstructed airway	Emergency
371035002	adult	t	Obstructed airway	Emergency
371126007	adult	t	Obstructed airway	Emergency
408669002	adult	t	Obstructed airway	Emergency
425227004	adult	t	Obstructed airway	Emergency
427251005	adult	t	Obstructed airway	Emergency
427286007	adult	t	Obstructed airway	Emergency
427480003	adult	t	Obstructed airway	Emergency
427890000	adult	t	Obstructed airway	Emergency
428080007	adult	t	Obstructed airway	Emergency
428487003	adult	t	Obstructed airway	Emergency
428849001	adult	t	Obstructed airway	Emergency
429491000	adult	t	Obstructed airway	Emergency
762287001	adult	t	Obstructed airway	Emergency
765751002	adult	t	Obstructed airway	Emergency
774068004	adult	t	Obstructed airway	Emergency
788997004	adult	t	Obstructed airway	Emergency
865890009	adult	t	Obstructed airway	Emergency
865891008	adult	t	Obstructed airway	Emergency
865892001	adult	t	Obstructed airway	Emergency
865908007	adult	t	Obstructed airway	Emergency
890354000	adult	t	Obstructed airway	Emergency
890355004	adult	t	Obstructed airway	Emergency
890386005	adult	t	Obstructed airway	Emergency
890387001	adult	t	Obstructed airway	Emergency
1231580006	adult	t	Obstructed airway	Emergency
1231582003	adult	t	Obstructed airway	Emergency
1231583008	adult	t	Obstructed airway	Emergency
1231584002	adult	t	Obstructed airway	Emergency
1231585001	adult	t	Obstructed airway	Emergency
1231586000	adult	t	Obstructed airway	Emergency
1231587009	adult	t	Obstructed airway	Emergency
1231588004	adult	t	Obstructed airway	Emergency
1231589007	adult	t	Obstructed airway	Emergency
1231590003	adult	t	Obstructed airway	Emergency
1231591004	adult	t	Obstructed airway	Emergency
1231592006	adult	t	Obstructed airway	Emergency
1231593001	adult	t	Obstructed airway	Emergency
1381428001	adult	t	Obstructed airway	Emergency
401000119107	adult	t	Obstructed airway	Emergency
1091000119108	adult	t	Obstructed airway	Emergency
1101000119103	adult	t	Obstructed airway	Emergency
36491000119101	adult	t	Obstructed airway	Emergency
293241000119100	adult	t	Obstructed airway	Emergency
16275741000119100	adult	t	Obstructed airway	Emergency
217781531000119107	adult	t	Obstructed airway	Emergency
