id	name	district_id
2169	Bulawayo	115
2170	Harare	116
2171	Betera	117
2172	Chapwanya	117
2173	Chikuwa	117
2174	Chimombe 'b (Chimombe-chiweshe)	117
2175	Chimombe A	117
2176	Chimombe B	117
2177	Chimombe East	117
2178	Chimombe West	117
2179	Chimombe West (Chimutsa W)	117
2180	Chimutsa East	117
2181	Chirozva A	117
2182	Chirozva B	117
2183	Chitsunge	117
2184	Chiweshe	117
2185	Garamwera	117
2186	Mabvuregudo	117
2187	Makumbe	117
2188	Makuvise	117
2189	Marume	117
2190	Mawire	117
2191	Mombeyarara A	117
2192	Mombeyarara B	117
2193	Mudinzwa A	117
2194	Mudinzwa B	117
2195	Mudzamiri	117
2196	Munyira	117
2197	Murambinda	117
2198	Murwira	117
2199	Mushumba East	117
2200	Mushumba West	117
2201	Mutiusinazita	117
2202	Nechavava	117
2203	Nerutanga	117
2204	Neshava	117
2205	Biriri	118
2206	Bumha (shinja Rs)	118
2207	Chabika	118
2208	Chakowa	118
2209	Changazi	118
2210	Chayamiti	118
2211	Chikukwa	118
2212	Ngorima A	118
2213	Ngorima B	118
2214	Nyahonde (nagodi Rs)	118
2215	Nyanyadzi	118
2216	Rupise	118
2217	Shinja	118
2218	Chikwakwa	118
2219	Chiramba	118
2220	Guune	118
2221	Kudzanga	118
2222	Manyuseni	118
2223	Mhakwe	118
2224	Mhandarume	118
2225	Ada Chisumbanje	119
2226	Ada Middle Sabi	119
2227	Bangwe/maunganidze	119
2228	Checheche	119
2229	Chibunji	119
2230	Chibuwe	119
2231	Chikore	119
2232	Chinyaduma	119
2233	Chipinge Urban	119
2234	Chisumbanje	119
2235	Chisungo	119
2236	Chitenderano	119
2237	Chitepo	119
2238	Doroi	119
2239	Dumisani	119
2240	Gumira	119
2241	Hondoyapera	119
2242	Jersey	119
2243	Machona	119
2244	Madhuku	119
2245	Mahenye	119
2246	Manzvire	119
2247	Maongere	119
2248	Mapungwana	119
2249	Masonga	119
2250	Mbuyanehanda	119
2251	Musani	119
2252	Mushandirapamwe	119
2253	Musirizwi A	119
2254	Musirizwi B	119
2255	Mutandahwe	119
2256	Muzite	119
2257	Ngaone	119
2258	Nyagadza I	119
2259	Nyagadza Ii	119
2260	Nyamukunga	119
2261	Nyaringire	119
2262	Rudo	119
2263	Small Dell Estate	119
2264	Tamandayi	119
2265	Tongogara Refugee Camp	119
2266	Turaizvombo	119
2267	Tuzuka	119
2268	Batanai	120
2269	Bembero	120
2270	Chiduku	120
2271	Chinyamahumba	120
2272	Chitangazuva	120
2273	Denzva	120
2274	Dowa	120
2275	Dumbamwe	120
2276	Gweza	120
2277	Gwidza	120
2278	Mashayamvura	120
2279	Matotwe	120
2280	Mhezi	120
