condition_id	icd10_code	created_at	updated_at
c_8815	B49	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8815	G02	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8321	E11.01	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_22401	Z98.83	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4373	F17.210	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3746	R59.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_18163	R94.01	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2490	R60.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9757	R61	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10804	O41.1290	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10846	C96.A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2238	R07.81	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8251	R13.19	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9975	H40.1290	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_13800	I80.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4591	T14.8XXA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4591	T14.8XXD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4591	T14.8XXS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10205	S83.509A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10205	S83.509D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10205	S83.509S	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10195	N52.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9604	H54.7	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9594	R51.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_16365	H53.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8587	M62.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_25516	E11.21	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2474	K90.81	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2474	M14.80	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2526	K22.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8233	M05.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8305	T78.2XXA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8305	T78.2XXD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8305	T78.2XXS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9775	E11.69	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9775	K59.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_15130	N85.7	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6225	B01.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
