id	created_at	updated_at	name	is_medication
1	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	bandage	
2	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	3TC 150MG TABLET, COATED by GLAXO-WELLCOME ZIMBABWE PVT LTD	
3	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR 300MG TABLET, COATED by AUROBINDO PHARMA LIMITED	
4	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULFATE; LAMIVUDINE 30MG TABLET by MYLAN LABORATORIES LIMITED	
5	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE 300MG TABLET, COATED by STRIDES ARCOLAB LTD	
6	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE 30MG TABLET by MYLAN LABORATORIES LIMITED	
7	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE; ZIDOVUDINE 150MG TABLET by MYLAN LABORATORIES LIMITED	
8	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE 50MG TABLET, COATED by CIPLA LTD	
9	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABAMUNE L BABY 30MG CAPSULE by CIPLA LTD	
10	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABHAYRAB 2.5IU VACCINE by HUMAN BIOLOGICALS INSTITUTE	
11	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABISART HCTZ 12.5MG TABLET, COATED by MYLAN PHARMACEUTICALS PVT LTD	
12	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULFATE; LAMIVUDINE 60MG TABLET by MYLAN LABORATORIES LIMITED	
13	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE 60MG TABLET by MYLAN LABORATORIES LIMITED	
14	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE; ZIDOVUDINE 300MG TABLET by MYLAN LABORATORIES LIMITED	
15	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE 300MG TABLET, COATED by CIPLA LTD	
16	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABAMUNE L BABY 60MG CAPSULE by CIPLA LTD	
17	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABISART HCTZ 300MG TABLET, COATED by MYLAN PHARMACEUTICALS PVT LTD	
18	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO LAMIVUDINE 150MG TABLET, COATED by ADCOCK INGRAM LIMITED	
19	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE 300MG TABLET, COATED by CIPLA LTD	
20	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE; ZIDOVUDINE 300MG TABLET by MYLAN LABORATORIES LIMITED	
21	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE 600MG TABLET, COATED by CIPLA LTD	
22	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABZ 400MG TABLET by INDOCO REMEDIES LTD	
23	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULFATE; LAMIVUDINE 60MG TABLET by MYLAN LABORATORIES LIMITED	
24	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE 300MG TABLET by MYLAN LABORATORIES LIMITED	
25	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACCUMAX CO 10/12.5 10MG TABLET, COATED by PHARMACIA SOUTH AFRICA PTY LTD	
26	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABISART HCTZ 12.5MG TABLET, COATED by MYLAN PHARMACEUTICALS PVT LTD	
27	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	LAMIVUDINE 150MG TABLET, COATED by AUROBINDO PHARMA LIMITED	
28	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABAMAT TABLETS 300MG TABLET, COATED by MYLAN LABORATORIES LIMITED	
29	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	KIVEXA 300MG TABLET by GLAXOSMITHKLINE S.A (PTY) LTD	
30	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULFATE; LAMIVUDINE 120MG TABLET by MYLAN LABORATORIES LIMITED	
31	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE 600MG TABLET by MYLAN LABORATORIES LIMITED	
