id	created_at	updated_at	device_id	diagnostic_test
1	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	1	Urine Analysis
2	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	2	HIV
3	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	2	Hepatitis C
4	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	2	Covid 19
5	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	3	Malaria
6	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Inflammation
7	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Diabetes
8	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Cardiac
9	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Hormone
10	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Thyroid
11	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Bone Metabolism
12	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Gastric Function
13	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Anemia
14	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Tumor
15	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Brain Injury
16	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Angiocapy
17	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Immune System
18	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Renal Function
19	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	4	Nervous System
20	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	5	Blood Pressure
21	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	6	Blood Oxygen Saturation
22	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	7	Body Mass Index
23	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	7	Body Fat
24	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	7	Bone Mass
25	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	7	Water Weight
26	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	7	Muscle Mass
27	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	7	Body Weight
28	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	7	Basal Metabolic Rate
29	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	8	Cholesterol
30	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	8	Hemoglobin
31	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	8	Blood Glucose
32	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	8	Uric Acid
33	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	9	Pregnancy
34	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	10	Tuberculosis
35	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	11	Temperature
36	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	12	Typhoid
37	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	13	Syphilis
38	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	14	Chlamydia
39	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	15	Gonorrhea
40	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	16	Hepatitis A/B/C
41	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	17	Herpes Simplex Virus 1 & 2
42	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	18	Trichomonas
43	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	19	Cholera
44	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	20	Abdominal Ultrasound
45	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	20	Renal Ultrasound
46	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	20	Breast Ultrasound
47	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	20	Doppler Ultrasound
48	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	20	Pelvic Ultrasound
49	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	20	Transvaginal Ultrasound
50	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	20	Thyroid Ultrasound
51	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	20	Transrectal Ultrasound
52	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	20	Pregnancy Ultrasound
53	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	21	Chest X-ray
54	2024-03-03 14:39:37.60166-05	2024-03-03 14:39:37.60166-05	21	Abdominal X-ray
