id	created_at	updated_at	name	province_id
1	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Bulawayo	1
2	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Harare	2
3	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Buhera	3
4	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Chimanimani	3
5	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Chipinge	3
6	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Makoni	3
7	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Mutare	3
8	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Mutasa	3
9	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Nyanga	3
10	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Bindura	4
11	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Guruve	4
12	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Mazowe	4
13	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Mount Darwin	4
14	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Muzarabani	4
15	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Mukumbura	4
16	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Rushinga	4
17	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Shamva	4
18	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Goromonzi	5
19	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Mudzi	5
20	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Murehwa	5
21	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Mutoko	5
22	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Seke	5
23	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Wedza	5
24	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Chegutu	6
25	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Hurungwe	6
26	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Kariba	6
27	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Makonde	6
28	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Zvimba	6
29	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Kadoma	6
30	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Bikita	7
31	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Chiredzi	7
32	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Chivi	7
33	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Gutu	7
34	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Masvingo	7
35	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Mwenezi	7
36	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Binga	8
37	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Bubi	8
38	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Hwange	8
39	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Lupane	8
40	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Nkayi	8
41	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Tsholotsho	8
42	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Umguza	8
43	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Beitbridge	9
44	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Bulilima	9
45	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Gwanda	9
46	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Insiza	9
47	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Mangwe	9
48	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Matobo	9
49	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Umzingwane	9
50	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Chirumhanzu	10
51	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Gokwe North	10
52	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Gokwe South	10
53	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Gweru	10
54	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Kwekwe	10
55	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Mberengwa	10
56	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Shurugwi	10
57	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	Zvishavane	10
