id	created_at	updated_at	name	location	address	category	phone
1	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	VHA Test Hospital	0101000020E610000000000000000002400000000000804940	Bristol, UK	Hospital	
2	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Beitbridge District Hospital	0101000020E61000009E140000D4FC3D406A6AD95A5F3436C0	Beitbridge, Matabeleland South Province, ZW	District Hospital	UNKNOWN
3	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Chamunangana Clinic	0101000020E6100000CADFFFBF189A3D404F75C8CD709B35C0	Sitauzis, Gwanda, Matabeleland South Province, ZW	Clinic	UNKNOWN
4	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Chasvingo Clinic	0101000020E6100000541300C04A803E40CA4FAA7D3A0E36C0	Beitbridge, Matabeleland South Province, ZW	Clinic	UNKNOWN
5	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Chikwarakwara Rural Health Centre	0101000020E610000066D1FF1F5C173F40F0A7C64B375136C0	Beitbridge, Matabeleland South Province, ZW	Rural Health Centre	UNKNOWN
6	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Chituripasi Rural Health Centre	0101000020E610000063CBFF9F9BC93E40FA449E245D3336C0	Tshiturapadsi, Beitbridge, Matabeleland South Province, ZW	Rural Health Centre	UNKNOWN
7	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Dite Rural Health Centre	0101000020E6100000CBE2FFFFD8633E402922C32ADE3836C0	Sinyoni, Beitbridge, Matabeleland South Province, ZW	Rural Health Centre	UNKNOWN
8	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Dulibadzimu Clinic	0101000020E61000002BEBFF1FD5FB3D405B7C0A80F13436C0	Shop number 6, Tsumbo Complex Dulivadzimu, Beitbridge, ZW	Clinic	UNKNOWN
9	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Majini Rural Health Centre	0101000020E610000081E1FFBFCFB03D40F0BF95ECD88035C0	Makado, Gwanda, Matabeleland South Province, ZW	Rural Health Centre	UNKNOWN
10	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Makakabule Rural Health Centre	0101000020E6100000950500C0D2EF3D40DE76A1B94E2336C0	Beitbridge, Matabeleland South Province, ZW	Rural Health Centre	UNKNOWN
11	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Zezane Clinic	0101000020E610000081010020E0803D402BC1E270E69F35C0	Sitauzis, Gwanda, Matabeleland South Province, ZW	Clinic	UNKNOWN
12	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	ZRP Clinic	0101000020E610000025DFFF1F54013E407FBC57AD4C3836C0	Beitbridge, Matabeleland South Province, ZW	Clinic	UNKNOWN
13	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Masera Clinic	0101000020E6100000ADCCFFDF24963D406553AEF02EEF35C0	Makado, Beitbridge, Matabeleland South Province, ZW	Clinic	UNKNOWN
14	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Nottingham Rural Health Centre	0101000020E610000086EAFF7F10A33D40658D7A88461F36C0	Beitbridge, Matabeleland South Province, ZW	Rural Health Centre	UNKNOWN
15	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	NRZ Clinic	0101000020E6100000793500E0FF013E40639CBF09853836C0	Beitbridge, Matabeleland South Province, ZW	Clinic	UNKNOWN
16	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Prison Clinic	0101000020E6100000D43400403BFC3D4070253B36023936C0	Beitbridge, Matabeleland South Province, ZW	Clinic	UNKNOWN
17	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Shabwe Rural Health Centre	0101000020E6100000BC2A002008393E406DAD2F12DA1A36C0	Nuli, Beitbridge, Matabeleland South Province, ZW	Rural Health Centre	UNKNOWN
18	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Shashe Clinic	0101000020E6100000DEE3FF5F8B523D40B51A12F7581A36C0	Maramani, Beitbridge, Matabeleland South Province, ZW	Clinic	UNKNOWN
19	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Swereki Clinic	0101000020E61000009628006063673D40D7A3703D0ADF35C0	Masole, Beitbridge, Matabeleland South Province, ZW	Clinic	UNKNOWN
20	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Tongwe Clinic	0101000020E6100000CBE2FFFF580A3E402BD9B11188EF35C0	Beitbridge, Matabeleland South Province, ZW	Clinic	UNKNOWN
21	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Mtetengwe Clinic	0101000020E610000076E09C11A5ED3D402D095053CBFE35C0	Beitbridge, Matabeleland South Province, ZW	Clinic	UNKNOWN
22	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Mazunga Clinic(not Open)	0101000020E6100000BCB376DB85DE3D4079E9263108BC35C0	Mazunga, Beitbridge, Matabeleland South Province, ZW	Clinic(not Open)	UNKNOWN
23	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Makombe Clinic (construction)	0101000020E6100000CD3B4ED1918C3E407311DF8959E735C0	Beitbridge, Matabeleland South Province, ZW	Clinic (construction)	UNKNOWN
24	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Bikita Rural Hospital	0101000020E610000091DCFF9F419B3F40D3D9C9E0281134C0	Bikita, Masvingo Province, ZW	Rural Hospital	UNKNOWN
25	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Chikuku Clinic	0101000020E6100000D2EEFFFF59DE3F40E3A59BC4200034C0	Village 14 Devure Resettlement Area, Bikita, Masvingo Province, ZW	Clinic	UNKNOWN
26	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Chirorwe Clinic	0101000020E61000001B30000004EB3F408ACDC7B5A1E233C0	Gutu, Masvingo Province, ZW	Clinic	UNKNOWN
27	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Chitasa Clinic	0101000020E6100000111E0080C2DA3F4021020EA14A3534C0	Bikita, Masvingo Province, ZW	Clinic	UNKNOWN
28	2024-02-22 19:21:11.257236-05	2024-02-22 19:21:11.257236-05	Devure 1 Clinic	0101000020E6100000730900806E0F4040A4E4D53906F433C0	Buhera, Masvingo Province, ZW	Clinic	UNKNOWN
