code	name	created_at	updated_at
B49	Unspecified mycosis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
G02	Meningitis in other infectious and parasitic diseases classified elsewhere	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E11.01	Type 2 diabetes mellitus with hyperosmolarity with coma	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
Z98.83	Filtering (vitreous) bleb after glaucoma surgery status	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
F17.210	Nicotine dependence, cigarettes, uncomplicated	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R59.0	Localized enlarged lymph nodes	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R94.01	Abnormal electroencephalogram [EEG]	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R60.9	Edema, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R61	Generalized hyperhidrosis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
O41.1290	Chorioamnionitis, unspecified trimester, not applicable or unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
C96.A	Histiocytic sarcoma	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R07.81	Pleurodynia	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R13.19	Other dysphagia	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H40.1290	Low-tension glaucoma, unspecified eye, stage unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
I80.9	Phlebitis and thrombophlebitis of unspecified site	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T14.8XXA	Other injury of unspecified body region, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T14.8XXD	Other injury of unspecified body region, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T14.8XXS	Other injury of unspecified body region, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S83.509A	Sprain of unspecified cruciate ligament of unspecified knee, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S83.509D	Sprain of unspecified cruciate ligament of unspecified knee, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
