code	category	description	parent_code	general
A00	A00	Cholera		f
A00.0	A00	Cholera due to Vibrio cholerae 01, biovar cholerae	A00	f
A00.1	A00	Cholera due to Vibrio cholerae 01, biovar eltor	A00	f
A00.9	A00	Cholera, unspecified	A00	t
A01	A01	Typhoid and paratyphoid fevers		f
A01.0	A01	Typhoid fever	A01	f
A01.00	A01	Typhoid fever, unspecified	A01.0	t
A01.01	A01	Typhoid meningitis	A01.0	f
A01.02	A01	Typhoid fever with heart involvement	A01.0	f
A01.03	A01	Typhoid pneumonia	A01.0	f
A01.04	A01	Typhoid arthritis	A01.0	f
A01.05	A01	Typhoid osteomyelitis	A01.0	f
A01.09	A01	Typhoid fever with other complications	A01.0	f
A01.1	A01	Paratyphoid fever A	A01	f
A01.2	A01	Paratyphoid fever B	A01	f
A01.3	A01	Paratyphoid fever C	A01	f
A01.4	A01	Paratyphoid fever, unspecified	A01	t
A02	A02	Other salmonella infections		f
A02.0	A02	Salmonella enteritis	A02	f
A02.1	A02	Salmonella sepsis	A02	f
A02.2	A02	Localized salmonella infections	A02	f
A02.20	A02	Localized salmonella infection, unspecified	A02.2	t
A02.21	A02	Salmonella meningitis	A02.2	f
A02.22	A02	Salmonella pneumonia	A02.2	f
A02.23	A02	Salmonella arthritis	A02.2	f
A02.24	A02	Salmonella osteomyelitis	A02.2	f
A02.25	A02	Salmonella pyelonephritis	A02.2	f
A02.29	A02	Salmonella with other localized infection	A02.2	f
A02.8	A02	Other specified salmonella infections	A02	f
A02.9	A02	Salmonella infection, unspecified	A02	t
A03	A03	Shigellosis		f
A03.0	A03	Shigellosis due to Shigella dysenteriae	A03	f
A03.1	A03	Shigellosis due to Shigella flexneri	A03	f
A03.2	A03	Shigellosis due to Shigella boydii	A03	f
A03.3	A03	Shigellosis due to Shigella sonnei	A03	f
A03.8	A03	Other shigellosis	A03	f
A03.9	A03	Shigellosis, unspecified	A03	t
A04	A04	Other bacterial intestinal infections		f
A04.0	A04	Enteropathogenic Escherichia coli infection	A04	f
A04.1	A04	Enterotoxigenic Escherichia coli infection	A04	f
A04.2	A04	Enteroinvasive Escherichia coli infection	A04	f
A04.3	A04	Enterohemorrhagic Escherichia coli infection	A04	f
A04.4	A04	Other intestinal Escherichia coli infections	A04	f
A04.5	A04	Campylobacter enteritis	A04	f
A04.6	A04	Enteritis due to Yersinia enterocolitica	A04	f
A04.7	A04	Enterocolitis due to Clostridium difficile	A04	f
A04.71	A04	Enterocolitis due to Clostridium difficile, recurrent	A04.7	f
A04.72	A04	Enterocolitis due to Clostridium difficile, not specified as recurrent	A04.7	f
A04.8	A04	Other specified bacterial intestinal infections	A04	f
A04.9	A04	Bacterial intestinal infection, unspecified	A04	t
A05	A05	Other bacterial foodborne intoxications, not elsewhere classified		f
A05.0	A05	Foodborne staphylococcal intoxication	A05	f
A05.1	A05	Botulism food poisoning	A05	f
A05.2	A05	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	A05	f
A05.3	A05	Foodborne Vibrio parahaemolyticus intoxication	A05	f
A05.4	A05	Foodborne Bacillus cereus intoxication	A05	f
A05.5	A05	Foodborne Vibrio vulnificus intoxication	A05	f
A05.8	A05	Other specified bacterial foodborne intoxications	A05	f
