id	exclude_id	category
1	35	B92
2	39	A34
3	40	A33
4	44	O85
5	48	O85
6	89	A55
7	123	A86
8	125	A91
9	129	A91
10	144	B04
11	162	Z21
12	164	R75
13	172	B07
14	178	B07
15	182	L22
16	202	B73
17	213	B86
18	216	G14
19	219	B20
20	226	C01
21	232	C07
22	237	C12
23	247	C19
24	343	C37
25	379	C37
26	380	C73
27	389	C88
28	709	D48
29	729	D62
30	735	E54
31	738	E60
32	817	P60
33	824	D66
34	825	D66
35	833	P53
36	843	D65
37	853	P53
38	858	D65
39	872	D70
40	901	D45
41	934	B20
42	949	B20
43	950	E02
44	952	E02
45	1035	Q56
46	1072	E45
47	1090	E42
48	1091	E42
49	1114	P53
50	1127	E45
51	1134	E68
52	1237	R64
53	1238	E41
54	1250	F05
55	1260	F03
56	1261	F05
57	1271	F23
58	1272	F22
59	1283	F03
60	1295	F29
61	1381	F23
62	1385	F23
63	1390	F21
64	1391	F22
65	1392	F22
66	1394	F23
67	1401	F23
68	1402	F23
69	1406	F99
70	1407	F09
71	1445	F04
72	1451	F32
73	1452	F30
74	1451	F33
75	1452	F31
76	1460	F54
77	1466	F22
78	1467	F22
79	1468	R52
80	1505	F22
81	1506	F22
82	1507	F22
83	1509	F22
84	1511	F22
85	1514	F21
86	1522	F30
87	1522	F31
88	1537	F66
89	1613	R32
90	1633	F09
91	1643	G05
92	1649	G05
93	1659	G35
94	1699	B91
95	1706	G10
96	1726	G10
97	1733	F03
98	1745	F03
99	1754	H46
100	1757	G35
101	1763	P90
102	1827	H46
103	1906	S14
104	1907	R52
105	1906	S24
106	1909	R52
107	1906	S34
108	1929	N23
109	1958	P84
110	1964	G94
111	1975	G08
112	2163	H65
113	2164	H65
114	2163	H66
115	2164	H66
116	2170	R42
117	2202	G10
118	2210	I38
119	2214	I38
120	2244	I5A
121	2249	I5A
122	2297	I76
123	2325	I38
124	2520	I76
125	2570	G08
126	2574	I81
127	2595	B20
128	2611	L88
129	2637	J36
130	2650	J36
131	2664	J42
132	2668	J22
133	2683	O29
134	2701	J13
135	2703	A70
136	2704	B59
137	2712	B59
138	2713	B59
139	2714	B59
140	2731	O29
141	2748	J40
142	2749	J40
143	2755	J42
144	2760	J42
145	2768	J00
146	2788	J42
147	2799	J22
148	2802	J36
149	2811	J42
150	2828	J42
151	2830	J42
152	2831	J42
153	2838	J60
154	2848	J65
155	2850	J65
156	2851	J65
157	2852	J65
158	2853	J65
159	2855	J61
160	2894	B59
161	2896	B59
162	2930	O29
163	2941	J80
164	2957	A15
165	3046	J36
166	3106	R12
167	3147	A09
168	3257	O85
169	3320	I81
170	3465	B20
171	3473	L88
172	3475	L88
173	3493	L22
174	3507	L22
175	3515	L22
176	3529	L00
177	3556	L00
178	3557	L00
179	3574	R61
180	3593	N86
181	3631	I96
182	3662	I00
183	3665	I00
184	4051	G14
185	4075	M80
186	4082	N10
187	4108	N12
188	4136	N16
189	4137	N16
190	4230	N29
191	4255	R32
192	4258	R32
193	4263	C61
194	4313	O85
195	4314	N86
196	4384	N72
197	4390	N72
198	4459	P95
199	4491	O11
200	4537	P95
201	4567	O76
202	4589	O85
203	4597	O68
204	4599	O68
205	4600	O76
206	4601	O68
207	4602	O68
208	4603	O76
209	4604	O68
210	4612	A34
211	4628	R34
212	4638	A34
213	4640	O85
214	4721	R75
215	4754	A33
216	4756	A33
217	4761	L00
218	4762	L00
219	4790	P19
220	4801	L00
221	4803	L22
222	4986	Q02
223	5069	J80
224	5094	J80
225	5101	P84
226	5105	J90
227	5116	N23
228	5122	K30
229	5138	K30
230	5145	P55
231	5167	E65
232	5171	N63
233	5197	R42
234	5204	R55
235	5230	N19
236	5232	R32
237	5236	E15
238	5245	F04
239	5309	N23
