id	exclude_id	code_range_start	code_range_end	code_range_start_dash	code_range_end_dash
1	5	A04.0	A04.4	f	f
2	8	T61	T62	f	f
3	37	A15	A19	f	f
4	43	P36.0	P36.1	f	f
5	59	A39.2	A39.4	f	f
6	70	B95	B96	f	f
7	98	A55	A56	f	f
8	228	C41.0	C41.1	f	f
9	263	C82	C85	f	f
10	303	C51	C52	f	f
11	305	C00.0	C00.2	f	f
12	308	C00.0	C00.2	f	f
13	313	C51	C52	f	f
14	328	C40	C41	f	f
15	342	C38.1	C38.3	f	f
16	368	C72.2	C72.5	f	f
17	386	C81	C96	f	f
18	389	C81	C86	f	f
19	519	D16.4	D16.5	f	f
20	594	D17.0	D17.3	f	f
21	709	D37	D44	f	f
22	816	O00	O07	f	f
23	821	O00	O07	f	f
24	871	D80	D89	f	f
25	877	C91	C95	f	f
26	933	D80	D83	f	f
27	953	E00	E02	f	f
28	958	E00	E02	f	f
29	1036	Q90	Q99	f	f
30	1050	N46.0	N46.1	f	f
31	1052	Q98.0	Q98.1	f	f
32	1119	E00	E02	f	f
33	1149	E71.0	E71.2	f	f
34	1164	E08	E13	f	f
35	1167	E76.0	E76.3	f	f
36	1172	E77.0	E77.1	f	f
37	1175	E75.0	E75.3	f	f
38	1190	E58	E61	f	f
39	1191	E20	E21	f	f
40	1194	D64.0	D64.3	f	f
41	1203	M11.1	M11.2	f	f
42	1205	E21.0	E21.3	f	f
43	1262	F01	F02	f	f
44	1263	F10	F19	f	f
45	1275	F30	F39	f	f
46	1282	I69.01	I69.11	f	t
47	1282	I69.21	I69.31	f	t
48	1282	I69.81	I69.91	f	t
49	1309	T40.0	T40.2	f	t
50	1434	F32	F33	f	f
51	1502	F20	F29	f	f
52	1504	F10	F19	f	f
53	1519	F10	F19	f	f
54	1525	F10	F19	f	f
55	1527	F01	F09	f	f
56	1530	F31	F33	f	f
57	1531	F01	F09	f	f
58	1543	F70	F79	f	f
59	1550	F70	F79	f	f
60	1560	F70	F79	f	f
61	1573	F70	F79	f	f
62	1582	F30	F39	f	f
63	1588	F30	F39	f	f
64	1591	F30	F39	f	f
65	1592	F40	F48	f	f
66	1622	G20	G25	f	f
67	1625	F01	F95	f	f
68	1689	O00	O07	f	f
69	1695	E70	E88	f	f
70	1741	I60	I69	f	f
71	1828	H49.0	H49.2	f	f
72	1833	M50	M51	f	f
73	1872	A48.51	A48.52	f	f
74	1876	E70	E88	f	f
75	1890	G70.80	G70.81	f	f
76	1915	R07.1	R07.9	f	f
77	1994	Q10.0	Q10.3	f	f
78	2001	Q10.4	Q10.6	f	f
79	2029	Q13.3	Q13.4	f	f
80	2077	E08.311	E08.359	f	f
81	2077	E09.311	E09.359	f	f
82	2077	E10.311	E10.359	f	f
83	2077	E11.311	E11.359	f	f
84	2077	E13.311	E13.359	f	f
85	2131	H54.0	H54.7	f	f
86	2198	I01.0	I01.9	f	f
87	2199	I05	I09	f	f
88	2217	O10	O11	f	f
89	2218	I60	I69	f	f
90	2217	O13	O16	f	f
91	2225	I60	I69	f	f
92	2285	I25.70	I25.73	f	t
93	2293	O00	O07	f	f
94	2400	I00	I09	f	f
95	2423	I63.0	I63.2	f	f
96	2424	I63.3	I63.5	f	f
97	2425	I63.3	I63.5	f	t
98	2475	I70.30	I70.79	f	f
99	2504	T33	T34	f	f
100	2508	I70.2	I70.7	t	t
101	2510	I63.0	I63.2	f	f
102	2511	I63.0	I63.2	f	f
103	2512	I63.3	I63.5	f	f
104	2513	I21	I25	f	f
105	2516	I63.0	I63.2	f	f
106	2521	I63.0	I63.2	f	f
107	2523	M30	M36	f	f
108	2569	I21	I25	f	f
109	2628	J30.1	J30.9	f	f
110	2635	J32.0	J32.8	f	f
111	2694	J15.3	J15.4	f	f
112	2709	B39.0	B39.2	f	f
113	2718	B44.0	B44.1	f	f
114	2719	B38.0	B38.2	f	f
115	2736	J70.2	J70.4	f	f
116	2740	J67	J70	f	f
117	2766	J30.1	J30.9	f	f
118	2806	J60	J67.9	f	f
119	2835	J60	J70	f	f
120	2836	J60	J70	f	f
121	2845	J60	J70	f	f
122	2879	J60	J70	f	f
123	2883	J70.2	J70.4	f	f
124	2884	B50	B83	f	f
125	2885	M30	M36	f	f
126	2887	J70.2	J70.4	f	f
127	2889	J60	J70	f	f
128	2925	J70.0	J70.1	f	f
129	2963	J95.1	J95.2	f	f
130	2969	B40.0	B40.2	f	f
131	2971	B38.0	B38.2	f	f
132	2974	B39.0	B39.2	f	f
133	2980	M31.30	M31.31	f	f
134	3044	K04.6	K04.7	f	f
135	3050	K05	K06	f	f
136	3055	L55	L59	f	f
137	3111	K57.00	K57.13	f	f
138	3154	Q41	Q42	f	f
139	3169	K40	K46	f	f
140	3226	N82.2	N82.4	f	f
141	3247	P78.0	P78.1	f	f
142	3248	N73.3	N73.5	f	f
143	3255	O00	O07	f	f
144	3278	P55	P59	f	f
145	3280	O00	O07	f	f
146	3282	B15	B19	f	f
147	3287	B15	B19	f	f
148	3307	B15	B19	f	f
149	3310	B15	B19	f	f
150	3313	B15	B19	f	f
151	3350	K81	K82	f	f
152	3351	K81	K82	f	f
153	3386	P54.0	P54.3	f	f
154	3393	K25	K28	f	f
155	3497	L55	L59	f	f
156	3498	L27.0	L27.1	f	f
157	3510	L55	L59	f	f
158	3524	L55	L59	f	f
159	3525	L27.0	L27.1	f	f
160	3531	T78.0	T78.1	f	f
161	3532	L23	L25	f	f
162	3539	L23	L25	f	f
163	3560	L23	L25	f	f
164	3596	L00	L08	f	f
165	3611	M30	M36	f	f
166	3625	L00	L08	f	f
167	3632	L00	L08	f	f
