id	created_at	updated_at	strength_numerator	manufactured_medication_id	consumable_id
1	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	150	1	2
2	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	2	3
3	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	30	3	4
4	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	4	5
5	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	30	5	6
6	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	150	6	7
7	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	7	8
8	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	30	8	9
9	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	2.5	9	10
10	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	12.5	10	11
11	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	60	3	12
12	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	60	5	13
13	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	6	14
14	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	7	15
15	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	60	8	16
16	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	10	17
17	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	150	11	18
18	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	12	19
19	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	6	20
20	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	7	21
21	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	400	13	22
22	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	60	14	23
23	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	15	24
24	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	16	25
25	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	12.5	17	26
26	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	150	18	27
27	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	19	28
28	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	20	29
