id	created_at	updated_at	trade_name	applicant_name	manufacturer_name	strength_numerators	medication_id	consumable_id
1	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	3TC	GLAXO-WELLCOME ZIMBABWE PVT LTD	GLAXO WELLCOME OPERATIONS HERTFORDSHIRE UK;  GLAXO R.S.A.(PTY) LTD MIDRAND SOUTH AFRICA	{150}	1	2
2	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR	AUROBINDO PHARMA LIMITED	AUROBINDO PHARMA LTD JEDCHERLA INDIA	{300}	2	3
3	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULFATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA	{30,60}	3	4
4	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULPHATE	STRIDES ARCOLAB LTD	STRIDES ARCOLAB LTD BANGALOR INDIA	{300}	4	5
5	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULPHATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA	{30,60}	5	6
6	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULPHATE; LAMIVUDINE; ZIDOVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA	{150,300,300}	6	7
7	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE	CIPLA LTD	CIPLA LTD  INDIA	{50,300,600}	7	8
8	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABAMUNE L BABY	CIPLA LTD	CIPLA LTD MAHAD INDIA	{30,60}	8	9
9	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABHAYRAB	HUMAN BIOLOGICALS INSTITUTE	HUMAN BIOLOGICALS INSTITUTE (A DIVISION OF INDIAN IMMUNOLOGICALS LIMITED) CHENNAI INDIA	{2.5}	9	10
10	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABISART HCTZ	MYLAN PHARMACEUTICALS PVT LTD	AIZANT DRUG RESEARCH SOLUTIONS PVT LTD HYDERABAD INDIA	{12.5,300}	10	11
11	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO LAMIVUDINE	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD GERM SOUTH AFRICA;  ADCOCK INGRAM LTD JOHANNESBURG SOUTH AFRICA;  DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	{150}	1	12
12	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULFATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LAB LTD MAHARASHTRA INDIA	{60,120}	3	13
13	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULPHATE	CIPLA LTD	CIPLA LTD MAHAD INDIA	{300}	4	14
14	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULPHATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA;  MYLAN LABORATORIES LIMITED BAVLA INDIA	{300,600}	5	15
15	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABISART HCTZ	MYLAN PHARMACEUTICALS PVT LTD	AIZANT DRUG RESEARCH SOLUTIONS PVT LTD HYDERABAD INDIA	{12.5,150}	10	16
16	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	KIVEXA	GLAXOSMITHKLINE S.A (PTY) LTD	GLAXOSMITHKLINE S.A (PTY) LTD BRYANSTON SOUTH AFRICA	{300,600}	11	17
17	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	LAMIVUDINE	AUROBINDO PHARMA LIMITED	AUROBINDO PRADESH INDIA	{150}	1	18
18	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABZ	INDOCO REMEDIES LTD	INDOCO REMEDIES LTD GOA INDIA	{400}	12	19
19	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABAMAT TABLETS	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA;  MYLAN LABORATORIES LIMITED BAVLA INDIA	{300}	4	20
20	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACCUMAX CO 10/12.5	PHARMACIA SOUTH AFRICA PTY LTD	PFIZER MANUFACTURING DEUTSCHLAND GMBH FREIBURG GERMANY	{10,12.5}	13	21
21	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACETAZOLAMIDE	REMEDICA LTD	REMEDICA LTD LIMASSOL CYPRUS	{250}	14	22
22	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACICLOVIR 200	CIPLA LTD	CIPLA LTD MUMBAI INDIA	{200}	15	23
23	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABISART HCTZ	MYLAN PHARMACEUTICALS PVT LTD	AIZANT DRUG RESEARCH SOLUTIONS PVT LTD HYDERABAD INDIA	{25,300}	10	24
24	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULFATE; LAMIVUDINE	AUROBINDO PHARMA LIMITED	AUROBINDO PHARMA LIMITED HYDERABAD 	{300,600}	16	25
25	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULPHATE; LAMIVUDINE	HETERO LABS LTD	HETERO LABS LTD, ANDHRA PRADESH INDIA	{300,600}	17	26
26	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	LAMIVUDINE	CAPS PVT LTD	""	{150}	1	27
27	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ANTHEL	PHARMACEUTICAL & CHEMICAL DISTRIBUTORS P/L	LINCOLN PHARMACEUTICALS LTD  INDIA	{400}	12	28
28	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ZIAGEN	GLAXOSMITHKLINE S.A (PTY) LTD	GLAXO WELLCOME OPERATIONS HERTFORDSHIRE UK;  GLAXOSMITHKLINE PHARMACEUTICALS POZNAN POLAND	{300}	4	29
29	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACCUMAX CO 20/12.5	PHARMACIA SOUTH AFRICA PTY LTD	PFIZER MANUFACTURING DEUTSCHLAND GMBH FREIBURG GERMANY	{12.5,20}	13	30
30	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	APO-ACETAZOLAMIDE	APOTEX INC.	APOTEX INC. TORONTO CANADA	{250}	14	31
31	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACOVIR	HETERO LABS LTD	HETERO LABS LTD MAHABOOBNARGAR INDIA	{800}	15	32
32	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	IRBIS-HT	HETERO LABS LTD	HETERO LABS LTD, ANDHRA PRADESH INDIA	{12.5,150}	10	33
33	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULFATE; LAMIVUDINE	AUROBINDO PHARMA LIMITED	AURO BINDO PHARMA LTD  INDIA	{30,60}	16	34
34	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACLOTAS	INTAS PHARMACEUTICALS LTD	INTAS PHARMACEUTICALS LTD AHMEDABAD INDIA	{100}	18	35
35	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	LAMIVUDINE	VARICHEM PHARMACEUTICALS (PVT) LTD	VARICHEM PHARMACEUTICALS (PVT) LTD HARARE ZIMBABWE	{150}	1	36
36	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ZENTEL	GLAXOSMITHKLINE S.A (PTY) LTD	GLAXOSMITHKLINE CONSUMER HEALTHCARE S.A. (PTY) LTD CAPE TOWN SOUTH AFRICA	{400}	12	37
37	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACYCLOVIR	VARICHEM PHARMACEUTICALS (PVT) LTD	VARICHEM PHARMACEUTICALS (PVT) LTD HARARE ZIMBABWE	{200}	15	38
38	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	IRBIS-HT	HETERO LABS LTD	HETERO LABS LTD, ANDHRA PRADESH INDIA	{12.5,300}	10	39
39	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULPHATE; LAMIVUDINE	CIPLA LTD	CIPLA LTD MAHAD INDIA;  CIPLA LIMITED (GOA UNIT VII) GOA INDIA	{300,600}	16	40
40	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULPHATE	HETERO LABS LTD	HETERO DRUGS LTD JADCHERLA INDIA	{20}	19	41
41	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACRIPTEGA	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LIMITED HYDERABAD - 500034 INDIA	{50,300,300}	20	42
42	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	REFPAIN PLAIN	COSPHARM INVESTMENTS (PTY) LTD	ACME FORMULATION PVT LTD SOLAN INDIA	{100}	18	43
43	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACTAN	DATLABS PRIVATE LIMITED	DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	{360}	21	44
