id	name	ward_id
1	Killarney	1
2	Makokoba	1
3	Nketa	1
4	Pelandaba	1
5	Alexandra Park	2
6	Arcadia	2
7	Arlington	2
8	The Avenues	2
9	Avondale	2
10	Avonlea	2
11	Belgravia	2
12	Belvedere	2
13	Borrowdale	2
14	Budiriro	2
15	Causeway	2
16	Chisipite	2
17	Dzivarasekwa	2
18	Eastlea	2
19	Emerald Hill	2
20	Glen Lorne	2
21	Glen Norah	2
22	Glen View	2
23	Greendale	2
24	Greenwood Park	2
25	Hatfield	2
26	Highfield	2
27	Highlands	2
28	Hillside	2
29	Kuwadzana	2
30	Lewisam	2
31	Mabelreign	2
32	Mabvuku	2
33	Mbare	2
34	Milton Park	2
35	Mount Pleasant	2
36	Mufakose	2
37	Newlands	2
38	Rotten Row	2
39	Strathaven	2
40	Template:Suburbss of Harare	2
41	Warren Park	2
42	Waterfalls	2
43	Willowvale	2
44	Workington	2
