id	created_at	updated_at	name	district_id
1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Bulawayo	1
2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Harare	2
3	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Betera	3
4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chapwanya	3
5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chikuwa	3
6	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chimombe 'b (Chimombe-chiweshe)	3
7	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chimombe A	3
8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chimombe B	3
9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chimombe East	3
10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chimombe West	3
11	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chimombe West (Chimutsa W)	3
12	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chimutsa East	3
13	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chirozva A	3
14	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chirozva B	3
15	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chitsunge	3
16	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chiweshe	3
17	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Garamwera	3
18	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mabvuregudo	3
19	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Makumbe	3
20	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Makuvise	3
21	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Marume	3
22	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mawire	3
23	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mombeyarara A	3
24	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mombeyarara B	3
25	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mudinzwa A	3
26	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mudinzwa B	3
27	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mudzamiri	3
28	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Munyira	3
29	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Murambinda	3
30	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Murwira	3
31	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mushumba East	3
32	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mushumba West	3
33	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mutiusinazita	3
34	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Nechavava	3
35	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Nerutanga	3
36	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Neshava	3
37	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Biriri	4
38	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Bumha (shinja Rs)	4
39	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chabika	4
40	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chakowa	4
41	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Changazi	4
42	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chayamiti	4
43	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chikukwa	4
44	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Ngorima A	4
45	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Ngorima B	4
46	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Nyahonde (nagodi Rs)	4
47	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Nyanyadzi	4
48	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Rupise	4
49	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Shinja	4
50	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chikwakwa	4
51	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chiramba	4
52	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Guune	4
53	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Kudzanga	4
54	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Manyuseni	4
55	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mhakwe	4
56	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Mhandarume	4
57	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Ada Chisumbanje	5
58	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Ada Middle Sabi	5
59	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Bangwe/maunganidze	5
60	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Checheche	5
61	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chibunji	5
62	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chibuwe	5
63	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05	Chikore	5
