num_patients	page	task definition	warning signs avg ms	warning signs median ms	brief history avg ms	brief history median ms	height and weight avg ms	height and weight median ms	measure vitals avg ms	measure vitals median ms
10	63-back-pain	Check for urgent back pain conditions	170	133	131	114	139	116	247	239
10	57-abnormal-vaginal-bleeding	Check for urgent vaginal bleeding conditions	143	145	114	114	109	108	216	212
10	28-collapse-falls	Check for urgent collapse conditions	178	170	102	101	105	104	237	238
10	26-weakness-or-tiredness	Check for urgent weakness/tiredness conditions	118	111	109	104	116	110	230	228
10	21-burns	Check for urgent burn conditions	140	135	106	101	109	107	241	241
10	21-burns	Measure Bloody Oxygen Saturation due to burns	146	143	107	107	108	106	242	233
10	19-seizures	Check for urgent seizure conditions	107	107	107	105	117	119	207	208
10	48-constipation-and-anal-symptoms	Check for urgent constipation conditions	106	106	112	112	128	126	214	208
10	48-constipation-and-anal-symptoms	Check for urgent anal conditions	115	104	116	118	130	127	211	207
10	37-chest-pain	Check for urgent chest pain conditions	226	171	115	107	134	122	235	222
10	41-acute-covid-19	Check for urgent acute Covid-19 conditions	114	109	112	110	121	120	264	256
10	80-scalp-symptoms	Check for urgent scalp conditions	111	112	116	115	140	136	220	217
10	36-gum-teeth-symptoms	Check for urgent dental conditions	112	109	114	114	122	115	256	258
10	79-changes-in-skin-colour	Check for urgent skin colour change conditions	136	111	126	115	148	137	290	275
10	59-urinary-symptoms	Check for urgent urinary symptom conditions	110	109	112	107	133	129	253	250
10	137-ischaemic-heart-disease	Check for urgent ischaemic heart disease conditions	128	113	114	111	127	118	209	211
10	42-ongoing-covid-19-symptoms	Check for urgent ongoing Covid-19 symptoms	108	108	106	106	123	122	236	236
10	39-wheeze-or-tight-chest	Check for urgent wheeze or tight chest conditions	127	120	153	113	118	109	208	209
10	82-nail-symptoms	Check for urgent nail symptom conditions	138	122	129	118	133	132	341	316
10	164-postnatal-care	Check for urgent postnatal conditions	115	110	119	115	136	129	242	216
10	139-peripheral-vascular-disease	Check for urgent peripheral vascular disease conditions	114	110	119	110	126	124	216	220
10	86-low-mood-stress-and-anxiety	Check for urgent low mood, stress and anxiety conditions	120	114	111	110	141	134	234	227
10	66-foot-symptoms	Check for urgent foot symptom conditions	132	117	117	115	138	129	284	285
10	73-drug-rash	Check for urgent drug rash conditions	129	126	115	113	118	117	256	265
10	45-nausea-or-vomiting	Check for urgent nausea or vomiting conditions	258	226	116	115	125	115	264	247
10	29-dizziness	Check for urgent dizziness conditions	190	185	104	103	111	110	194	191
